gall can transmute into honey 57
gene that specifies cell fates 55
give her vineyards from thence 247
give off electrons when light 99
glad his ministers were hanged 95
gods and goddesses like shiva 47
gods and goddesses like sober 48
gods and goddesses were often 68
gods and goddesses were still 71
good and wholesome laws which 61
good they themselves have begun 158
great and difficult task which 65
great and difficult work which 47
great and effectual door opening 64
great and excessive fees taken 57
great and important truth which 63
great and important work which 80
great and marvelous work which 55
great and wonderful work which 63
guns and ammunition were found 52
guns and ammunition were taken 95
