generosity citizen 77 governance concept 41
government against 42 government against 305
government against 49 government arbiter 41
government against 106 government election 83
government society 60 government country 460
government election 87 government society 169
government position 84 government example 41
government between 238 government country 45
government depends 43 government outside 66
government country 2166 government millions 115
government country 56 government division 89
government germany 63 government citizen 61
government company 156 government council 52
government position 59 government citizen 50
government company 90 grandmother husband 67
