gave biscuit 65 gene support 48
gene parents 53 give stoutly 43
gold lighter 184 gold offered 214
good destroy 91 good history 46
good husband 49 good matched 49
good suffice 50 good peaceful 71
great country 65 great enemies 80
great fellows 94 great fortune 61
great beloved 53 great classes 62
great fellows 57 great husband 878
great captors 59 great country 64
great fellows 43 great climate 42
great question 48 great carries 45
great ashamed 69 great husband 67
great beginning 75 great repeated 148
