gain be by little and 239
gain by the impious and 67
gain in an amount and 68
gain in the albino rat 76
gain in the battle for 41
gain in the middle east 54
gain in the second year 264
gain in the summer and 226
gain in the winter and 135
gain is the profit you 41
gain of the device and 106
gain of the device can 48
gain of the filter and 73
gain of the silver with 63
gain of the system and 235
gain of the system can 146
gain of the system for 68
gain of the system has 41
gain of the system may 45
gain of the system was 119
gain of the system with 84
gain on the ground that 152
gain or to divide them 96
gain to be greater than 188
gain to be looked for 57
gain to the extent his 42
gain to the extent that 4373
gain to the extent they 125
gain to the person who 478
gain to the public that 132
gain to the public weal 65
gain to the seller and 91
gait of my friend was 429
game in my opinion and 56
game in the belief that 41
game in the fields and 81
game in the forest and 191
game in the forest for 40
game in the meadows and 46
game in the middle east 464
game in the second set 59
game in the vacant lot 44
game is so scarce that 57
game is so simple that 77
game is the person who 85
game is the player who 173
game is the player with 43
game is to figure out 118
game is to remove all 106
game of the despot kings 58
game of the forest and 235
game of the second set 607
game of the series and 248
game of the series for 57
game of the series that 43
game of the series was 446
game of the series with 281
game on the ground and 40
game on the ground that 124
game on the latter day 51
game on the plains and 41
game on the second day 46
game to an abrupt end 48
game to be hunted and 105
game to be played and 309
game to be played for 403
game to be played out 676
game to be played that 232
game to be played was 94
game to be played with 849
game to the bitter end 280
game to the extent that 370
game to the visiting team 104
gaps in my memory and 108
gaps in the canopy and 98
gaps in the canopy are 64
gaps in the canopy that 90
gaps in the clouds and 90
gaps in the common law 218
gaps in the existing law 90
gaps in the forest and 73
gaps in the hedges and 147
gaps in the hedges are 45
gaps in the market and 153
gaps in the market for 75
gaps in the market that 218
gaps in the record and 188
gaps in the record are 142
gaps in the record for 46
gaps in the record that 205
gaps in the safety net 175
gaps in the series are 75
gaps in the system and 269
gaps in the system are 44
gaps in the system that 149
gaps of the piston rings 81
gaps to be filled and 801
gaps to be filled with 250
gasp as he pulled her 45
gate at the bottom and 116
gate at the eastern end 122
gate at the farther end 248
gate at the further end 153
gate in the desert was 55
gate in the middle and 73
gate is so narrow that 42
gate of the avenue was 48
gate of the castle and 409
gate of the castle she 53
gate of the castle that 88
gate of the castle was 506
gate of the castle with 80
gate of the church and 70
gate of the corral and 216
gate of the corral was 151
gate of the crater was 43
gate of the estate and 43
gate of the forest all 57
gate of the future and 64
gate of the garden and 299
gate of the garden saw 177
gate of the garden was 85
gate of the louvre can 40
gate of the mosque and 82
gate of the palace and 743
gate of the palace for 59
gate of the palace that 48
gate of the palace they 41
gate of the palace was 284
gate of the palace with 184
gate of the prison and 216
gate of the prison was 206
gate of the prison with 63
gate of the school and 133
gate of the station and 48
gate of the subtle and 58
gate of the temple and 801
gate of the temple that 104
gate of the temple was 393
gate of the temple with 89
gate to be closed and 100
gate to be opened and 178
gate to be opened for 107
gate to the castle was 42
gate to the corral and 54
gate to the effect that 40
gate to the fields for 79
gate to the garden and 64
gate to the garden was 64
gate to the middle east 61
gate to the palace and 54
gate to the source and 64
gate to the street and 45
gave as an answer that 97
gave as an excuse for 646
gave as an excuse that 1143
gave as my opinion that 270
gave as the excuse for 42
gave as the motive for 60
gave as the reasons for 193
gave at the dinner this 44
gave in my notice and 60
gave it an excuse for 66
gave it an honest try 57
gave it in charge that 50
gave it in return for 75
gave it no thought and 46
gave it to another boy 50
gave it to another man 351
gave it to anyone who 73
gave it to english and 43
gave it to someone for 40
gave it to someone who 265
gave it up before they 50
gave it up without any 49
gave me an advice for 41
gave me an answer that 540
gave me an emotion that 82
gave me an entire new 57
gave me an excuse for 780
gave me an excuse not 135
gave me an office and 90
gave me an outlet for 156
gave me in detail his 70
gave me in return for 163
gave me in return his 46
gave me my chance and 63
gave me my choice and 59
gave me my clothes and 57
gave me my orders and 63
gave me my papers and 46
gave me my standing with 60
gave me my ticket and 123
gave me no answer but 61
gave me no chance for 87
gave me no choice but 258
gave me no credit for 146
gave me no deeper joy 53
gave me of renewing and 52
gave me the advice and 44
gave me the advice that 254
gave me the answer and 42
gave me the answer that 472
gave me the belief that 169
gave me the bottle and 57
gave me the bright idea 40
gave me the camera and 44
gave me the chance and 63
gave me the chance for 85
gave me the course with 53
gave me the credit for 135
gave me the creeps and 160
gave me the desire and 54
gave me the energy and 121
gave me the excuse for 67
gave me the excuse that 119
gave me the initial idea 84
gave me the letter and 426
gave me the letter for 96
gave me the letter that 57
gave me the letter you 52
gave me the measure and 52
gave me the number and 449
gave me the number for 203
gave me the opinion that 56
gave me the papers and 87
gave me the reasons for 86
gave me the reasons why 55
gave me the recipe and 54
gave me the recipe for 273
gave me the script and 74
gave me the signal and 73
gave me the signal that 321
gave me the skills and 62
gave me the street and 65
gave me the strength and 1035
gave me the strength for 81
gave me the strength not 75
gave me the strength that 149
gave me the thought that 140
gave me the ticket and 86
gave me the wisdom and 62
gave of the matter was 64
gave the king credit for 47
gave to my brother and 51
gave to my sister and 58
gave to the church and 422
gave to the church for 98
gave to the church her 48
gave to the church its 159
gave to the church one 135
gave to the church was 58
gave to the clergy and 61
gave to the common law 101
gave to the common man 55
gave to the demand for 79
gave to the disease its 64
gave to the effect that 152
gave to the eldest son 72
gave to the english all 57
gave to the former his 42
gave to the french and 70
gave to the french kings 53
gave to the harbor and 54
gave to the indians who 45
gave to the island its 49
gave to the latter his 41
gave to the latter its 46
gave to the little boy 61
gave to the master and 215
gave to the parson and 56
gave to the person who 174
gave to the police and 72
gave to the police was 78
gave to the prince and 85
gave to the public all 45
gave to the public and 61
gave to the public for 41
gave to the public his 1201
gave to the public that 60
gave to the public two 57
gave to the public was 112
gave to the tyrant and 105
gave to the united way 47
gave up my career for 67
gave up my silver and 387
gave up my ticket and 42
gave up on school and 42
gave up on sleeping and 53
gave up the attack and 399
gave up the battle and 692
gave up the battle for 251
gave up the battle with 123
gave up the belief that 634
gave up the chance for 82
gave up the church for 122
gave up the demand for 410
gave up the desire for 95
gave up the effort and 1127
gave up the effort for 48
gave up the effort with 43
gave up the knives and 45
gave up the matter for 91
gave up the militia for 56
gave up the office and 83
gave up the puzzle and 61
gave up the scheme that 87
gave up the school and 133
gave up the secret that 92
gave up the seventh day 73
gave up the strike and 41
gave up the tedious job 79
gave up the thought and 50
gave up the thought that 103
gave up the voyage and 43
gave up the writer and 85
gave up to england all 72
gave us an excuse for 270
gave us an outlet for 44
gave us no choice but 89
gave us no credit for 46
gave us the chance for 58
gave us the opinion that 46
gave us the pirate and 74
gave us the recipe for 67
gave us the seventh day 40
gave us the signal that 137
gave us the strength and 221
gaze as he waited for 46
gaze at the heavens and 148
gaze at the mortal heap 67
gaze at the starry sky 43
gaze in the mirror and 624
