gave that 101 gets day 77
give than 43 give how 47
give that 309 give oath 78
give and 69 give for 55
giving not 438 giving that 42
giving are 53 gods and 50
gold out 41 gold his 67
good her 47 good his 67
good you 52 good not 74
gray his 66 great and 49
great they 70 great him 158
great are 61 great are 54
great her 99 great him 72
great his 164 great how 90
great our 94 great them 47
great you 160 great are 48
great and 88 great her 84
great had 54 grew day 54
grew day 145 grew year 81
grew day 43 grew day 75
grew with 62 grew day 84
grew day 51 grew day 75
grew they 89 grow day 147
grow day 294 grow year 145
grow his 64 grow day 64
grow day 62 grow day 45
guns and 45 guns out 163
