gain his 72 gain new 64
gall him 92 gave his 84
gave him 52 gave his 63
gave this 43 gave her 43
gave son 41 gave his 40
gave day 47 gave going 57
gave his 77 gaze and 75
gazing and 123 gene not 64
gene one 74 gift war 50
gift doing 47 gift had 59
gift his 87 gift was 40
gift not 75 girl meal 50
girl was 59 girl she 102
girl that 88 girl her 46
girl was 64 girl she 63
girl has 45 girl she 87
girl she 49 girl not 57
girl not 52 girl that 106
give and 162 give his 138
give this 110 give her 51
give his 52 give this 79
give they 77 give one 256
give his 88 give his 120
give his 50 give this 353
give her 59 give his 44
give his 44 give all 82
give our 47 give men 68
give and 45 give ask 186
give each 50 give are 51
give you 73 give one 41
give this 48 give ask 2828
give may 152 giving they 40
giving all 96 giving his 45
glad any 57 glad was 61
glad she 46 glad you 117
glad met 226 glad not 47
glee him 75 gods with 53
gods men 40 gods him 48
gold not 149 gold its 127
gone you 83 good that 105
good was 64 good and 57
good are 41 good that 300
good our 66 good one 120
good try 67 good and 40
good who 58 good are 85
good they 43 good all 68
good and 53 good who 57
good who 103 good and 53
good that 43 good has 56
good who 58 good that 54
good out 47 good not 104
good not 66 good who 42
good and 57 good its 69
good flo 55 good this 49
good her 90 good his 53
good you 94 good for 178
good that 137 good bad 50
good not 48 good for 111
good that 178 good are 136
good that 46 good are 46
good are 62 good for 83
good for 63 good all 60
good him 42 good idea 65
good him 55 good them 134
good him 71 good them 242
gown his 51 gown sat 44
gown him 87 gown and 102
gram day 72 great that 118
great his 43 great may 92
great who 53 great who 100
great who 42 great not 45
great that 193 great are 40
great you 70 great who 46
great that 97 great who 45
great are 89 great that 87
great you 49 great lit 156
great his 282 great with 51
great not 78 grew him 40
grew his 169 grim for 58
grow then 81 guns with 77
