gain another 198 game player 57
game player 49 gate paused 68
gets adopts 89 gets person 41
give credit 51 give assume 61
give thought 47 give should 48
give jesuit 47 giving sniffs 40
glean labors 49 gold pocket 95
gold pocket 196 gold pocket 104
gone island 50 gone twenty 188
good better 111 good future 62
good flight 133 good martial 72
good indians 93 good always 50
good return 67 gray driven 46
great mental 88 great strength 57
great manner 48 great brother 40
great hearers 55 great vessel 47
great already 42 great mooted 61
great should 45 great marked 43
great waters 82 great source 79
great senses 91 great anguish 49
great little 513 great suffer 112
great palace 46 great passed 147
great valiant 56 great always 58
great powers 54 great temper 42
