gain and a phase shift 46
game for a large group 78
game for a short while 119
game for a small group 60
game was a turning point 44
game with a small group 124
gash with a hasty knife 56
gate with a flaming sword 56
gate with a large brass 63
gave but a faint light 278
gave each a large piece 287
gave her a bland smile 172
gave her a blank stare 475
gave her a brave smile 85
gave her a breathing space 73
gave her a brief smile 678
gave her a broad smile 705
gave her a burning sense 59
gave her a coaxing smile 69
gave her a cocky smile 81
gave her a failing grade 44
gave her a faint sense 46
gave her a faint smile 937
gave her a false sense 136
gave her a false smile 52
gave her a feeling about 63
gave her a funny feeling 395
gave her a happy smile 60
gave her a hearty curse 45
gave her a hearty round 43
gave her a hearty shake 55
gave her a hearty smack 128
gave her a knowing smile 791
gave her a large dowry 55
gave her a large piece 65
gave her a large share 42
gave her a leering smile 46
gave her a level stare 364
gave her a light shake 89
gave her a light shove 84
gave her a longer pause 43
gave her a melting smile 45
gave her a mocking smile 297
gave her a nasty smile 72
gave her a paper which 45
gave her a parting smile 43
gave her a pitying smile 110
gave her a proud smile 53
gave her a queasy feeling 122
gave her a queer feeling 261
gave her a queer sense 56
gave her a quick shake 146
gave her a quick shove 44
gave her a quick smile 1482
gave her a quick thumbs 58
gave her a quiet smile 63
gave her a right which 49
gave her a rough shake 149
gave her a rough shove 101
gave her a rousing cheer 46
gave her a shaky smile 158
gave her a sharp nudge 85
gave her a sharp sense 40
gave her a sharp shake 79
gave her a sinking feeling 296
gave her a small glass 65
gave her a small piece 253
gave her a small sense 85
gave her a small shake 322
gave her a small shove 87
gave her a small smile 1413
gave her a small thrill 41
gave her a small white 51
gave her a smile which 186
gave her a stern warning 55
gave her a stiff smile 68
gave her a stony stare 98
gave her a strong feeling 58
gave her a strong sense 207
gave her a sunny smile 137
gave her a sweet smile 353
gave her a swift smile 67
gave her a tight smile 764
gave her a tired smile 510
gave her a toothy smile 119
gave her a vague feeling 79
gave her a vague sense 72
gave her a vague smile 141
gave her a warning glare 45
gave her a weird feeling 58
gave her a winning smile 260
gave him a black witch 51
gave him a bland smile 171
gave him a blank check 168
gave him a blank stare 841
gave him a brave smile 241
gave him a breathing space 170
gave him a breathing spell 96
gave him a brief reply 142
gave him a brief smile 698
gave him a brisk cuffing 165
gave him a broad smile 688
gave him a brown paper 99
gave him a charm which 45
gave him a cigar though 47
gave him a cooling drink 44
gave him a deadly thrust 223
gave him a deadly wound 153
gave him a dreamy smile 66
gave him a drink which 62
gave him a failing grade 124
gave him a faint sense 67
gave him a faint smile 1256
gave him a false sense 301
gave him a false smile 56
gave him a fatal thrust 65
gave him a fatal wound 79
gave him a fifty pound 43
gave him a final shove 50
gave him a final warning 88
gave him a first class 59
gave him a first taste 49
gave him a fresh horse 126
gave him a fresh mount 45
gave him a fresh start 192
gave him a funny feeling 297
gave him a funny smile 45
gave him a glowing smile 127
gave him a grave smile 46
gave him a green light 162
gave him a happy smile 108
gave him a hearty cheer 228
gave him a hearty curse 61
gave him a hearty grasp 57
gave him a hearty morning 91
gave him a hearty round 41
gave him a hearty shake 351
gave him a hearty shove 113
gave him a hearty smack 136
gave him a hefty shove 56
gave him a knowing smile 797
gave him a lance thrust 52
gave him a large bunch 51
gave him a large field 98
gave him a large glass 87
gave him a large grant 74
gave him a large house 40
gave him a large order 65
gave him a large piece 464
gave him a large rough 52
gave him a large share 302
gave him a large slice 46
gave him a large tract 209
gave him a lasting place 62
gave him a legal claim 41
gave him a legal right 200
gave him a legal title 82
gave him a level stare 718
gave him a light punch 305
gave him a light shove 260
gave him a magic flute 62
gave him a magic potion 47
gave him a magic sword 97
gave him a melting smile 92
gave him a misty smile 92
gave him a mocking smile 198
gave him a moral right 52
gave him a nasty shock 72
gave him a nasty smile 55
gave him a paper showing 64
gave him a paper telling 56
gave him a paper which 96
gave him a parting smile 96
gave him a passing chill 104
gave him a passing grade 60
gave him a phony smile 41
gave him a pitying smile 132
gave him a place above 41
gave him a place apart 174
gave him a place under 50
gave him a place where 41
gave him a place which 57
gave him a pleasing sense 45
gave him a potion which 62
gave him a power which 238
gave him a proud smile 48
gave him a queasy feeling 142
gave him a queer feeling 398
gave him a quick burst 56
gave him a quick frown 45
gave him a quick recap 46
gave him a quick shake 79
gave him a quick shove 80
gave him a quick smile 1859
gave him a quick thumbs 79
gave him a quiet smile 68
gave him a right royal 264
gave him a rough shake 71
gave him a rough shove 96
gave him a rousing cheer 236
gave him a running start 159
gave him a sassy smile 43
gave him a saucy smile 210
gave him a shaky smile 552
gave him a sharp crack 44
gave him a sharp elbow 63
gave him a sharp knife 40
gave him a sharp nudge 126
gave him a sharp pinch 72
gave him a sharp sense 52
gave him a sharp sword 57
gave him a sharp warning 56
gave him a shock which 110
gave him a short burst 381
gave him a shove which 134
gave him a sinking feeling 302
gave him a small black 50
gave him a small brass 70
gave him a small drink 56
gave him a small glass 67
gave him a small grant 41
gave him a small house 92
gave him a small leather 230
gave him a small medal 371
gave him a small piece 721
gave him a small place 49
gave him a small sense 45
gave him a small shake 53
gave him a small share 47
gave him a small shove 85
gave him a small shrug 48
gave him a small smile 2038
gave him a small white 80
