gallant this 44 gambols eye 221
gangster that 46 garment his 42
general fig 78 general this 51
general that 127 general act 75
general her 51 general any 70
general his 41 general this 71
general him 53 general his 59
general all 167 general all 62
general all 56 general seas 50
general this 77 general not 48
general all 41 general use 118
general was 112 general men 155
general you 56 general and 78
genital men 75 genuine far 57
genuine ray 338 gesture say 265
glances say 58 glorious day 75
glorious our 52 granted all 87
granted all 383 granted men 56
grasses and 139 gratify his 111
greatest any 77 greatest all 166
greatest had 79 greatest our 45
greatest owe 73 greatest all 153
greatest his 152 greatest this 50
greatest all 114 greatest her 42
