gain if they are right 110
gain in its own right 95
gain in this new state 50
gain the dung and dross 57
gain the end for which 206
gain the one and avoid 60
game by his own rules 92
game by its own rules 77
game he was now playing 78
game in all its glory 44
game in her own hands 339
game in his own hands 969
game in its own hands 49
game in its own right 644
game in our own hands 206
game in this big field 221
game is not won until 52
game is that both firms 67
game is thin and small 54
game of cat and mouse 8703
game of death was never 58
game of each set shall 74
game of fox and geese 533
game of him for sending 62
game of his own killing 229
game of his own which 67
game of law and order 78
game of man and woman 68
game of men and women 61
game of mix and match 87
game of one set shall 54
game of our own killing 41
game of ups and downs 64
game on her own terms 41
game on his own manor 71
game on his own terms 81
game on its own terms 108
game so far this season 53
game so that she could 40
game so that they could 134
game to see who could 516
game to see who would 167
game to try and cause 92
game we are all playing 84
game we are now playing 47
gangs is that one group 56
gangs of men and women 353
gaps the fog was pouring 98
garb of law and order 46
garb of men and women 41
gate of his own house 274
gate of his own royal 47
gate so that she could 56
gate so that they could 98
gate to see him drive 44
gave at his own house 69
gave in her few gayer 45
gave in his own house 47
gave in his own words 67
gave in with bad grace 103
gave in with ill grace 48
gave it all its power 57
gave it all its value 92
gave it his own twist 41
gave it with both hands 49
gave me all that money 87
gave me all they could 47
gave me all this money 91
gave me all you could 44
gave me any real sense 44
gave me bed and board 48
gave me both her hands 388
gave me both his hands 54
gave me his own staff 43
gave me his own views 44
gave me joy and pride 41
gave me meat and drink 280
gave me pen and paper 43
gave me that for backing 43
gave me this big smile 87
gave of her own story 70
gave of his own father 51
gave the bow and arrow 167
gave the boy his first 316
gave the head and limbs 54
gave the lie and wrote 45
gave the man and woman 54
gave the man his change 43
gave the man his money 85
gave the man his wages 65
gave the men and women 125
gave the old man money 41
gave the poem its title 139
gave to all his words 50
gave to all his works 71
gave to all who asked 220
gave to all who would 44
gave to any who would 62
gave to each and every 104
gave to him who asked 43
gave to his new court 54
gave to his own people 94
gave to his son henry 57
gave to his son james 60
gave to his son thomas 51
gave to his two ships 46
