gained sight of robert and 63
gallon drums of petrol and 41
garage where he parked his 54
garden began to afford him 55
garden beneath the window and 135
garden grows eat freely with 46
garden patch to another and 47
garden where the plants are 124
garish light of common day 72
gathering people in groups and 42
gathering storm in europe and 111
gender roles in family and 53
gender shall be deemed and 276
genera within the family are 44
gentle breed of llamas they 57
gentle charm of manner and 60
gentle creaking of planks and 45
gentle hearts to fierce and 87
gentle lines of ascent are 58
gently rubbing the infant with 260
gently under the armpit with 45
gently until the apples are 110
gently until the butter has 119
gently until the liquid has 101
girded about the breasts with 167
glacial period in europe and 52
gladly seize an excuse for 42
glassy sleep the waters lie 85
global cycling of carbon and 77
global spread of english and 85
global spread of english has 57
gloomy views of nature and 44
golden hours of gaiety with 101
golden image of buddha and 57
golden image of buddha was 48
golden period of italian art 41
golden stars of castor and 67
goodly array of rifles and 48
gorges where the rivers are 61
gorges which we passed this 44
graced forms of speech they 106
grades seven to twelve and 181
grapes makes the finest and 40
graves shall be opened and 42
greater breadth of thought and 41
greater cause of future war 186
greater cause to reject than 126
greater claim to reality than 41
greater danger of nuclear war 58
greater error to assume that 42
greater feeling of weight and 45
greater force is needed for 76
greater force of thought and 76
greater force or effect than 150
greater gains in strength and 55
greater glory of christ and 74
greater glory of france and 69
greater glory of prussia and 47
greater glory to england than 41
greater lengths in obliging his 46
greater lengths to ensure that 41
greater level of detail and 162
greater level of detail for 66
greater level of detail than 561
greater light of wisdom and 65
greater marks of thought and 61
greater pains to ensure that 51
greater pitch of wisdom and 59
greater plume of feathers than 45
greater point of wisdom than 60
greater power of handling things 43
greater power of shipping and 53
greater power of thought than 47
greater rates of return than 65
greater reason to expect that 205
greater right of access than 44
greater right to another than 46
greater right to insist that 147
greater sense of agency and 85
greater sense of belonging and 415
greater sense of belonging than 63
greater sense of empathy and 52
greater sense of empathy for 54
greater sense of energy and 40
greater sense of family and 41
greater sense of mission and 51
greater sense of realism and 141
greater sense of realism than 107
greater sense of reality and 192
greater sense of reality than 312
greater sense of relief and 51
greater sense of relief than 152
greater sense of relief that 102
greater sense of safety and 184
greater sense of safety than 53
greater sense of strength and 55
greater sense of virtue than 45
greater sense of weight and 45
greater sense of wonder and 61
greater share of credit for 61
greater share of inciting him 234
greater space of ground than 94
greater state of purity than 52
greater stock of passion than 44
greater total of misery than 69
greater under the former than 45
greater under the tudors than 137
greater unity of thought and 89
greater value of silver than 121
greater value or amount than 156
greater value to england than 45
greatly fixed on divine things 194
gripping power of oedipus rex 323
groans under the weight and 93
grocer round the corner for 54
groove which is filled with 45
ground about the pillar was 54
ground began to rumble and 58
ground beneath is strewn with 43
ground burst in pieces and 48
ground could be cleared and 47
ground could be cleared for 51
ground cover of mosses and 51
ground cover of shrubs and 43
ground floor is filled with 246
ground floor of something big 70
ground floor of something new 56
ground floor of something that 104
ground layer of mosses and 122
ground might be cleared for 45
ground parts of plants and 120
ground rules to ensure that 162
ground shall be without its 105
ground state by emitting one 129
ground state is greater than 113
ground swell of opinion that 102
ground until it reaches its 81
ground water is higher than 111
ground where the attack was 61
ground where the battle had 279
ground where the battle was 275
ground where the fighting had 78
ground where the horses had 47
ground where the indians dig 41
ground where the indians had 120
ground where the palace and 89
ground where the plants are 252
ground where the troops had 46
ground which is higher than 41
ground which is marked out 485
ground which is strewn with 70
ground which the creator had 46
ground which the english had 49
ground which the french had 94
ground which the latter had 44
ground which the saxons had 47
ground would be broken for 127
ground would be cleared for 103
grouping which king faisal was 52
groups based on gender and 67
groups based on whether they 368
groups began to demand that 92
groups began to realize that 169
groups could be formed for 59
groups seeking to assist him 57
groups share the belief that 46
groups which he serves than 50
groups within the church and 160
groups within the church are 54
groups within the church that 99
groups within the church who 43
groups within the empire and 51
groups within the family and 52
groups within the school and 184
groups within the system and 62
groups would be better off 154
groups would be greater than 83
groups would be useful for 41
guests began to arrive and 319
guests began to arrive for 164
guests begin to arrive and 45
guided rather by passion than 102
guided tours in english and 48
guided tours in english are 153
guilty given the random way 46
guilty sense of relief that 40
guilty until he proved his 60
guilty until he proves his 184
