gags that jim could not 67
gain both this world and 78
gain for one party and 115
gain that she could not 101
gain was one which was 70
game and its rules and 45
game and its rules are 58
game are you playing now 287
game are you playing with 282
game does not imply that 96
game does not start for 51
game has its rules and 42
game she was playing and 86
game she was playing was 76
game she was playing with 480
game that his father had 46
game that one could not 58
game that they could not 97
game that you could not 45
game they are playing and 101
game they are playing with 156
game was she playing now 70
game was she playing with 55
game with his father and 59
game you are playing and 81
game you are playing with 151
gaping jaw and glazing eye 76
gaps and each block may 42
gaps that thus arise are 42
gate with both hands and 63
gate with her boots and 72
gave all his lands and 71
gave all his money and 63
gave all his money for 52
gave each and every man 74
gave each and every one 222
gave for his action was 53
gave for not obeying her 102
gave for this action was 50
gave her and which she 67
gave her any cause for 44
gave her her first job 43
gave her her first real 66
gave her she would not 61
gave her that smile that 85
gave him any cause for 90
gave him any reason for 50
gave him both money and 53
gave him cup after cup 51
gave him her breast and 44
gave him her fingers and 43
gave him her hands and 85
gave him her purse and 43
gave him his board and 112
gave him his books and 49
gave him his change and 157
gave him his check for 46
gave him his drink and 97
gave him his drive for 42
gave him his first and 128
gave him his first bath 85
gave him his first big 201
gave him his first gun 113
gave him his first idea 83
gave him his first job 480
gave him his first one 424
gave him his first real 649
gave him his first set 59
gave him his horse and 99
gave him his money and 170
gave him his niece and 195
gave him his order for 53
gave him his power and 453
gave him his start and 52
gave him his stick and 53
gave him his sword and 156
gave him his taste for 122
gave him his watch and 66
gave him low marks for 47
gave him new cause for 45
gave him our names and 61
gave him ten cents and 44
gave him ten cents for 44
gave him that force and 47
gave him that smile that 43
gave him that weird and 63
gave him two blows with 68
gave him two stabs with 77
gave his own blood for 98
gave his own flesh and 40
gave his own names and 71
gave out and could not 69
gave out and would not 40
gave out oath after oath 62
gave out that drake had 50
gave thee that jolly red 65
gave thee this jolly red 43
gave them all names and 68
gave them any cause for 42
gave them any thanks for 117
gave them both moral and 48
gave them new names and 67
gave them new power and 42
gave them our names and 40
gave them that which they 95
gave way and could not 75
gave way and would not 77
gave you and asked you 41
gave you that black eye 182
gave you that crazy idea 66
gave you that silly idea 42
gaze that she could not 78
gaze with them above two 45
gems that hung about her 48
gene for eye color was 68
gets fat and finds all 74
gets his head blown off 372
gets off his horse and 175
gets off his stool and 43
gets old and godly and 265
giant are not drier than 82
giant with six fingers and 42
gift does not imply any 42
gift for her people than 47
gift for his mother and 61
gift god had given her 81
gift god had given him 202
gift god had given them 41
