gallant officers did what they 106
gallant soldiers who fell with 53
gallery upstairs you will see 96
gardens anywhere that were both 98
gathered blossoms and gave her 78
gathered thereupon that jude was 50
general approach for dealing with 100
general approach has been that 109
general argument has been that 269
general assembly was held and 41
general attitude has been one 58
general attitude has been that 231
general calamity they were not 116
general condition was good and 156
general condition was poor and 48
general condition was such that 160
general condition was very bad 68
general education and those who 45
general education for boys and 43
general education for those who 206
general elections are held and 41
general equality our laws are 60
general intention for what you 70
general morality can show you 127
general officers are rich men 41
general officers who were not 40
general officers who were off 94
general partners who have not 258
general practice for more than 43
general practice has been for 131
general practice has been that 147
general provision was made for 178
general religious zeal gave way 41
general reproach had made her 89
general scramble and pant with 105
general situation was such that 268
general strategy for dealing with 430
general struggle for life and 70
general tendency for those who 105
general tendency for those with 41
general tendency has been for 692
general tendency has been that 49
general treasurer for said sum 373
general treasurer for such sum 144
genetic engineering and other new 46
genuine enthusiasm and love for 55
goddess swallows our love and 53
governing statutes and case law 58
gracious converse with pure and 78
greatest affection and care and 48
greatest affection for their new 133
greatest benefits that ever god 547
greatest benefits that ever man 99
greatest calamity that ever any 351
greatest contempt for those who 110
greatest eminence for wealth and 48
greatest geniuses that ever was 63
greatest interest are those that 225
greatest interest not only for 46
greatest literary man whom that 70
greatest monarchs that ever sat 41
greatest painters are those who 48
greatest problems has been how 41
greatest security that ever was 58
greatest situation any other than 161
greatest triumphs had been won 45
