gaining more 40 gaining will 57
gains cent 349 gates these 44
getting moving 46 getting cent 43
given told 46 given more 137
given full 83 given wide 73
given syria 41 given told 87
given having 50 given making 66
given some 91 given more 48
given more 41 given more 61
given over 319 gives more 268
gives clear 53 gives making 60
gives cent 92 gives more 72
gives only 73 gives making 68
gives more 50 gives less 43
gives more 83 gives more 70
gives more 127 gives more 190
gives some 41 gives most 67
grain cent 41 grant such 279
