gallant and persevering men who 45
gambles and aggression and may 49
general and extensive than they 45
general and important one for 47
general and politician who was 40
general and presented him with 43
general and sanguinary war did 45
general and statesman who was 97
general and uncertain way this 60
general and unfeigned joy that 111
general are concerned with art 101
general how satisfied are you 45
general who furnished them with 191
geometry and astronomy deal with 195
gesture she stretched out her 102
gesture that signified she did 43
giggled and chattered and sat 41
goddess that consulted with him 73
grabbed her overnight bag and 120
grabbed her shoulders with both 56
grabbed his overnight bag and 63
grammar and criticism are but 68
granted for inventions that are 73
granted him absolution for his 48
granted two fifteenths and two 57
grasped her shoulders with both 50
grayish old gentlemen that one 90
grinned and scratched his head 112
grinned and stretched out his 42
gripped her shoulders and his 42
gripped her shoulders and she 44
gripped her shoulders with both 56
gripped her shoulders with his 99
grounds for certitude but can 51
grounds for dismissal and for 65
grounds for identifying him with 115
grounds for maintaining that this 46
grounds that plaintiff had not 49
grunted and scratched his head 74
guardian was appointed for her 74
guardian was appointed for him 59
guardian was appointed for his 48
