gas crowd 187 gas given 40
gay water 43 get comes 40
get right 54 get ditch 82
get paper 171 get money 40
get hands 146 get twice 91
get tails 54 get juice 54
get field 95 get state 57
get state 48 get floor 81
get night 74 get people 43
get money 633 get banks 168
get hunting 149 get father 73
get mother 112 get banks 131
get first 61 get people 246
get state 349 get hands 194
get track 60 get habit 181
get right 57 get store 495
get theater 90 get whole 46
get night 107 get coals 309
get again 120 get track 621
get sleep 53 get where 90
get again 141 get field 72
get brass 954 get cases 350
get facts 90 get human 73
get action 85 get house 45
get story 65 get water 41
get again 68 get cable 129
get first 95 get brook 112
get creek 100 get nearby 44
get river 691 get stream 253
get water 91 get wells 132
get labor 46 get paper 170
get first 59 god satyr 58
goes erect 60 goes solve 47
goes wants 384 goes swift 90
goes scots 54 goes whole 44
goes sleep 169 goes where 45
goes drain 121 goes tubes 46
goes blood 42 goes water 44
goes comes 47 going people 365
going usual 70 going wants 131
going woods 102 going world 50
going point 46 going right 59
going house 55 going water 55
going dress 53 going sleep 105
going where 91 going drain 164
going tubes 108 going start 69
going people 55 going brain 67
going night 63 going right 87
got organ 48 got drink 42
got paper 46 got drink 101
got reply 60 got coast 65
got nearly 89 got night 52
got money 190 got books 47
got night 83 got upper 87
got coals 112 got habit 78
got talking 60 got track 51
got again 51 got brass 123
got cases 177 got money 43
got river 68 got stream 40
got night 125 gun handy 79
gun enemy 59 gut blood 53
