gain which humanity has made 51
giant squid business was just 91
girl hopes secretly for love 120
give ample evidence that there 85
gods would confound him also 88
gold chain encircling her neck 56
good about yourself and have 46
good about yourself and life 42
good about yourself and what 464
good about yourself and your 972
good about yourself for having 116
good human relations and high 50
good woman believed that miss 74
good working relations with other 169
good working relations with their 113
good working relations with your 43
gray hairs reserved for such 42
great about yourself and your 42
great event happened two days 41
great human decisions are made 48
great leader chairman mao made 57
great leader chairman mao said 55
great social movement can true 41
