game rout 56 gate word 59
gave blow 150 gave jump 53
gave sigh 60 girl diana 85
girl good 48 girl good 48
give need 58 give break 157
give turn 223 give fair 58
give true 41 glad heard 79
gone lost 1988 gone mile 52
gone time 73 gone have 694
gone went 110 gone word 105
good come 48 good went 106
good tell 54 good very 127
good knew 42 good tell 48
good great 50 good once 40
good holy 43 good week 61
great fire 52 great deep 49
great week 48 great cast 44
great canoe 62 great heard 53
great great 126 great kind 96
great have 54 grin full 55
