gave facility 95 gave confusion 56
girl beautiful 42 girl disposal 115
giving uncommon 55 gold restored 118
gold restored 81 good eligible 41
good appetite 282 good pumpkins 154
good restored 51 great baseball 40
great received 92 great delivery 40
great monarchy 67 great christian 48
great destined 57 great historian 45
great airwaves 71 great earnestly 69
great compiled 60 great required 49
great sickness 43 great potential 47
great obtained 42 great curacies 53
great situation 55 great rendered 304
