gain and 61 gain are 65
gate and 65 gave this 42
gave and 117 gave that 215
gave any 45 gave and 70
gaze and 52 gild and 76
give and 91 give for 40
give for 85 give any 49
give for 80 give being 110
give that 87 give pay 54
give for 51 give and 67
give for 87 give and 58
gold and 43 good for 77
good for 91 good for 52
good was 41 good than 70
good than 110 good and 79
good may 184 good use 91
good that 73 great and 92
great was 44 great for 156
great and 52 great had 70
great that 47 great was 244
great with 68 great and 50
great who 46 great than 46
great had 56 great that 98
great now 195 great being 46
great than 47 great hath 50
great than 44 great are 70
great are 46 great that 105
great that 105 great and 74
great and 78 grew any 55
grow than 45 grow end 42
