gain not 70 game son 54
game and 47 gaps are 54
gaps are 105 gaps men 234
gave now 95 gave his 66
gave not 76 gazing for 49
girl she 43 give his 54
give they 43 give due 49
give far 45 give not 583
give too 384 give not 203
give with 72 goal his 74
goal our 45 goal things 203
goal can 97 goal had 58
goal are 330 goal had 73
goal are 58 good but 49
good not 45 good things 96
good how 41 good how 50
good that 60 good are 121
good set 41 good way 41
good way 53 good any 53
good not 44 good not 50
good for 52 good led 43
good thus 90 good him 46
good and 45 good death 227
good all 90 good are 89
good and 183 good had 61
good had 92 good bring 72
good him 40 great death 81
great red 53 great his 56
great own 41 great had 66
great death 59 great has 56
great long 40 great not 107
great each 58 great see 186
great them 110 great being 69
great than 48 great had 64
great with 45 great for 42
great for 129 great are 49
great his 47 great are 108
great too 173 great its 48
great had 74 great hut 66
great get 46 great are 49
great beat 44 great with 48
great can 108 great them 72
great you 56 great not 56
great are 68 great had 74
great with 48 great not 47
great then 52 great out 166
great death 228 great had 58
great day 135 great had 59
great won 43 great let 114
great lay 77 grew death 70
grew she 54 grew was 49
grew and 95 grew sat 96
grow are 50 grow and 51
gulf son 238 gulf earth 640
gulf his 60 gulf son 60
gulf men 57 gyro are 128
