gas or other mineral leases 56
get an aids vaccine check 89
get as much natural light 41
get it back several times 41
get it back together again 314
get me into atlanta about 73
get me into trouble again 79
get my best dialogue ranting 91
get my life together again 54
get no more approving reply 99
get the best exchange rates 50
get the best results under 75
get the best vantage point 106
get the fire started again 51
get the game started again 48
get the great concave sweep 40
get the hard question right 139
get the heart started again 40
get the herd together again 47
get the kids excited about 51
get the most neutral basis 53
get the nose exactly right 80
get the same percent raise 55
get the same results every 91
get the timing exactly right 59
get to know everything about 326
get to make choices about 43
get to work together again 40
get us back together again 83
get us into trouble again 48
goes on till boyhood ceases 51
goes to such extreme lengths 42
going at their greatest speed 40
going to give anybody anything 45
going to have trouble finding 517
going to have trouble getting 818
going to have trouble keeping 192
going to have trouble meeting 97
going to have trouble selling 48
going to have trouble staying 48
going to know everything about 146
going to know exactly where 86
going to learn everything about 65
going to live together again 160
going to make everything right 417
going to make everything worse 74
going to make himself known 40
going to make matters worse 492
going to make trouble about 62
going to some country where 45
going to some distant place 57
going to speak against treating 49
going to such extreme lengths 68
going to take drastic action 101
going to take several hours 144
going to take several months 104
going to take several weeks 101
going to talk briefly about 85
going to talk several times 60
going to talk tonight about 57
going to tell anybody about 315
going to tell anybody anything 150
going to tell stories about 97
going to these extreme lengths 51
going to work together again 68
got an army together whose 54
got it back together again 50
got me into trouble again 60
got the good conduct prize 74
got the most popular votes 52
got to know everything about 197
got to know exactly where 129
got to know several people 53
