garrison a 68 gasoline a 63
generate a 44 generating a 63
generating a 42 generous i 45
gestured a 43 glowered a 149
glowered a 246 goodness a 142
goodness a 276 goodness a 111
goodness a 144 goodness i 101
goodness a 74 goodness a 56
goodness i 137 governed a 99
governor a 146 governor a 70
graduate a 51 grateful a 40
grateful i 90 grateful a 71
grateful a 142 grateful i 600
grateful i 62 grateful a 154
grateful i 49 grateful i 48
grateful i 157 grateful a 546
grateful i 112 grateful i 149
grateful i 166 grateful i 70
grateful a 113 grateful i 97
grateful i 303 grateful a 396
grateful i 422 grateful i 191
gratifying a 359 guaranty i 49
guardians a 54 guidance i 46
