galaxy and the milky way 178
galled him to admit that 97
galled them in front and 54
galley was no match for 56
gallon can of water and 105
gallon jar of small ale 42
gallon jug of water and 143
gallop and he could see 57
gamble with the lives and 116
gambling for the spoil they 87
gambling that he would not 150
garden and the field and 61
garden and the house and 107
garden and the house are 47
garden and the house was 56
garden and the rural seat 40
garden and the trees and 102
garden are the dried bean 69
garden for the blind and 45
garden near the house and 63
garden was so large that 68
garden was the setting for 44
garlic with the olive oil 134
gathering all the facts and 82
gathering for the evening meal 146
gathering near to check his 50
gathering them in sacks and 100
gathering was so large that 82
gayety that at times was 48
gender gap in earnings and 92
gender gap in earnings has 47
gender gap in wages and 112
gender gap in wages has 65
gender with the nouns they 279
genius are the first things 57
genius both in poetry and 54
genius had in store for 52
genius than the latin poet 131
genius that he could not 45
genius that the world had 42
genius that the world has 378
genius was no match for 42
genius was so strong that 101
gentle that he could not 80
gentle that he would not 51
gentle that ye could not 73
gentle was so acute that 42
gentle way in order not 48
gentle way in which she 99
gentle way in which they 49
gently for the first few 58
gently fry the onions and 47
gently off the floor and 45
gently put it right for 72
gently that he could not 88
gently that he would not 59
gently that it would not 43
gently with the fingers and 58
gently with the leaves that 157
gently with the rolling pin 111
geology and the flora and 45
gifted with the pluck and 90
gifted with the power and 218
gifted with the quick and 171
gifted with the vision and 43
gilded with the setting sun 167
girded with the sword and 59
gladly goes on shining with 41
gladly pay the price for 44
gladly put the people out 44
glance may be taken for 51
glance that he could not 155
glance that he would not 43
glance that it could not 41
glance that it would not 41
glance that the house was 45
glance that the place was 64
glance that the woman was 70
glance with the naked eye 64
glands and the liver are 45
glared out we could see 79
global and the local and 201
global and the local are 570
global and the local can 241
global and the local has 92
global and the local that 203
global map of venus using 124
global mean sea level has 65
gloomy than the evils thus 45
glossy fur of which his 41
gloves with the fingers cut 1049
glowed with an orange hue 79
glowed with the warmth and 73
goblet off the table and 43
golden age in which all 211
golden age in which man 108
golden age in which men 116
golden age in which they 83
golden age of athens and 49
golden age of athens was 65
golden age of david and 102
golden age of dutch art 94
golden age of greek art 161
golden age of growth and 75
golden age of indian art 103
golden age of islam and 54
golden age of islam was 47
golden age of learning and 117
golden age of louis xiv 157
golden age of order and 58
golden age of poetry and 411
golden age of power and 103
golden age of roman art 64
golden age of roman law 102
golden age of unity and 40
golden age to which they 65
golden pot of manna and 53
golden with the level sun 113
golden with the setting sun 81
goodly hew of white and 81
goodly hue of white and 55
goodly sum of money and 123
goodly sum of money for 145
gospel and the right use 84
gospel are in hopes that 59
gospel for the whole man 78
gotten him in after that 42
gotten him to admit that 45
gotten off the phone and 75
gotten off the phone with 1545
gotten off the plane and 94
gotten off the track and 94
gotten off the train and 148
gotten off the train with 56
gotten out of touch with 751
gotten you to where you 79
graced with the beauty and 49
grades and in junior and 69
grades and the first two 67
grades and the first year 117
grades are so steep that 104
grades for the first two 75
grades for the first year 60
grades one to eight and 74
grains are so large that 145
grains are so small and 57
grains are so small that 825
grains may be mixed with 46
granting that we never hear 174
grants for the first year 62
grants may be given for 65
grapes for the table and 93
grapes out of season for 40
graphs can be drawn for 109
grasping both the tongue and 99
grasping with the hands and 44
graven not on stone but 214
greater area of water than 44
greater dead he dares not 43
greater ease in keeping our 283
greater ease of entry and 58
greater ease to crush both 62
greater fear of crime and 65
greater fear of crime than 124
greater for the bound than 127
greater for the child than 42
greater for the chord than 43
greater for the first few 48
greater for the first than 89
greater for the first two 40
greater for the girls than 90
greater for the group that 54
greater for the group with 55
greater for the large than 54
greater for the lower than 50
greater for the males than 60
greater for the older age 97
greater for the older than 79
greater for the reason that 282
greater for the right than 51
greater for the upper than 57
greater for the wealthy than 40
greater for the women than 68
greater had he known that 96
greater head of water than 50
greater near the coast than 58
greater near the poles than 151
greater one to defeat that 46
greater sum in taxes than 98
greater sum of money for 88
greater sum of money than 1625
greater sum or value for 114
greater sum or value than 76
greater than he could bear 2211
greater than he could get 102
greater than he really was 176
greater than in japan and 70
greater than in others and 46
greater than in still air 45
greater than in women who 84
greater than in world war 241
greater than is found for 41
greater than is usual for 163
greater than is usual with 79
greater than it could bear 320
greater than it really has 58
greater than it really was 2631
greater than of finding new 51
greater than of sword and 111
greater than or equal and 72
greater than or equal not 67
greater than the basis for 77
greater than the cause that 86
greater than the change due 42
greater than the change for 58
greater than the change that 158
greater than the civil war 45
greater than the costs and 150
greater than the costs for 181
greater than the costs that 248
greater than the costs they 64
greater than the danger that 285
greater than the error due 72
greater than the error mean 109
greater than the evils that 86
greater than the first and 271
greater than the first for 40
greater than the first men 54
greater than the first one 307
greater than the first two 150
greater than the first year 119
greater than the force due 94
greater than the force that 409
greater than the force with 172
greater than the gains that 53
greater than the genial and 51
greater than the given one 125
greater than the grand mean 190
greater than the herbs and 90
greater than the human being 153
greater than the human eye 188
greater than the index for 105
greater than the known and 90
greater than the level for 57
greater than the level that 226
greater than the lever arm 44
greater than the light and 49
greater than the limit for 95
greater than the limit set 185
greater than the lower one 46
greater than the median age 64
greater than the median and 334
greater than the median are 52
greater than the median for 202
greater than the money that 47
greater than the nation can 42
greater than the nation had 102
greater than the noise and 55
greater than the notion that 156
greater than the order was 52
greater than the others and 107
greater than the others that 52
greater than the parts and 127
greater than the people and 50
greater than the people who 136
greater than the power and 155
greater than the power that 338
greater than the power they 58
greater than the price for 190
greater than the price per 54
greater than the price that 428
greater than the price they 98
greater than the price you 49
greater than the rates for 245
greater than the reader can 53
greater than the reader may 42
greater than the reason and 40
greater than the right and 44
greater than the risks and 79
greater than the risks for 48
greater than the risks that 51
greater than the savings that 40
greater than the scope for 43
greater than the score for 50
greater than the search key 284
greater than the slope for 91
greater than the speed with 107
greater than the state and 102
greater than the taxes they 48
greater than the total area 637
greater than the total for 445
greater than the total heat 277
greater than the total net 120
greater than the total sum 147
greater than the total tax 108
greater than the total that 68
greater than the total war 40
greater than the trade can 63
greater than the trade with 79
greater than the upper one 104
greater than the usual one 104
greater than the value for 1253
greater than the value set 41
greater than the value that 764
greater than the value they 65
