kerchief folded 107 kerosene stoves
230 kerosene lighting 511 keyboard
output 67 keyboard screen 454
kidnapping ransom 110 kilogram square
94 kilogram second 846 kilowatt
person 241 kilowatt square 274
kindness depart 5408 kindness always
66 kindness marked 78 kindness
showed 117 kindness passed 55
kindness showed 167 kindness wanted
124 kindness gentle 89 kindness
almost 40 kindness always 64
kindness showed 206 kindness punish
81 kitchens worked 44 knickers
ankles 55 knightly seemed 54
knuckles strain 91 knuckles tension
