kale through the reek 230
keen desire on their 49
keen desire to come 77
keen desire to find 269
keen desire to form 41
keen desire to gain 66
keen desire to give 111
keen desire to have 548
keen desire to help 378
keen desire to join 102
keen desire to keep 261
keen desire to know 837
keen desire to learn 858
keen desire to leave 78
keen desire to live 224
keen desire to look 63
keen desire to make 691
keen desire to meet 737
keen desire to move 48
keen desire to open 91
keen desire to play 94
keen desire to reach 70
keen desire to save 49
keen desire to seek 47
keen desire to show 104
keen desire to speak 55
keen desire to take 239
keen desire to turn 43
keen desire to work 182
keen enough in their 65
keen enough to come 56
keen enough to feel 127
keen enough to find 209
keen enough to give 119
keen enough to have 277
keen enough to help 55
keen enough to keep 99
keen enough to know 387
keen enough to learn 81
keen enough to look 61
keen enough to make 639
keen enough to note 134
keen enough to pick 87
keen enough to send 41
keen enough to show 173
keen enough to spot 57
keen enough to take 251
keen enough to tell 64
keen enough to want 47
keen enough to work 55
keen frosts of those 47
keen memory of living 72
keen regret at having 118
keen relish of life 121
keen relish of their 82
keen senses of hearing 405
keen through the deep 63
keep abreast in their 87
keep abreast of best 106
keep abreast of even 189
keep abreast of ever 213
keep abreast of fast 230
keep abreast of good 41
keep abreast of home 40
keep abreast of ideas 46
keep abreast of late 58
keep abreast of life 105
keep abreast of many 269
keep abreast of more 189
keep abreast of most 133
keep abreast of news 645
keep abreast of ongoing 250
keep abreast of other 818
keep abreast of rising 430
keep abreast of some 195
keep abreast of such 1756
keep abreast of their 4560
keep abreast of these 5830
keep abreast of those 626
keep abreast of time 155
keep abreast of truth 3015
keep abreast of what 8730
keep abreast of work 186
keep abreast of your 1009
keep abreast or ahead 250
keep abreast or even 46
keep active in their 62
keep alight the fire 189
keep alight the lamp 226
keep almost the same 130
keep always at hand 201
keep always at your 43
keep always in good 399
keep always in mind 4437
keep always in their 76
keep always in view 853
keep always in your 207
keep always on foot 49
keep always on hand 204
keep always the same 236
keep appearing in your 53
keep appears to have 110
keep applying the same 86
keep armies in such 42
keep armies on foot 135
keep around in case 80
keep before my eyes 269
keep before my mind 543
keep before the eyes 560
keep before the mind 2597
keep before the tide 92
keep before the wind 260
keep before us some 111
keep before us these 57
keep before us what 71
keep behind the door 49
keep beyond the range 135
keep beyond the reach 895
keep blacks in line 182
keep blacks in their 1721
keep bodies at rest 51
keep bouncing the ball 45
keep bridle in hand 60
keep building up their 46
keep building up your 48
keep busily at work 107
keep carrying on like 67
keep cattle as well 169
keep cattle in good 46
