keeled hulls split at 139
keener hearts would be 51
keenly honed sense of 59
keeper would appear to 83
kernel about which the 45
kernel keeps track of 207
kernel round which the 123
kettle still stood on 74
kettle which stood on 43
kicked about until he 40
kicked field goals of 123
kidney basin under the 98
kidney cells grown in 168
kidney takes place in 57
kidney where urine is 61
kidney would appear to 40
killed about fifty of 243
killed about forty of 184
killed about sixty of 132
killed about thirty of 430
killed about thirty or 57
killed after reaching the 56
killed could never be 45
killed eight people in 182
killed either sheep or 52
killed every horse in 42
killed every night in 45
killed every season by 53
killed every spark of 58
killed fifty brace of 42
killed nearly fifty of 44
killed nearly thirty of 86
killed quite close to 71
killed right after he 53
killed right after the 60
killed seven flies at 53
killed seven giants at 79
killed seven people in 348
killed sperm whale is 50
killed thirty people in 55
killed under cover of 46
killed until after the 110
killed while driving an 56
killed while driving in 78
killed while driving on 62
killed while driving the 52
killed while driving to 57
killed while engaging in 137
killed while fleeing the 70
killed while helping to 103
killed while holding the 47
killed while holding up 58
killed while hunting in 358
killed while hunting on 65
killed while hunting the 60
killed while playing in 92
killed while playing on 45
killed while seeking to 58
killed while serving as 913
killed while serving in 2093
killed while serving on 80
killed while serving the 95
killed while sitting at 46
killed while sitting in 267
killed while sitting on 89
killed while still in 231
killed while talking to 42
killed while under the 161
killed while walking in 69
killed while walking on 132
killed while walking to 52
killed while working as 277
killed while working at 124
killed while working in 459
killed while working on 1129
killed whole cells of 70
killed within hours of 126
killed within sight of 279
killed within weeks of 68
killer cells appear to 76
killer cells engage in 68
killer could still be 184
killer might never be 42
killer might still be 250
killer running loose in 42
killer whose guilt is 40
killer would never be 96
killer would still be 66
kindle large fires at 44
kindle large fires in 116
kindly father ought to 60
kindly feeling growing up 73
kindly feeling which he 163
kindly feeling which is 169
kindly feeling which it 46
kindly feeling which the 304
kindly people could do 50
kindly words about the 102
kindly words which he 107
kingdoms shall stand up 632
kingdoms until after the 47
kingdoms voted thanks to 62
kingdoms which arose in 128
kingdoms which arose on 76
kingdoms which sprang up 151
kingdoms would again be 43
kissed every child he 63
kissed every woman in 49
kissed rather coyly by 220
kneeling turns round to 47
kneels round about the 52
knight could write to 43
knight durst prove to 131
knight either slain or 64
knight gaped twice or 55
knight gazed again on 67
knight grand cross of 467
knight serving under the 226
knight shall offer to 87
knight whose valor he 42
knight would offer it 46
knocking about alone in 45
knocking about drunk in 45
knocking about loose in 79
knocking balls about on 40
knocking began under the 73
knocking which began at 55
