key assumption underpinning the 47
key employees designated by 83
key encryption techniques to 101
key encryption technology to 42
key functional components of 61
key functional properties of 53
key informant interviews as 42
key informant interviews in 116
key informant interviews of 51
key informant interviews to 113
key political institution in 49
key political institution of 61
key practical information in 88
key strategic importance in 53
key strategic importance to 68
key strategic objectives of 59
key theoretical approaches to 73
