keenly i feel that 349
keeper i told thee 83
kettle a thick bed 223
kicked a ball and 59
kicked a ball with 53
kicked a beer can 91
kicked a goal and 49
kicked a good deal 98
kicked a great deal 52
kicked a rock and 186
kicked a rock off 155
kicked a rock out 139
kicked a rock with 134
kicked a tire and 47
kidnap a girl and 85
killed a baby and 62
killed a beast and 75
killed a beast for 99
killed a beef and 189
killed a beef for 71
killed a bill that 295
killed a bird and 150
killed a bird that 140
killed a bird with 170
killed a boar and 57
killed a boar with 61
killed a buck and 294
killed a buck with 138
killed a bull and 169
killed a bull elk 107
killed a bull for 47
killed a bull that 99
killed a bull with 99
killed a calf and 280
killed a calf for 116
killed a cock and 90
killed a deer and 1722
killed a deer but 50
killed a deer for 190
killed a deer may 75
killed a deer near 95
killed a deer out 148
killed a deer that 248
killed a deer this 70
killed a deer was 53
killed a deer with 344
killed a duck and 135
killed a fawn and 109
killed a fine bear 43
killed a fine cow 53
killed a fine fat 243
killed a fine old 53
killed a fowl and 189
killed a fowl for 99
killed a free man 228
killed a frog and 43
killed a gaul with 51
killed a giant and 61
killed a giant who 46
killed a giant with 104
killed a girl and 234
killed a girl who 143
killed a girl with 60
killed a goat and 623
killed a goat but 47
killed a goat for 252
killed a goat with 47
killed a good deal 284
killed a good fat 47
killed a good few 89
killed a good man 733
killed a great deal 369
killed a great man 58
killed a hare and 171
killed a hare with 54
killed a holy man 43
killed a huge bear 42
killed a huge lion 150
killed a lamb and 162
killed a lamb for 110
killed a living being 53
killed a living man 64
killed a male and 103
killed a mare and 57
killed a month ago 324
killed a mule and 78
killed a nice fat 42
killed a poor man 129
killed a poor old 71
killed a rich man 50
killed a sick man 77
killed a single jew 45
killed a single man 95
killed a single one 230
killed a stag and 107
killed a stag that 130
killed a swan and 55
killed a thief who 61
killed a third man 79
killed a third with 41
killed a very big 78
killed a very fat 297
killed a very few 69
killed a very lean 60
killed a week ago 395
killed a wild cat 697
killed a wild cow 81
killed a wild hog 123
killed a wild pig 797
killed a wolf and 119
killed a wolf that 111
killed a wolf with 114
killed a young bear 67
killed a young boy 462
killed a young cow 46
killed a young lad 59
killed a young lion 57
killed a young man 2893
killed a young one 227
killed a young pig 91
killed i know not 191
killed i must die 131
killed i took off 188
killed i will not 81
kindle a fire all 110
kindle a fire and 1488
kindle a fire for 1373
kindle a fire than 50
kindle a fire that 2059
kindle a fire they 45
kindle a fire with 1177
kindle a love for 129
kindling a fire and 497
kindling a fire for 217
kindling a fire near 48
kindling a fire that 250
kindling a fire they 51
kindling a fire was 79
kindling a fire with 263
kindly a turn that 45
kindly i take his 90
kissed a brow that 45
kissed a girl and 230
kissed a girl for 177
kissed a girl was 47
kissed a girl who 197
kissed a girl with 46
kissed a girl yet 111
kissed a great deal 72
kissed a young man 212
kissed i know not 718
kisses a frog and 113
kisses a girl and 47
kisses i gave her 165
kisses i gave you 103
kisses i have got 61
knight a high idea 74
knight i will die 58
knitting a sock and 40
knitting a sock for 52
knitting i ever saw 40
knocking a book off 98
knocking a chip off 134
knocking a home run 105
knocking a tooth out 66
knocks a home run 145
kroner a month for 242
