kg by stomach tube 152
kg is dropped from 374
kg is infused over 131
kg is released from 524
kg iv infused over 149
kg iv infusion over 155
kg of caustic soda 78
kg of material from 46
kg of patient body 49
king as supreme lord 91
king at hampton pier 128
king be brought back 59
king be removed from 47
king in ancient india 401
king in ancient peru 46
king in council from 201
king in council gave 58
king in council having 48
king in council were 158
king in descent from 49
king in foreign wars 49
king in northern india 93
king in question must 57
king in southern india 100
king is brought into 48
king is derived from 205
king is evident from 146
king is himself their 83
king is removed from 71
king is subject unto 42
king is suffering from 81
king is supreme over 42
king of ancient days 115
king of ancient india 234
king of ancient rome 199
king of babylon also 85
king of babylon came 1329
king of babylon cast 52
king of babylon during 79
king of babylon from 442
king of babylon gave 156
king of babylon heard 100
king of babylon into 63
king of babylon knew 50
king of babylon laid 40
king of babylon made 642
king of babylon must 50
king of babylon sent 245
king of babylon slew 450
king of babylon took 516
king of babylon unto 363
king of babylon went 44
king of babylon were 72
king of babylon when 135
king of babylon will 498
king of castile from 138
king of castile made 95
king of castile sent 44
king of central india 381
king of dahomey sent 56
king of denmark also 95
king of denmark came 100
king of denmark died 74
king of denmark during 46
king of denmark from 305
king of denmark gave 66
king of denmark having 97
king of denmark into 58
king of denmark made 93
king of denmark over 48
king of denmark sent 194
king of denmark took 56
king of denmark upon 132
king of denmark were 102
king of denmark when 56
king of denmark will 61
king of diamonds from 49
king of drivers some 91
king of foreign birth 64
king of foreign race 62
king of germany from 114
king of ireland from 231
king of ireland when 52
king of jericho heard 89
king of jericho sent 351
king of macedon from 94
king of macedon made 57
king of macedon when 57
king of navarre also 75
king of navarre came 86
king of navarre from 238
king of navarre gave 66
king of navarre into 81
king of navarre knew 86
king of navarre made 193
king of navarre sent 81
king of navarre took 61
king of navarre went 57
king of navarre were 272
king of navarre will 58
king of nineveh heard 50
king of northern india 355
king of sardinia also 51
king of sardinia from 167
king of sardinia having 98
king of sardinia made 52
king of sardinia took 56
king of sardinia were 77
king of sardinia will 77
king of southern india 217
king of terrors coming 44
king of terrors into 71
king of terrors when 61
king of terrors will 93
king of western india 66
king or anybody else 236
king or emperor ever 128
king or emperor from 51
king or emperor over 353
king or emperor upon 89
king or emperor were 43
king or emperor whom 107
king or governing body 48
king or subject have 117
king or superior lord 59
king the princes have 54
king to abstain from 140
king to appoint some 77
king to appoint such 41
king to confirm their 133
king to deliver into 88
king to descend from 74
king to discern good 113
king to dismiss from 43
king to dismiss lord 43
king to examine into 69
king to express their 55
king to inquire into 292
king to perform some 61
king to present their 53
king to preside over 359
king to protect their 109
king to receive their 52
king to redress their 94
king to refrain from 193
king to replace saul 52
king to restore peace 46
king to restore their 74
king to support their 67
king to suspend laws 49
king to withdraw from 177
km in diameter have 144
km in diameter were 199
km in maximum width 48
km is divided into 170
km of railway line 203
km of seismic data 156
