kg child sits on 46
kg every four to 106
kg loading dose iv 75
kg loading dose of 155
kg moves along the 110
kg truck moving at 53
kg would have to 139
kg would need to 40
king about whom the 48
king about whom we 85
king acted upon the 40
king after hearing of 91
king after whom the 87
king again came to 45
king again said to 71
king again took the 52
king again took up 59
king again went to 61
king apart from the 127
king arising from the 120
king arose from the 88
king asked what he 243
king asked what it 85
king asked what the 90
king broke into the 49
king burst into the 67
king calls upon the 64
king comes back to 48
king comes down to 45
king comes from the 151
king comes here to 146
king comes into the 125
king could also be 163
king could break us 71
king could call on 130
king could call the 41
king could come to 96
king could come up 108
king could ever be 174
king could fail to 47
king could find no 211
king could give no 81
king could have no 882
king could have the 107
king could hope to 408
king could keep an 43
king could keep the 66
king could lend us 44
king could levy no 187
king could live in 45
king could make it 89
king could make no 266
king could make the 100
king could make up 54
king could only be 534
king could reach the 47
king could rely on 280
king could shut up 40
king could stop it 55
king could take it 48
king could take no 145
king could take the 135
king could think of 170
king could well be 40
king could wish to 40
king david came to 76
king david heard of 61
king david said to 52
king david sent to 46
king dived into the 41
king draws from the 44
king dwelt upon the 55
king every inch of 102
king every time he 41
king falls into the 63
king first came to 121
king first took the 49
king found means of 82
king found means to 139
king found time to 129
king freed from the 42
king gazed upon the 50
king gives leave to 182
king gives rise to 48
king henry came to 46
king henry into the 56
king henry viii in 48
king herod heard of 156
king james came to 73
king james from the 91
king james upon the 48
king james used to 44
king james when he 89
king known from the 57
king knows nothing of 70
king large sums of 83
king leaned back in 97
king makes love to 48
king might also be 80
king might break it 49
king might come to 226
king might find it 75
king might have an 82
king might have in 102
king might have no 80
king might have the 344
king might have to 216
king might hope to 116
king might know the 44
king might levy an 69
king might live in 50
king might live of 138
king might live on 179
king might make the 52
king might only be 52
king might seek to 50
king might take it 61
king might take the 205
king might take to 68
king might think the 65
king might want to 75
king might well be 218
king might wish to 605
king moved into the 71
king moved next to 72
king never came to 41
king never went to 45
king often went to 100
king ought also to 117
king ought ever to 67
king power over the 44
king really meant to 41
king reaped from the 42
king right down to 40
king rises from the 47
king ruled from the 82
king ruled over the 384
king rules over the 157
king seems also to 45
king sending word to 54
king setting forth the 66
king shall bite the 65
king shall come to 252
king shall ever be 179
king shall have it 155
king shall have my 146
king shall have no 209
king shall have the 1260
king shall know it 65
king shall know of 56
king shall send to 61
king shall take the 129
king sitting among the 83
king sitting upon the 75
king spent most of 194
king spent much of 163
king spoke from the 40
king sprung from the 76
king still bears the 43
king still clung to 94
king still held the 42
king stood face to 53
king stood fast in 119
king stood over the 62
king stood ready to 44
king stood upon the 88
king taken from the 106
king takes care of 80
king takes leave of 46
king takes over the 43
king takes part in 63
king tried hard to 98
king under date of 60
king under pain of 103
king under whom he 192
king under whom it 46
king under whom the 378
king waged during the 40
king which made it 40
king which must be 42
king whose duty it 72
king whose hand is 82
king whose heart is 58
king whose life is 56
king whose name he 139
king whose name is 1142
king whose name it 154
king whose name the 56
king whose name we 63
king whose realm is 46
king whose rule is 81
king whose rule of 45
king whose will is 52
king whose word is 113
king wills must be 46
king within reach of 51
king would also be 171
king would call the 42
king would care to 43
king would cease to 140
king would come in 250
king would come to 782
king would dare to 93
king would ever be 102
king would fall in 46
king would fall on 60
king would feel the 50
king would find it 191
king would give it 141
king would give me 192
king would give no 232
king would give the 241
king would give to 80
king would give up 233
king would have an 72
king would have in 58
king would have it 442
king would have me 104
king would have no 762
king would have of 129
king would have so 44
king would have the 762
king would have to 2126
king would have us 54
king would hold in 49
king would hold the 90
king would keep the 60
king would learn of 47
king would leave the 104
king would like to 583
king would look on 82
king would lose the 155
king would make an 46
king would make it 65
king would make no 145
king would make the 167
king would meet the 78
king would need to 167
king would only be 106
king would rely on 50
king would rule in 48
king would rule the 51
king would seek to 54
king would seem the 51
king would seem to 318
king would send an 129
king would send me 69
king would send the 46
king would send to 95
king would soon be 387
king would speak to 81
king would stop the 48
king would swear to 46
king would take an 134
king would take it 232
king would take my 41
king would take no 161
king would take the 423
king would think he 40
king would think of 86
king would turn to 55
king would want to 252
king would wish to 232
king wrote from the 40
km after leaving the 77
km apart along the 317
km apart from the 535
km drive from the 48
km either side of 395
km round trip to 82
km strip along the 172
km total length of 113
km where there is 71
