karat rating relates to 128
keeping away because of 44
keeping down replies of 52
keeping evil spirits at 105
keeping farm animals in 85
keeping firm control of 129
keeping flat against the 52
keeping food between the 51
keeping full control of 145
keeping full records of 106
keeping good company in 56
keeping good records is 141
keeping good records of 361
keeping good records on 64
keeping great numbers of 106
keeping into account the 471
keeping jobs because of 41
keeping just outside the 179
keeping more closely in 50
keeping more closely to 202
keeping open avenues of 46
keeping other aspects of 71
keeping other members of 53
keeping peace between the 549
keeping side effects to 42
keeping some aspects of 76
keeping such animals in 52
keeping such company as 89
keeping such matters to 52
keeping such persons in 78
keeping such records as 205
keeping such records in 112
keeping such records is 103
keeping such records of 56
keeping their animals in 62
keeping their balance by 62
keeping their balance in 94
keeping their balance on 127
keeping their capital in 50
keeping their charges in 49
keeping their clients in 47
keeping their conduct in 40
keeping their courage up 61
keeping their emotions in 92
keeping their enemies at 55
keeping their friends in 55
keeping their members in 108
keeping their numbers in 118
keeping their numbers up 167
keeping their opinions to 234
keeping their parents in 47
keeping their position as 63
keeping their position by 93
keeping their position in 96
keeping their position on 54
keeping their promise of 93
keeping their promise to 439
keeping their records in 96
keeping their records up 90
keeping their reports in 44
keeping their secrets to 61
keeping their spirits up 705
keeping their thoughts to 404
keeping these animals in 101
keeping these criteria in 44
keeping these factors in 231
keeping these insects in 56
keeping these records in 80
keeping these records is 101
keeping these records up 99
keeping these systems in 44
keeping these thoughts in 51
keeping these tyrants in 72
keeping those fellows in 164
keeping vast numbers of 89
keeping very closely to 75
keeping well outside the 108
keeping wild animals as 100
keeping wild animals in 360
keeping your balance in 98
keeping your balance is 60
keeping your balance on 97
keeping your balance to 40
keeping your decrees to 69
keeping your emotions in 114
keeping your opinions to 115
keeping your promise of 68
keeping your promise to 412
keeping your records in 54
keeping your spirits up 390
keeping your thoughts in 41
keeping your thoughts on 83
keeping your thoughts to 103
keeps ever present the 47
keeps ever present to 48
keeps firm control of 59
keeps from mortals the 42
keeps full control of 105
keeps full records of 40
keeps good account of 59
keeps good records of 97
keeps into account the 61
keeps more closely to 466
keeps most closely to 91
keeps moving forward in 114
keeps moving towards the 50
keeps rising because of 46
keeps such records as 52
keeps their spirits up 47
keeps these thoughts to 50
keeps those wonders in 125
keeps very closely to 148
keeps well wrapped up 48
keeps your spirits up 52
keyed more closely to 52
kicking back against the 46
kicking hard against the 122
kicks back against the 49
kicks will stiffen the 42
killing blow against the 94
killing five hundred of 80
killing five members of 130
killing four hundred of 53
killing four members of 197
killing four thousand of 73
killing great numbers of 974
killing huge numbers of 203
killing many members of 61
killing many millions of 67
killing many species of 54
killing other animals in 184
killing other members of 111
killing some members of 84
killing some persons of 42
killing such animals as 79
killing their enemies in 71
killing their victims by 48
killing their victims in 46
killing these animals is 43
killing three hundred of 448
killing three members of 171
killing three thousand of 76
killing time between the 42
killing vast numbers of 396
killing wild animals in 58
killing wild animals is 53
kills from thirteen to 40
kills great numbers of 353
kills huge numbers of 48
kills many bacteria in 50
kills many species of 121
kills most bacteria in 138
kilns were lighted up 42
kilns were located in 85
kinds best adapted to 128
kinds have appeared in 74
kinds have existed in 43
kinds have impacts on 65
kinds have reigned so 236
kinds made against the 64
