keen and correct sense 54
keen and impulse strong 65
keen old schemer knows 64
keep all parties happy 82
keep and curtain walls 59
keep any promise about 46
keep bad company after 42
keep both parties happy 64
keep cut flowers fresh 83
keep for himself alone 221
keep for several hours 377
keep for several months 4887
keep for several weeks 4370
keep going forward until 48
keep her answers short 41
keep her balance while 233
keep her bladder empty 50
keep her company after 117
keep her company until 447
keep her company while 1222
keep her diabetes under 41
keep her emotions under 923
keep her exactly where 42
keep her faithful watch 56
keep her husband alive 251
keep her husband happy 413
keep her husband under 87
keep her husband waiting 62
keep her marriage alive 64
keep her parents happy 60
keep her promise about 80
keep her spirits quiet 84
keep her thoughts about 50
keep her thoughts fixed 152
keep her thoughts under 47
keep her valleys green 44
keep him company after 115
keep him company until 384
keep him company while 1080
keep him covered while 60
keep him morally alive 140
keep him sedated until 57
keep him upright while 48
keep his academy above 119
keep his account books 77
keep his ambition within 44
keep his animals alive 64
keep his animals healthy 45
keep his answers short 237
keep his anxiety under 87
keep his balance under 40
keep his balance until 45
keep his balance while 949
keep his behavior within 48
keep his chamber longer 49
keep his clients happy 66
keep his company alive 98
keep his desires within 48
keep his diabetes under 66
keep his emotions under 1118
keep his factory running 109
keep his friends close 100
keep his friends waiting 60
keep his library apart 66
keep his machine running 44
keep his machine under 80
keep his majesty close 78
keep his majesty waiting 98
keep his muscles loose 44
keep his muscles strong 53
keep his muscles tense 214
keep his muscles toned 57
keep his muscles within 49
keep his parents happy 79
keep his passions under 133
keep his patient alive 153
keep his patient under 51
keep his picture while 76
keep his pitiful image 54
keep his position after 48
keep his position until 87
keep his present place 68
keep his promise about 380
keep his promise after 71
keep his promise given 45
keep his promise never 81
keep his promise until 44
keep his promise would 43
keep his purpose within 77
keep his remarks brief 132
keep his silence about 62
keep his stomach under 61
keep his thoughts about 90
keep his thoughts close 46
keep his thoughts fixed 343
keep his thoughts under 65
keep his vehicle under 116
keep its balance sheet 50
keep its balance while 52
keep its capital stock 44
keep its economy growing 55
keep its economy running 163
keep its members alive 140
keep its members fully 45
keep its members under 54
keep its members within 52
keep its numbers within 90
keep its operating costs 55
keep its surface moist 77
keep its workers happy 44
keep our clients happy 73
keep our country strong 503
keep our culture alive 168
keep our economy growing 155
keep our economy healthy 75
keep our economy running 121
keep our economy strong 179
keep our emotions under 165
keep our friends waiting 52
keep our heavenly father 98
keep our language alive 70
keep our marriage alive 67
keep our marriage strong 69
keep our natural taste 64
keep our numbers within 53
keep our passions alive 54
keep our passions under 60
keep our passions within 48
keep our priests within 79
keep our private lives 120
keep our species alive 50
keep our spirits alive 73
keep our thoughts close 98
keep our thoughts fixed 195
keep out british goods 114
keep out european goods 66
keep out foreign firms 63
keep out foreign goods 972
keep out foreign grain 57
keep out surface water 203
keep real exchange rates 70
keep that culture alive 47
keep that illusion alive 41
keep that promise which 50
keep them company until 85
keep them company while 179
keep them covered until 136
keep them covered while 96
keep them dormant until 50
keep them excited about 96
keep them forever apart 67
keep them notably apart 70
keep them rigidly apart 74
keep them sinless while 50
keep them steadily fixed 71
keep them steadily under 45
keep them tightly sealed 47
keep them together after 130
keep them together longer 63
keep them together rather 43
keep them together under 131
keep them together until 306
keep them together while 120
keep them updated about 63
keep them watered until 52
keep things together until 96
keep things together while 50
keep this chapter brief 46
keep this chapter short 123
keep this chapter within 213
keep this company alive 51
keep this country running 48
keep this country strong 59
keep this dreadful pother 758
keep this example short 68
keep this machine running 40
keep this patient alive 56
keep this peevish frame 61
keep this position until 63
keep this problem under 152
keep this process under 42
keep this project alive 118
keep this question alive 44
keep this question under 153
keep two youthful hearts 77
keep you company after 57
keep you company until 1241
keep you company while 1899
keep you exactly where 57
keep you excited about 97
keep you riveted until 82
keep you updated about 166
kept and carried about 107
kept and handled under 41
kept and reports filed 47
kept both parties quiet 55
kept for fifteen months 58
kept for himself alone 128
kept for pleasure rather 43
kept for several hours 1243
kept for several miles 116
