kg car from rest 127
kg each were used 137
kg for five days 204
kg for male rats 81
kg for three days 142
kg has also been 141
kg has been used 501
kg lean body mass 524
kg per week during 47
king and army were 125
king and duke held 69
king and duke used 86
king and duke were 200
king and even more 139
king and fell upon 46
king and five other 40
king and gain time 40
king and have been 47
king and have only 121
king and held their 76
king and hold their 41
king and laud were 65
king and lord must 46
king and lord north 287
king and lord over 631
king and make their 50
king and many great 42
king and many other 196
king and most pious 41
king and must have 71
king and none other 117
king and nothing more 94
king and other great 166
king and other high 107
king and other leading 43
king and pope came 63
king and pope over 59
king and pope were 244
king and rule over 315
king and said unto 101
king and some other 119
king and take over 155
king and their army 135
king and there were 126
king and these three 111
king and those whom 87
king and three other 86
king and took over 173
king and went away 98
king and went back 79
king and went home 60
king and went into 51
king and went over 201
king and your lord 90
king are those made 63
king but also from 67
king but great york 71
king can hope nothing 43
king can move only 43
king can only have 49
king can only move 45
king can take away 120
king doth only make 56
king for five days 55
king for five years 207
king for four years 298
king for having been 64
king for having kept 54
king for life from 45
king for making peace 56
king for many years 621
king for nine years 93
king for only three 66
king for some days 52
king for some foot 44
king for some great 85
king for some time 1291
king for some years 155
king for their good 43
king for their lord 80
king for their safe 40
king for three days 159
king for three years 395
king got down from 100
king got very angry 66
king had also been 204
king had also less 67
king had also made 76
king had also sent 147
king had also some 53
king had been able 633
king had been away 87
king had been born 620
king had been busy 70
king had been duly 71
king had been gone 42
king had been heard 90
king had been held 61
king had been kept 85
king had been laid 125
king had been left 109
king had been living 94
king had been lost 61
king had been made 558
king had been making 96
king had been more 746
king had been most 69
king had been much 265
king had been nothing 40
king had been only 119
king had been ready 48
king had been seen 152
king had been sent 178
king had been shot 102
king had been some 55
king had been such 60
king had been taking 44
king had been their 40
king had been there 449
king had been told 317
king had been torn 86
king had been trying 80
king had been used 111
king had been very 747
king had been well 195
king had been wise 50
king had been wont 63
king had come back 170
king had come down 177
king had come from 130
king had come home 49
king had come into 193
king had died during 52
king had done more 51
king had done much 53
king had done nothing 242
king had done very 53
king had done well 77
king had done what 52
king had done wrong 61
king had even been 43
king had ever been 506
king had ever done 279
king had ever made 102
king had ever seen 169
king had five sons 52
king had fled from 222
king had four sons 101
king had gone away 99
king had gone back 66
king had gone down 102
