kaolin or china clay 1840
keenly on every side 197
keeper in every jail 90
keeper of every such 110
keeper of world peace 66
keeper to henry viii 41
kennel of hunting dogs 47
kernel of human life 70
kernel of human truth 88
kernel of indian corn 141
kernel of moral truth 45
kettle in which there 41
kettle is boiling over 186
kettle is taken from 48
kettle of boiling lard 142
kettle of boiling soap 106
kettle of boiling soup 93
kettle of melting snow 42
kettle of water from 396
kettle of water heating 64
kettle of water into 80
kettle of water over 561
kettle of water will 58
kettle or dutch oven 2000
kettle or small cask 66
kicked an empty beer 88
kicked at every jump 60
kicked in every port 48
kicked it about like 56
kicked it about upon 57
kicked it right back 83
kicked me really hard 44
kicked my heels into 55
kicked my heels there 58
kicked my horse into 82
kicked the cabin door 70
kicked the chair away 420
kicked the chair back 120
kicked the chair from 164
kicked the chair over 166
kicked the doors open 123
kicked the engine into 224
kicked the engine over 107
kicked the field goal 217
kicked the front door 667
kicked the front tire 130
kicked the gelding into 71
kicked the horse hard 55
kicked the horse into 784
kicked the knife away 188
kicked the knife from 166
kicked the knife into 47
kicked the motor into 57
kicked the phone away 116
kicked the plane into 42
kicked the props from 52
kicked the rifle away 89
kicked the sheet away 50
kicked the stall door 65
kicked the stand down 103
kicked the stool away 133
kicked the stool from 106
kicked the sword away 41
kicked the table away 50
kicked the table from 71
kicked the table over 551
kicked the weapon away 99
kicked the weapon from 97
kicked the winning goal 188
kidnap or carry away 61
kidney in which there 166
kidney is about four 176
kidney is freed from 85
kidney is taken from 44
kidney on either side 124
kidney or black beans 98
kidney or pinto beans 406
killed an adult male 162
killed an enemy must 69
killed at close range 358
killed at every shot 84
killed at mount hope 60
killed at night when 55
killed at santa cruz 87
killed at seven oaks 103
killed at short range 152
killed by aaron burr 331
killed by black bears 75
killed by blows from 325
killed by bombs from 98
killed by breaking their 126
killed by cutting their 139
killed by either side 103
killed by enemy fire 2084
killed by falling beams 47
killed by falling down 761
killed by falling from 2117
killed by falling into 434
killed by falling over 950
killed by falling rock 104
killed by falling tree 129
killed by falling upon 78
killed by falls from 105
killed by frost during 64
killed by fumes from 73
killed by getting into 45
killed by human beings 186
killed by hunting dogs 48
killed by jumping from 88
killed by lynch mobs 123
killed by motor cars 90
killed by passing cars 111
killed by people from 99
killed by people like 60
killed by plunging into 49
killed by polar bears 348
killed by rifle fire 644
killed by rival gangs 56
killed by round shot 55
killed by running into 47
killed by santa anna 49
killed by shell fire 645
killed by shots from 410
killed by small arms 228
killed by small shot 80
killed by snake bite 141
killed by solid shot 41
killed by white mobs 115
killed en route from 55
killed he would have 267
killed in about three 126
killed in action along 70
killed in action died 114
killed in action during 4341
killed in action early 369
killed in action four 54
killed in action from 131
killed in action have 83
killed in action july 324
killed in action june 217
killed in action just 187
killed in action last 113
killed in action leading 104
killed in action less 53
killed in action only 171
killed in action over 1393
killed in action some 102
killed in action soon 107
killed in action there 526
killed in action three 146
killed in action were 794
killed in action when 488
killed in action will 58
killed in china during 53
killed in civil wars 121
killed in cross fire 99
killed in dodge city 40
killed in eight days 98
killed in either case 40
killed in falling from 90
killed in falls from 92
killed in fishing nets 148
killed in hunting must 58
killed in hunting were 53
