cafeteria serves breakfast 52
caffeine intake increases 43
calabash placed underneath 168
calamity already happened 266
calamity became apparent 82
calamity should overtake 173
calamity without parallel 497
calcifying matrix vesicles 274
calcined sodium sulphate 248
calculus reform movement 476
calculus without identity 121
calendar unless otherwise 74
callable before maturity 238
calories through activity 87
calories through exercise 424
calories through physical 161
calories without nutrition 45
calories without vitamins 122
campaign almost entirely 256
campaign already launched 53
campaign already mentioned 61
campaign already underway 215
campaign around richmond 568
campaign became apparent 164
campaign before richmond 1120
campaign before washington 42
campaign bumper stickers 210
campaign called attention 48
campaign called operation 379
campaign failed dismally 45
campaign gained momentum 1289
campaign gathers momentum 106
campaign greatly increased 64
campaign issues included 46
campaign proved abortive 99
campaign public relations 104
campaign raised questions 66
campaign raises questions 49
campaign should commence 93
campaign should continue 211
campaign should therefore 85
campaign spending increased 65
campaign spending violations 46
campaign through personal 45
campaign toward richmond 237
campaign training seminars 47
campaign without adequate 98
campaign without consulting 397
campaign without disgrace 104
campaign without parallel 136
campaign without recruits 46
campfire burned brightly 64
canceled checks received 64
canceled checks returned 606
candidly answer questions 43
canopied niches containing 348
canvassing boards disagree 52
capacious wooden armchair 63
capacity across multiple 41
capacity almost entirely 67
capacity already licensed 57
capacity already mentioned 43
capacity became apparent 117
capacity building activity 240
capacity building approach 434
capacity building exercise 273
capacity building includes 60
capacity building involves 90
capacity building programs 1735
capacity building projects 876
capacity building provided 44
capacity building required 101
capacity building requires 292
capacity building services 142
capacity building strategy 497
capacity building workshop 165
capacity carrying capacity 76
capacity curves obtained 54
capacity design approach 426
capacity factor decreases 171
capacity factor increases 420
capacity further increased 134
capacity greatly exceeded 122
capacity greatly expanded 48
capacity greatly increased 256
capacity greatly increases 50
capacity planning activity 57
capacity planning analysis 69
capacity planning decisions 261
capacity planning exercise 219
capacity planning functions 71
capacity planning involves 84
capacity planning problems 125
capacity planning purposes 287
capacity planning requires 90
capacity planning strategy 57
capacity remain constant 58
capacity remain unchanged 58
capacity should consider 77
capacity should continue 90
capacity should normally 43
capacity should probably 51
capacity should therefore 156
capacity through education 161
capacity through enhanced 40
capacity through exercise 60
capacity through expansion 48
capacity through improved 169
capacity through increased 154
capacity through internal 46
capacity through overtime 64
capacity values obtained 145
capacity varies directly 508
capacity varies somewhat 61
capacity without adequate 59
capacity without authority 59
capsules around silicone 61
captains already mentioned 70
captains charge concerning 96
captives awaiting massacre 41
captives through churches 42
captured allied aircraft 67
captured allied soldiers 112
captured almost entirely 96
captured eleven american 192
captured eleven merchant 44
captured english merchant 64
captured english officers 76
captured english soldiers 66
captured french colonies 133
captured french corvette 87
captured french frigates 56
captured french officers 239
captured french soldiers 283
captured german aircraft 191
captured german archives 282
captured german colonies 289
captured german document 290
captured german generals 313
captured german machines 44
captured german merchant 94
captured german military 225
captured german officers 665
captured german positions 97
captured german prisoner 56
captured german soldiers 938
captured german supplies 59
captured german trenches 400
captured german uniforms 57
captured german vehicles 137
captured german warships 107
captured global attention 123
captured hessian officers 61
captured israeli soldiers 179
captured italian generals 57
captured italian officers 62
captured italian soldiers 108
captured italian vehicles 42
captured little attention 67
captured polish officers 341
captured polish soldiers 85
captured public attention 2929
captured public interest 754
captured public property 86
captured russian officers 181
captured russian soldiers 308
captured something essential 175
captured soviet military 55
captured soviet soldiers 187
captured through treachery 194
captured twelve triremes 52
captured whilst attempting 63
captured whilst proceeding 63
captured without endangering 89
captured without incident 86
captures public attention 527
captures public interest 85
captures something essential 518
captures thermal neutrons 142
carbines without bayonets 57
carbonyl carbon chemical 65
carbonyl groups adjacent 105
carbonyl groups attached 185
carbonyl groups increases 41
carbonyl groups involved 82
cardigan sweater buttoned 112
cardinal common cardinal 214
cardinal margin straight 157
cardinal should announce 46
careless manner possible 114
careless methods employed 48
careless pretty creatures 44
careless thought intrudes 82
caressed without misgivings 44
carpeted marble stairway 40
carriages became entangled 44
carriers already mentioned 42
carriers offering services 59
carriers should continue 72
carriers without clinical 42
carriers without symptoms 160
cascaded decade counters 123
casually drinking martinis 50
casualty losses deducted 41
casualty losses incurred 299
casualty losses suffered 50
casualty without objection 43
catalyst before analysis 66
catalyst system composed 45
catalyst system comprising 125
catalyst system consisting 141
catalyst system consists 64
catalyst system containing 79
catalyst system employed 69
catalyst volume required 58
catalyze various chemical 83
cataract masses produced 42
cataract without operation 44
category across languages 43
category already mentioned 46
category before proceeding 60
category clearly includes 60
category mainly consists 87
category mainly includes 82
category second category 68
category should consider 61
category should continue 57
category should probably 110
category should therefore 62
category system designed 50
category system proposed 59
category system provides 63
category wholly distinct 45
cathedral itself occupies 63
cathedral museum contains 45
cathedral sacred industry 95
catheters become infected 87
catheters placed directly 40
causally linked sequence 80
causation always involves 68
causation arises entirely 215
