cabinet appointments included 43
calcium antagonistic activity 155
calcium concentration controls 82
calcium concentration declines 89
calcium concentration decreased 108
calcium concentration decreases 942
calcium concentration gradient 149
calcium concentration increased 182
calcium concentration increases 2958
calcium concentration inhibits 128
calcium concentration initiates 91
calcium concentration normally 103
calcium concentration remained 59
calcium concentration required 351
calcium concentration triggers 150
calcium sequestration activity 59
calorie malnourished children 848
cambric handkerchief concealed 41
cameras specifically designed 76
candles respectively opposite 95
capital contributions actually 75
capital contributions included 111
capital contributions received 209
capital contributions required 118
capital distributions received 77
capital expenditures actually 48
capital expenditures amounted 186
capital expenditures approved 54
capital expenditures averaged 155
capital expenditures budgeted 50
capital expenditures compared 47
capital expenditures declined 130
capital expenditures decreased 50
capital expenditures designed 47
capital expenditures directly 168
capital expenditures exceeded 74
capital expenditures financed 234
capital expenditures included 147
capital expenditures increased 611
capital expenditures incurred 2190
capital expenditures involved 266
capital expenditures proposed 59
capital expenditures pursuant 182
capital expenditures relative 132
capital expenditures remained 53
capital expenditures reported 74
capital expenditures required 2213
capital expenditures requires 53
capital improvements designed 48
capital improvements financed 134
capital improvements programs 257
capital improvements projects 220
capital improvements proposed 55
capital improvements required 129
capital legitimately invested 81
capital productively employed 145
capital productively invested 79
capital productivity declined 371
capital productivity declines 41
capital productivity decreases 45
capital productivity increased 92
capital productivity increases 143
capital requirements compared 44
capital requirements increased 173
capital requirements involved 329
capital requirements provided 56
capital requirements relative 205
capital requirements required 44
capital successively employed 54
captain legitimately declined 49
capture international attention 219
capturing international attention 51
careful conservative treatment 67
careful consideration concerning 64
careful consideration possible 47
careful consideration suggests 112
careful consideration therefore 40
careful consideration whenever 86
careful contemporary observer 65
careful experimental analysis 261
careful experimental approach 51
careful experimental controls 113
careful experimental evidence 82
careful experimental scrutiny 69
careful fluoroscopic monitoring 80
careful governmental controls 80
careful histological analysis 76
careful institutional analysis 40
careful intellectual analysis 85
careful investigation concerning 79
careful investigation rendered 165
careful investigation reported 59
careful investigation resulted 46
careful investigation suggests 46
careful philological analysis 105
careful phonological analysis 45
careful prophylactic treatment 85
careful quantitative analysis 727
careful requirements analysis 42
carried agricultural products 72
carried considerable authority 229
carried considerable distance 72
carried considerable economic 46
carried considerable prestige 456
carried considerable symbolic 85
carried fragmentation grenades 66
carried horizontally backward 54
carrier communication services 386
