jabber through 54 jealous anyone 84
joined showed 48 joined shared 46
joined wanted 45 joined timothy 102
joined another 79 joined begged 68
joined sister 40 joined patrol 221
joined second 127 joined seventh 42
joined became 116 joined helped 47
joined stared 63 joined raised 326
joined became 107 joined dinner 90
joined became 214 joined reasons 41
joined waited 50 joined fought 60
joined became 43 joined common 54
joints boiled 134 judged rivals 72
judges actors 91 jumble papers 94
jumble gravel 175 jumble images 50
jumped landed 43 jumped plunged 41
jumped rolled 43 jumped looked 44
jungles malaya 72 juries twelve 189
