jacket worn 40 jealous over 47
jealous have 94 joined ends 316
joined ends 85 joined ends 41
joined ends 184 joined from 42
joined from 100 joined from 47
joined from 61 joined from 43
joined duty 51 joined from 40
joined dark 81 joined high 114
joined lord 71 joined boys 79
joined army 167 joined from 48
joined high 48 joined when 89
joined pact 60 joined club 77
joined during 80 joined stir 53
joined have 45 joined young 106
joints were 281 joints dogs 50
judged more 47 judged more 40
judges during 45 judges were 65
jumble meant 51 jumped from 40
