jarred foot 133 jealous their 158
jewels foot 324 joints knee 175
jokingly only 87 jotted data 86
jotted three 91 joyful coming 345
joyful peace 51 joyful were 44
judged show 46 judged take 126
judged good 40 judges most 41
judges much 50 judges have 62
judges task 43 judges their 83
judges most 168 judges much 44
judges only 86 judges give 94
judges have 46 judges town 66
judges case 40 judges able 118
judges those 41 judges very 43
juggle once 161 juggling once 41
jumped range 86 jumped reach 104
jumped back 93 jumped cart 47
jumped rock 121 jumped roof 109
jumped wall 276 jumped their 82
jumped these 60 jumped those 62
jurors five 47 jurors able 47
jurors heard 77 justly have 45
justly make 45 justly most 52
justly those 44 justly have 40
