jail murder 49 join united 123
join common 175 jury guilty 191
jury guilty 501 jury guilty 43
jury indict 67 jury indict 69
jury whether 109 jury served 163
jury further 44 jury called 54
just seemed 105 just street 74
just summer 48 just female 149
just pretty 65 just something 56
just public 51 just wanted 41
just reached 116 just school 355
just cubans 49 just answer 45
just window 47 just unjust 45
just belief 126 just second 134
just latter 109 just notice 83
just something 44 just rights 107
just wisdom 697 just sister 103
just school 177 just church 171
just school 156 just unjust 213
