jabbed an angry finger at 48
jabbed the fork into the 54
jacket he wore when he 56
jacket is worn over the 108
jacket to make sure he 54
jacket to make sure it 48
jacket to make sure the 84
jacket to show what he 50
jailer to come down the 66
jammed it back into the 140
jammed it deep into the 41
jammed it down into the 57
jammed it down over my 42
jammed it down over the 41
jammed my feet into my 61
jammed my foot down on 81
jammed my hand into my 41
jammed the keys into the 75
jerked it away from me 80
jerked it away from the 77
jerked it from side to 49
jerked me away from the 59
jerked me back into the 79
jerked my thumb over my 110
jerked the cord from the 45
jerked the door open in 48
jerked the door open to 75
jerked the keys from the 56
jerked the rope from the 59
jewels in your eyes to 51
jogged on from month to 50
joined at their base by 60
joined at their base to 49
joined at their ends by 247
joined at their ends to 223
joined at their tops by 78
joined by five sail of 43
joined by four more of 65
joined by jews from the 53
joined by many from the 141
joined by many more of 82
joined by some form of 86
joined by some from the 100
joined by some kind of 56
joined by some more of 207
joined by some sort of 48
joined by those from the 311
joined by three more of 45
joined in from time to 575
joined in many ways to 95
joined in some form of 50
joined in some kind of 92
joined in some sort of 83
joined in their work by 88
joined in these acts of 51
joined on their left by 47
joined or come over to 40
joined the army during the 813
joined the army early in 154
joined the army from the 188
joined the army late in 55
joined the army only the 45
joined the army only to 50
joined the army when he 602
joined the army when it 45
joined the army when the 154
joined the beta theta pi 44
joined the firm during the 44
joined the gold rush in 225
joined the gold rush of 54
joined the gold rush to 1038
joined the great army of 448
joined the great body of 141
joined the great mass of 68
joined the great throng of 48
joined the great tide of 92
joined the great wave of 54
joined the losing side in 40
joined the main army as 91
joined the main army at 567
joined the main army in 310
joined the main army of 152
joined the main army on 212
joined the main army the 41
joined the main body at 408
joined the main body in 162
joined the main body of 2366
joined the main body on 110
joined the main line at 118
joined the main line of 123
joined the main part of 64
joined the main road at 155
joined the main road to 276
joined the navy during the 186
joined the navy when he 323
joined the other boys in 229
joined the other half of 48
joined the other kids in 63
joined the other three at 47
joined the other three in 92
joined the rising tide of 64
joined the road from the 66
joined the road leading to 50
joined the union army as 1282
joined the union army at 293
joined the union army in 661
joined the union army to 230
joined the union during the 181
joined the vast army of 155
joined the wrong band of 57
joined the wrong side in 43
joined thy soft hand to 46
joined to form what is 40
joined to main land of 47
joined to some part of 127
joined to will seem to 40
joined to your love of 47
joined us from time to 189
joints to take care of 61
jolted me back into the 63
jotted the name down on 54
joules of work must be 74
judged by their lack of 53
judged in part from the 116
judged it high time to 284
judged it most safe to 95
judged it their duty to 264
judged of life from the 42
judged the best means to 53
judged the most wise to 91
judged the raft must be 80
judged the same fact to 54
judged the time ripe to 308
judged the very best we 114
judged to come from the 57
judged to date from the 41
judged to fall into the 56
judged to have been an 191
judged to have been as 89
judged to have been at 104
judged to have been in 267
judged to have been of 204
judged to have been so 90
judged to have been the 637
judged to have come to 49
judged to have done so 204
judged to have done the 84
judged to have lost the 87
judged to have made an 77
judged to have made the 291
judged to have nothing to 64
judged to rank next in 296
judges do their best to 55
judges in their role as 44
judges in their task of 50
judges in these feats of 131
judges of what form is 121
judges of what kind of 45
judges of what will be 50
judges to break down the 141
judges to deny bail to 140
judges to have been in 73
judges to have been the 155
judges to have laid the 41
judges to look into the 57
judges to pass upon the 107
judges to take care of 45
judges to take part in 77
jumped at once from the 71
jumped at once into the 203
jumped or fell from the 179
jumped or fell into the 163
jumped or fell over the 59
jumped the curb onto the 40
jumped to their deaths in 77
jumped to their deaths on 57
jumped to their deaths to 55
jumped to their feet as 943
jumped to their feet at 283
jumped to their feet in 611
jumped to their feet the 84
jumped to their feet to 574
jumped up from among the 103
jumped up from time to 123
jurors of their duty to 75
jurors to rely upon an 64
justly be made from the 54
justly in what part of 40
