db below full scale 236
do about drug abuse 41
do about four times 84
do about good farming 96
do about high blood 56
do about last night 79
do about other people 397
do about such cases 157
do about such people 75
do about their child 74
do about their father 59
do about their lives 110
do about their mother 45
do about their wives 74
do about these cases 64
do about these facts 51
do about these kinds 40
do about these people 629
do about these risks 52
do about these threats 43
do about those facts 45
do about those people 149
do about those which 50
do about three hours 52
do about three times 131
do about video games 58
do about what makes 85
do about what people 112
do about your child 182
do about your father 268
do about your house 73
do about your money 43
do about your mother 455
do abuse their power 101
do after having fired 81
do after last night 59
do after their first 77
do after their works 371
do after three months 43
do after work hours 49
do after your mother 44
do again what gives 43
do anything else about 531
do anything else after 235
do anything else again 95
do anything else apart 78
do anything else either 529
do anything else first 97
do anything else rather 105
do anything else really 47
do anything else right 441
do anything else since 151
do anything else today 341
do anything else under 163
do anything else until 1270
do anything else which 935
do anything else while 1313
do anything else within 100
do anything else would 1514
do anything even though 119
do anything ever again 219
do anything from morning 44
do anything from which 229
do anything here until 50
do anything here which 52
do anything into which 143
do anything just right 81
do anything last night 252
do anything less would 565
do anything more about 1465
do anything more after 90
do anything more pleasing 80
do anything more today 115
do anything more until 413
do anything more would 96
do anything much about 1393
do anything much until 46
do anything over again 99
do anything rash about 85
do anything rash until 243
do anything rash while 123
do anything there which 69
do anything till after 130
do anything till morning 58
do anything upon which 53
do anything very silly 40
do anything well until 43
do anything well which 98
do anything worth speaking 198
do anything worth talking 49
do anything worth while 2880
do anything wrong after 55
do anything wrong again 332
do anything wrong either 121
do anything wrong today 61
do apart from resting 129
do apart from writing 40
do appear more often 42
do arise from within 46
do array their tawny 98
do aught good never 391
do belie their hearts 48
do cause these small 93
do change their lives 43
do change their meanings 87
do change their minds 1145
do change their names 95
do change their party 43
do change their shape 51
do change their views 86
do cover health costs 43
do decry good works 114
do deeds from which 54
do easily what others 57
do eight years later 55
do enter into value 131
do every duty which 77
do every other night 47
do exist among people 52
do exist among social 99
do exist even though 197
do exist from which 50
do exist have often 113
do extra work after 44
do field work under 42
do fifty years later 122
do forty years later 89
do girls know about 45
do girls talk about 92
do heaven only knows 102
do human beings create 52
do human beings exist 46
do human beings place 103
do human beings really 94
do human beings stand 42
do leaves turn brown 89
do light work about 88
do lower your voice 59
do nobly what others 73
do occur during sleep 115
do occur even after 43
do occur even though 103
do occur even under 40
do occur more often 473
do occur take place 159
do occur very often 119
do occur when people 56
do offer some basis 44
do offer some brief 42
do offer some clues 82
do often take place 64
do often talk about 43
do others feel about 207
do others think about 219
do ought good never 127
do paint their faces 58
do people care about 341
do people dream about 86
do people feel about 1225
do people feel after 43
do people have about 537
do people help others 49
do people hold about 93
do people hold money 195
do people join unions 90
do people keep telling 44
do people kill people 79
do people know about 1041
do people know where 184
do people know which 54
do people learn about 283
do people like about 98
do people live longer 55
do people live where 81
do people make about 76
do people make sense 260
do people most often 181
do people play games 47
do people save money 43
do people take drugs 243
do people talk about 1667
do people think about 2700
do people walk about 104
do pitch their brave 53
do please make haste 74
do prize their hours 97
do prove those parts 75
do quite well after 107
do quite well under 160
do quite well until 47
do quite well while 50
do raise their hands 78
do really care about 254
do really know about 167
do really take place 233
do really teach anything 231
do reason upon short 73
do reveal much about 187
do right even though 53
do right only under 226
do right upon writs 51
do right when others 120
do seven years later 54
do share some basic 138
do sixty years later 46
do small work close 49
do spend less money 62
do spend many hours 42
do spend more money 147
do spend their lives 67
do spend their money 192
do still care about 243
do still more often 43
do still take place 206
do still think about 41
do thirty years later 347
do today what could 44
do trees have leaves 103
do truly good works 44
do under free trade 47
do until much later 81
do water their honey 49
do while your father 46
do within those lines 85
do within three months 94
do women feel about 457
do women have equal 66
do women know about 333
do women live longer 1522
do women talk about 104
do women think about 97
do worry more about 99
do would ever change 189
