deceptively calm surface of 75
declarations from members so 49
declarations must precede the 65
declarations were adopted by 120
declarations were subject to 92
declarative main clauses in 176
deformations were measured by 111
deformities were present in 58
degenerated into anarchy or 48
degenerated into attacks on 46
degenerated into violence in 47
degenerated into worship of 52
degenerates into madness or 99
degenerates when trusted to 1356
degeneration were present in 74
deliberated these affairs in 122
deliberation among members of 44
deliberation over matters of 42
deliberation upon matters of 60
delimitation line between the 97
delinquents were allowed to 56
delinquents were brought to 100
delinquents were members of 49
delinquents were natives of 49
delinquents were ordered to 53
deliquesces when exposed to 202
deliverance from babylon is 92
deliverance from bondage by 773
deliverance from bondage in 558
deliverance from bondage is 90
deliverance from bondage of 85
deliverance from bondage or 69
deliverance from bondage to 836
deliverance from richard the 68
deliverance from slavery in 1387
deliverance from slavery to 383
deliverance from suffering by 64
deliverance from suffering in 131
deliverance from suffering is 99
deliverance from suffering to 50
deliverance make between the 454
democracies have managed to 89
democracies were beginning to 47
democracies were unwilling to 58
democracies what tyranny is 167
democracies work together to 173
demographic data between the 56
demographic data regarding the 122
demographic data related to 187
demonstrate good control of 43
demonstrate high degrees of 148
demonstrate many aspects of 103
demonstrate many features of 62
demonstrate more closely the 40
demonstrate more loyalty to 49
demonstrate more vividly the 96
demonstrate most vividly the 41
demonstrate other aspects of 102
demonstrate other features of 74
demonstrate some ability to 215
demonstrate some aspects of 368
demonstrate some effects of 55
demonstrate some element of 41
demonstrate some features of 176
demonstrate some increase in 49
demonstrate some results of 43
demonstrate some success in 61
demonstrate such effects in 52
demonstrate their ability as 313
demonstrate their ability at 45
demonstrate their ability by 150
demonstrate their ability in 410
demonstrate their ability on 48
demonstrate their ability to 10620
demonstrate their aversion to 42
demonstrate their command of 249
demonstrate their concern by 63
demonstrate their consent to 81
demonstrate their control of 154
demonstrate their courage by 54
demonstrate their courage in 49
demonstrate their defiance of 104
demonstrate their devotion by 58
demonstrate their devotion to 623
demonstrate their dislike of 71
demonstrate their effects in 72
demonstrate their effects on 137
demonstrate their efforts to 107
demonstrate their failure to 62
demonstrate their fitness by 85
demonstrate their fitness or 50
demonstrate their fitness to 313
demonstrate their freedom by 46
demonstrate their freedom of 44
demonstrate their loyalty by 526
demonstrate their loyalty in 153
demonstrate their loyalty to 3731
demonstrate their manhood by 61
demonstrate their manhood in 53
demonstrate their mastery of 1412
demonstrate their position by 55
demonstrate their position in 62
demonstrate their prowess as 149
demonstrate their prowess at 57
demonstrate their prowess by 91
demonstrate their prowess in 251
demonstrate their prowess to 60
demonstrate their refusal to 140
demonstrate their relation to 212
demonstrate their reliance on 52
demonstrate their resolve to 144
demonstrate their respect by 63
demonstrate their strengths in 51
demonstrate their success by 50
demonstrate their success in 164
demonstrate their success to 93
demonstrate their support by 139
demonstrate their support in 63
demonstrate their support of 755
demonstrate their support to 65
demonstrate their talents in 166
demonstrate their talents to 76
demonstrate their utility as 42
demonstrate their utility in 153
demonstrate their utility to 98
demonstrate these aspects of 66
demonstrate these effects in 80
demonstrate these features of 45
demonstrate those aspects of 50
demonstrate truth according to 47
demonstrate what happens if 125
demonstrate what happens in 106
demonstrate what happens to 423
demonstrate wide variation in 74
demonstrate your ability as 98
demonstrate your ability in 44
demonstrate your ability to 3661
demonstrate your command of 104
demonstrate your devotion to 52
demonstrate your loyalty to 161
demonstrate your mastery of 396
demonstrate your product or 124
demonstrating high degrees of 47
demonstrating some ability to 42
demonstrating their ability in 62
demonstrating their ability to 4935
demonstrating their command of 42
demonstrating their devotion to 140
demonstrating their failure to 52
demonstrating their fitness to 82
demonstrating their loyalty by 42
demonstrating their loyalty to 727
demonstrating their mastery of 233
demonstrating their prowess in 52
demonstrating their success in 49
demonstrating their support of 137
demonstrating their utility in 46
demonstrating what appeared to 42
demonstrating what happens to 101
demonstrating your ability to 367
demonstrating your mastery of 65
denominated sole monarch of 49
denomination were allowed to 40
denomination were invited to 41
denominator were divided by 47
denominator when computing the 46
denunciations will abolish it 46
departments come together to 45
departments have adopted the 224
departments have decided to 57
departments have focused on 72
departments have managed to 65
departments have refused to 80
departments have started to 95
departments having control of 87
departments held together by 72
departments keep records of 101
departments were accused of 51
departments were allowed to 283
departments were beginning to 192
departments were brought in 40
departments were brought to 42
departments were capable of 79
departments were devoted to 57
departments were elected by 44
departments were founded in 103
departments were invited to 299
departments were limited to 50
departments were located at 74
departments were located in 266
departments were located on 57
departments were managed by 110
departments were members of 124
departments were obliged to 168
departments were operating in 62
departments were opposed to 74
departments were ordered to 311
departments were reduced in 42
departments were reduced to 164
departments were removed to 50
departments were similar to 43
departments were staffed by 208
departments were started in 81
departments were subject to 189
departments were trained in 60
departments were unwilling to 136
departments will provide the 53
departments will respond to 48
departments will usually be 60
departments work together as 129
departments work together in 173
departments work together on 87
departments work together to 321
deportations were resumed in 43
depredations were carried on 332
derivatives were present in 94
derivatives were studied by 55
derivatives were studied in 54
descendants have adopted the 45
descendants have carried on 264
descendants have managed to 52
descendants have settled in 59
descendants were allowed to 260
descendants were enabled to 43
descendants were granted the 163
descendants were members of 118
descendants were obliged to 82
descendants were reduced to 78
descendants will inherit it 100
descendants will inherit the 342
descendants will possess the 257
descriptions ever written of 129
descriptions have appeared in 107
descriptions have focused on 142
descriptions vary according to 72
descriptions vary depending on 43
descriptions very similar to 45
descriptions well deserve to 100
descriptions were applied to 92
descriptions were brought to 41
descriptions were couched in 50
descriptions were limited to 65
descriptions were painted to 42
descriptions were related to 57
descriptions were similar to 110
descriptions were written at 44
descriptions were written by 355
descriptions were written in 180
descriptions were written of 42
descriptions were written on 146
descriptions were written to 82
descriptions when applied to 68
descriptions will include the 40
descriptions will provide the 59
descriptions will suffice to 45
descriptive case studies in 42
descriptive case studies of 342
descriptive case studies or 40
descriptive data regarding the 208
descriptive data related to 97
descriptive name applied to 137
descriptive term applied by 79
descriptive term applied to 1467
descriptive term because it 69
descriptive term referring to 573
descriptive text follows on 383
descriptive text written by 53
descriptive when applied to 236
descriptive word applied to 51
descriptive work remains to 46
designations were adopted by 41
designations were applied to 103
designations when referring to 47
desperately poor parents to 46
destructive acts against it 76
destructive acts against the 108
destructive blow against the 74
destructive fire against the 117
destructive fury against the 61
destructive rage against the 48
destructive side effects of 276
destructive wars against the 63
destructive wars between the 287
destructive wasp attacks the 65
destructive when allowed to 45
destructive when applied to 178
destructive work against the 49
destructive work carried on 47
detachments sent against the 40
detachments were allowed to 54
detachments were obliged to 105
detachments were operating in 63
detachments were ordered to 629
deteriorated more rapidly in 79
deteriorated very rapidly in 70
deteriorated when exposed to 73
deteriorates more rapidly in 168
deteriorates very rapidly in 125
deteriorates when exposed to 852
deterioration during storage is 57
deterioration during storage of 130
deterioration when exposed to 415
determinant wave function is 67
determinate ideas affixed to 51
detrimental health effects in 41
detrimental health effects of 383
detrimental health effects on 67
detrimental side effects of 488
detrimental side effects on 130
detrimental side effects to 60
detrimental when applied to 70
devastators once covered the 46
development also affects the 209
development also applies to 152
development also depends on 532
development also extends to 40
development also implies the 201
development also relates to 51
development also results in 99
development among members of 211
development bears witness to 74
development came together in 40
development come together in 85
development come together to 40
development during infancy is 204
development during puberty is 53
development during puberty of 48
development firm located in 117
development from ancient to 101
development from animism to 56
development from beginning to 560
development from boyhood to 106
development from century to 95
development from concept to 207
development from country to 127
development from general to 85
development from idealism to 66
development from infancy on 118
development from infancy to 2990
development from national to 40
development from occurring in 59
development from outside the 107
development from passive to 112
development from primary to 55
development from private to 45
development from puberty to 67
development from scratch of 64
development from simpler to 159
development from slavery to 93
development from species to 126
development from studies of 50
development from village to 53
development gaps between the 69
development gave impetus to 81
development giving priority to 44
development have altered the 57
development have appeared in 239
development have arrived at 41
development have brought the 103
development have brought to 46
development have brought us 47
development have emerged as 207
development have emerged in 172
development have enabled the 42
development have enabled us 57
development have evolved in 61
development have focused on 795
development have limited the 107
development have pointed to 84
development have reduced the 125
development have started to 64
development into account as 53
development into account in 127
development into systems of 568
development just because it 64
development just outside of 49
development just outside the 118
development leading towards the 61
development lend support to 48
development lies between the 83
development lies largely in 61
development lies outside the 333
development like flotsam in 63
development means improving the 100
development means increasing the 53
development means perhaps the 52
development more closely to 108
development most helpful in 65
development must address the 162
development must conform to 161
development must consist in 47
development must consist of 68
development must include an 106
development must include the 344
development must involve the 148
development must precede the 153
development must proceed in 471
development must proceed on 92
development must provide the 43
development must receive the 42
development must reflect the 126
development must respect the 54
development must respond to 48
development must somehow be 70
development only because it 104
development only because of 65
development only because the 64
development only insofar as 118
development over millions of 69
development paths pursued by 46
development plan according to 97
development plan adopted by 199
development plan adopted in 78
development plan because of 52
development plan depends on 53
development plan focused on 98
development plan focuses on 42
development runs counter to 306
development taking account of 52
development theory applied to 47
development theory focuses on 183
development time because the 110
development time between the 71
development time depends on 56
development tool because it 101
development vary according to 151
development very largely to 41
development very similar to 873
development went forward in 72
development were adopted in 41
development were allowed to 203
development were applied to 83
development were assumed to 86
development were beginning to 223
development were brought to 92
development were carried on 161
development were central to 90
development were defined as 110
development were defined by 51
development were defined in 43
development were devoted to 44
development were evident in 102
development were exposed to 46
development were focused on 52
development were limited by 63
development were limited to 115
development were located in 64
development were present in 240
development were related to 268
development were similar in 80
development were similar to 245
development were started in 44
development were studied by 109
development were studied in 158
development were subject to 106
development were thwarted by 47
development when applied to 250
development when exposed to 101
development when measured by 80
development when present in 44
development will attempt to 74
development will benefit the 103
development will concern us 41
development will conform to 57
development will consist in 170
development will consist of 304
development will destroy the 82
development will dictate the 51
development will enhance the 188
development will improve the 212
development will include an 40
development will include the 228
development will increase as 119
development will increase in 198
development will increase the 580
development will involve the 168
development will largely be 72
development will perhaps be 50
development will prevent the 43
development will proceed as 216
development will proceed at 172
development will proceed by 45
development will proceed in 624
development will proceed on 165
development will proceed to 50
development will produce an 68
development will produce the 106
development will promote the 44
development will provide an 119
development will provide the 373
development will reflect the 152
development will require an 199
development will require the 592
development will succeed in 379
development will support the 42
development will usually be 189
development work according to 72
development work because it 85
development work because of 65
development work between the 130
development work carried on 478
development work focused on 164
development work focuses on 74
development work outside the 50
development work related to 547
development work remains to 478
development work resides in 76
development work started in 99
development work together to 57
development worth mentioning is 74
dictionaries have appeared in 50
dictionaries were written by 40
dictionaries were written in 46
differences also appeared in 162
differences also appeared to 54
differences also between the 325
differences also divided the 63
differences also emerged in 169
differences also existed in 505
