db will result in 89
dc drop across the 101
do also abound to 95
do also affect the 66
do also depend on 53
do also differ in 169
do also report to 92
do bees differ as 96
do best should be 50
do best simply to 169
do bind myself to 153
do break horses in 162
do break through the 620
do break through to 95
do card tricks or 48
do care enough to 121
do care whether or 63
do come across an 128
do come across as 318
do come across in 81
do come across it 312
do come across my 70
do come across the 269
do come around to 81
do come before the 309
do come before us 54
do come closer to 242
do come nearest to 61
do come through in 80
do come through the 197
do come through to 47
do down through the 40
do during periods of 542
do duty before the 197
do duty except in 60
do duty instead of 236
do early credit to 51
doe nothing without the 231
do envy ruskin the 41
doe take notice of 120
doe their utmost to 71
do even before he 211
do even before the 276
do even before we 78
do even better as 277
do even better at 243
do even better by 1079
do even better if 2797
do even better in 1988
do even better on 348
do even better the 236
do even better to 269
do even without the 182
do ever arrive at 75
do ever retain in 81
do evil before the 90
do evil before we 57
do evil instead of 281
do evil through the 50
do fall through the 209
do fall victim to 381
do fare better in 84
do fast enough of 101
do feel afraid of 116
do feel better in 40
do feel called to 55
do feel closer to 83
do feel deeply the 72
do feel myself to 72
do feel something of 130
do find amongst the 53
do find mention of 137
do find myself at 44
do find myself in 497
do find myself to 95
do find plenty of 64
do find points of 48
do find solace in 43
do find someone to 99
do find something in 84
do find something of 125
do find something to 79
do find traces of 292
do fine actions if 59
do fine without it 117
do fine without me 218
do fine without the 71
do fine without us 42
do flit across the 44
do flow through the 131
do from behind the 97
do from inside the 49
do from minute to 93
do from moment to 307
do from twelve to 46
do full credit to 444
do full homage to 44
do gain access to 1453
do give access to 57
do give credit to 166
do give effect to 120
do give notice of 107
do give notice to 287
do give orders to 45
do give something of 50
do give thought to 91
do give weight to 140
do good actions in 40
do good amongst the 62
do good beyond the 69
do good enough to 77
do good except by 77
do good instead of 1345
do good knocks at 68
do good neither to 161
do good openly or 69
do good readers do 82
do good seemed to 46
do good should be 178
do good through the 149
do good unless it 47
do good without the 393
do great credit to 2275
do great damage as 45
do great damage at 64
do great damage by 404
do great damage if 240
do great damage in 703
do great damage on 78
do great damage to 18026
do great injury by 117
do great injury in 47
do great injury to 5054
do half enough to 47
do harm instead of 2900
do harm through the 176
do harm unless the 74
do have access to 14686
do have before us 213
do have changes in 51
do have choice in 51
do have copies of 308
do have duties to 419
do have effect on 83
do have enough in 180
do have enough of 296
do have enough to 363
do have feelings of 364
do have groups of 65
do have images of 108
do have impact on 302
do have instead of 109
do have limits on 70
do have limits to 81
do have methods of 55
do have notions of 149
do have options in 54
do have orders to 50
do have periods of 185
do have places to 59
do have plenty of 2326
do have plenty to 259
do have points in 201
do have points of 243
do have points to 105
do have powers of 90
do have powers to 70
do have reasons to 330
do have record of 71
do have regard to 56
do have rights as 114
do have rights in 141
do have rights of 171
do have rights to 473
do have should be 188
do have someone in 152
do have someone to 405
do have something in 6294
do have something of 1826
do have something on 549
do have something to 14096
do have something we 63
do have standing to 649
do have theories of 46
do have traces of 125
do have training in 111
do have visions of 85
do having regard to 471
do heavy damage to 196
do help define the 45
do help reduce the 83
do here before the 60
