dabit ilia prolem . 41
dacha near moscow . 175
dad and brother . 764
dad and gossip . 72
dad and myself . 141
dad and sister . 152
dad and smiled . 61
dad cry before . 96
dad for advice . 149
dad got killed . 66
dad had cancer . 119
dad has cancer . 41
dad was around . 116
dad was furious . 100
dad was killed . 390
dad was sleeping . 64
daddy and brother . 47
daddy was killed . 73
daily and hourly ! 4407
daily and monthly . 350
daily and record . 61
daily and sunday . 711
daily and weekly . 2570
daily are needed . 56
daily are undone . 51
daily bag limits . 62
daily but hourly . 116
daily eating habits . 306
daily fat intake . 585
daily for adults . 1177
daily for dinner . 2542
daily for orders . 45
daily for prayer . 205
daily for relief . 40
daily for visiting . 107
daily job duties . 48
daily log sheets . 53
daily meal planning . 67
daily mean values . 256
daily men abroad . 67
daily per animal . 102
daily per capita . 211
daily per person . 654
daily team meetings . 69
daily was reached . 108
daily wear lenses . 133
daily with prayer . 99
dairy and garden . 53
dairy cow rations . 90
dally with visions . 164
dam and bridge . 114
dam and canals . 56
dam and rapids . 51
dam had broken . 655
dam has broken ! 197
dam now stands . 53
dam was broken . 257
dam was closed . 101
dam was filled . 41
dam was formed . 47
dam was needed . 40
dam was raised . 53
damning one another . 165
damping and inertia . 46
damping off disease . 94
damps and chills . 73
damps and mildew . 43
dance all around . 123
dance all winter . 248
dance and ballet . 1054
dance and chorus . 141
dance and comedy . 192
dance and crafts . 47
dance and dancer . 117
dance and design . 70
dance and dinner . 62
dance and drumming . 193
dance and frolic . 302
dance and gamble . 57
dance and painting . 384
dance and prance . 52
dance and prayer . 83
dance and quiver . 103
dance and retire . 106
dance and ritual . 522
dance and speech . 85
dance and sports . 277
dance and supper . 141
dance and swimming . 88
dance and vanish . 133
dance for myself . 59
dance has changed . 48
dance was called . 59
dance was created . 66
dance was danced . 46
dance was formed . 90
dance with another . 246
dance with anyone . 577
dance with snakes . 50
dance with someone . 154
dancing all around . 162
dancing and ballet . 300
dancing and bridge . 122
dancing and capering . 103
dancing and chanting . 1010
dancing and cheering . 229
dancing and clapping . 298
dancing and clogging . 45
dancing and clowning . 41
dancing and comedy . 223
dancing and courting . 98
dancing and crafts . 51
dancing and dinner . 40
dancing and drinking . 4676
dancing and drinks . 124
dancing and drumming . 1236
dancing and fiddling . 129
dancing and fighting . 259
dancing and flirting . 586
dancing and french . 56
dancing and gaiety . 194
dancing and gambling . 617
dancing and laughing . 1338
dancing and marching . 149
dancing and movies . 167
dancing and painting . 462
dancing and partying . 363
dancing and prancing . 177
dancing and rippling . 43
dancing and screaming . 175
dancing and shouting . 1120
dancing and skipping . 134
dancing and sleeping . 52
dancing and sporting . 267
dancing and sports . 423
dancing and supper . 209
dancing and swimming . 443
dancing and tennis . 46
dancing and tumbling . 334
dancing and visiting . 59
dancing and whirling . 88
dancing was sinful . 75
dancing was superb . 49
dancing with another . 129
dancing with anyone . 85
dancing with someone . 114
dancing with wolves . 107
danger all around . 261
danger and attack . 95
danger and caution . 43
danger and crisis . 119
danger and damage . 296
danger and deceit . 89
danger and desire . 292
danger and disease . 423
danger and dismay . 162
danger and effort . 50
danger and escape . 170
danger and flight . 55
danger and hazard . 231
danger and honour . 134
danger and horror . 179
danger and injury . 248
danger and insult . 151
danger and menace . 138
danger and misery . 276
danger and passion . 44
danger and remedy . 42
danger and rescue . 61
danger and safety . 435
danger and sorrow . 220
danger and strain . 43
danger and stress . 288
danger and strife . 151
danger and tension . 123
danger and terror . 342
danger and tumult . 86
danger and unrest . 88
danger can result . 50
danger for another . 236
danger for anyone . 46
danger for austria . 47
danger for england . 167
danger for europe . 182
danger for france . 152
danger for humans . 63
danger for itself . 47
danger for myself . 129
danger for poland . 60
danger for someone . 84
danger had arisen . 191
danger had passed . 7070
danger has arisen . 155
danger has passed . 4280
danger may happen . 56
danger may result . 53
danger may threaten . 40
danger than before . 583
danger than profit . 55
danger that exists . 70
danger thus caused . 40
danger was abroad . 63
danger was absent . 52
danger was greater . 171
danger was obvious . 351
danger was passed ! 1786
danger was pressing . 236
danger was remote . 95
danger was serious . 251
danger was slight . 109
danger was urgent . 72
danger you invoke . 65
dangling long enough . 40
dared ask before . 109
dared not accept . 256
dared not answer . 774
dared not assail . 75
dared not assume . 54
dared not attack . 494
dared not attend . 51
dared not commit . 48
dared not falter . 51
dared not finish . 59
dared not follow . 833
dared not ignore . 438
dared not insist . 167
dared not invade . 42
dared not listen . 70
dared not mention . 199
dared not murmur . 70
dared not object . 188
dared not offend . 297
dared not oppose . 257
dared not punish . 77
dared not pursue . 72
dared not refuse . 2359
dared not reject . 70
dared not remain . 122
dared not resent . 109
dared not resist . 679
dared not retreat . 59
dared not return . 328
dared not strike . 141
dared not violate . 82
dared say before . 53
dared too little . 40
dares and defies . 489
dares not attack . 47
dares not disown . 59
dares not refuse . 116
dares not remove . 83
dares not resist . 241
dares not return . 43
dares not violate . 40
darks and lights . 598
darning and patching . 181
darting all around . 83
darts and arrows . 1311
darts and lances . 122
darts and stones . 542
darts and swords . 43
das ist aussen . 86
dat dam racket ! 70
dated and placed . 65
dated and signed . 2383
dated for awhile . 40
dated his letter . 55
dated nor signed . 190
dates and acacias . 57
dates and authors . 75
dates and barley . 181
dates and cereals . 49
dates and cities . 41
dates and coffee . 167
dates and cotton . 59
dates and dances . 60
dates and events ! 4507
dates and grapes . 174
dates and meetings . 40
dates and melons . 89
dates and millet . 48
dates and olives . 141
dates and oranges . 232
dates and pecans . 88
dates and periods . 328
dates and places . 5862
dates and prices . 451
dates and prunes . 70
dates and reality . 112
dates and reasons . 47
dates and seasons . 80
dates and settings . 127
dates and spices . 53
dates and states . 56
dates and styles . 170
dates and titles . 402
dates and topics . 46
dates and venues . 112
dates and waited . 85
dates are changed . 47
dates are common . 50
dates are listed . 143
dates are missed . 68
dates are needed . 75
dates are reached . 45
dates are unclear . 47
dates for dinner . 40
dates for events . 150
dates for export . 59
dates for meetings . 78
dates for orders . 134
dates for review . 49
dates had passed . 45
dates its origin . 475
dates with anyone . 51
daunt his spirit . 124
dawning for france . 41
day all around . 634
day all summer . 255
day all through . 79
day all winter . 117
day and always ! 1161
day and another . 822
day and before . 257
day and beyond . 1198
day and boarding . 218
day and dinner . 146
day and earlier . 315
day and evenings . 241
day and failed . 143
day and higher . 84
day and killed . 83
day and listen . 204
day and mileage . 236
day and minute . 54
day and moment . 113
day and monday . 166
day and nights . 98
day and passed . 74
day and person . 62
day and prayed . 200
day and rations . 172
day and report . 48
day and rested . 83
day and return . 43
day and seasons . 155
day and smiled . 147
day and stayed . 58
day and sunday . 648
day and sunset . 107
day and talked . 45
day and upward . 178
day and waited . 83
day and worked . 46
day any better . 134
day are called . 87
day are changed . 120
day are closed . 53
day are common . 206
day are engaged . 41
day are enough . 141
day are listed . 65
day are needed . 545
day are passed . 115
day are posted . 44
day are reached . 84
day are served . 96
day being friday . 196
day being sunday . 710
day but friday . 143
day but monday . 406
day but sunday . 1759
day can realize . 98
day can supply . 42
day did arrive . 55
day east africa . 48
day eating habits . 43
day for adults . 2978
day for advice . 215
day for africa . 66
day for another . 233
day for anyone . 231
day for august . 42
day for awhile . 259
day for bakers . 68
day for battle . 87
day for berlin . 128
day for boston . 345
day for canada . 257
day for christ . 158
day for church . 59
day for climbing . 55
day for coffee . 140
day for dinner . 2140
day for drinking . 102
day for energy . 59
day for england ! 1782
day for europe . 545
day for export . 43
day for fighting . 86
day for firsts . 42
day for france ! 1175
day for guests . 44
day for humans . 113
day for itself . 282
day for labour . 90
day for london . 880
day for lovers . 115
day for madrid . 42
day for marching . 64
day for meetings . 87
day for mexico . 80
day for miners . 473
day for moscow . 93
day for mothers . 40
day for mourning . 45
day for murder . 163
day for myself . 625
day for naples . 50
day for orders . 103
day for oxford . 84
day for painting . 99
day for planning . 236
day for planting . 109
day for poland . 40
day for prayer . 1064
day for rations . 77
day for relaxing . 44
day for relief . 171
day for revenge . 48
day for review . 159
day for safety . 82
day for school . 361
day for shooting . 164
day for shopping . 387
day for sleeping . 70
day for someone . 153
day for something . 217
day for starting . 96
day for studying . 94
day for sunday . 58
day for supper . 83
day for swimming . 153
day for tennis . 79
day for therapy . 44
day for training . 213
day for travel . 577
day for venice . 90
day for vienna . 41
day for visiting . 207
day for weddings . 150
day for winter . 44
day get better . 50
day god rested . 250
day goes better . 50
day got better . 41
day got hotter . 57
day had become . 149
day had broken . 472
day had changed . 304
day had closed . 245
day had cooled . 43
day had dawned ! 2511
day had failed . 106
day had fallen . 87
day had opened . 46
day had passed ! 3493
day had wasted . 63
day has broken . 602
day has changed . 182
day has closed . 139
day has dawned ! 3148
day has fallen . 344
day has passed ! 5139
day ice masses . 120
day job duties . 101
day long before . 55
day long enough . 67
day los angeles . 586
day low prices . 106
day may strike . 40
day may swerve . 45
day meal scheme . 277
day new england . 206
day new jersey . 181
day new mexico . 1354
day new orleans . 226
day new zealand . 170
day off anyway . 150
day off school . 780
day old chicks . 902
day old embryo . 330
day old infant . 408
day old kitten . 67
day old plants . 284
day per animal . 245
day per capita . 1602
day per family . 195
