dale down thus and 49
dame came out too 43
dame said that this 206
dame sent for him 58
damn door and let 42
damn fool can see 148
damn fool did not 137
damn fool does not 55
damn fool for not 108
damn fool had not 52
damn fool head off 112
damn fool was going 49
damn fool who had 42
damn fool who was 56
damn fool you are 85
damn glad she did 88
damn glad she was 52
damn glad that you 46
damn glad you are 41
damn glad you did 212
damn good and you 43
damn good for her 116
damn good for him 151
damn good for them 92
damn good for you 226
damn good idea who 59
damn good job and 188
damn good job for 234
damn good job too 57
damn good job with 101
damn good one and 85
damn good one too 459
damn good run for 70
damn hard for him 56
damn hard for this 85
damn hard for you 113
damn hell are you 58
damn late for that 87
damn sure are not 220
damn sure can not 672
damn sure did not 2897
damn sure does not 187
damn sure had not 231
damn sure not going 548
damn sure she did 163
damn sure she does 101
damn sure she had 54
damn sure she was 352
damn sure that his 165
damn sure that she 304
damn sure that they 376
damn sure that this 105
damn sure that you 712
damn sure they are 113
damn sure they did 149
damn sure they get 42
damn sure they had 98
damn sure was going 109
damn sure was not 2563
damn sure you are 134
damn sure you can 337
damn sure you did 60
damn sure you get 329
damn time you got 82
damn well are not 161
damn well bet that 51
damn well can not 666
damn well did not 1950
damn well does not 162
damn well get out 134
damn well get that 223
damn well had not 97
damn well how they 43
damn well not going 701
damn well pay for 265
damn well see that 214
damn well she did 296
damn well she had 267
damn well she was 869
damn well that all 172
damn well that his 197
damn well that she 623
damn well that that 131
damn well that they 605
damn well that this 312
damn well that was 342
damn well that you 1172
damn well they are 215
damn well they can 69
damn well they did 156
damn well they had 63
damn well this was 54
damn well was going 201
damn well was not 1708
damn well who she 55
damn well who was 136
damn well who you 64
damn well why not 76
damn well why she 81
damn well why they 42
damn well why you 78
damn well you are 155
damn well you can 570
damn well you did 544
damn well you had 59
damn what she did 263
damn what she does 59
damn what she was 110
damn what they did 309
damn what they say 611
damn what was going 94
damn what you are 453
damn what you did 353
damn what you say 966
damn what you wear 95
damp brow with her 42
damp brow with his 75
damp cloth and cut 421
damp cloth and dry 479
damp cloth and hot 50
damp cloth and let 991
damp cloth and put 209
damp cloth and rub 201
damp cloth and set 437
damp cloth and then 491
damp cloth and use 105
damp curl off her 43
damp dark air and 54
damp face with her 55
damp face with his 84
damp from her bath 564
damp from her own 48
damp from his bath 453
damp from his own 120
damp hair and her 48
damp hair and then 97
damp hair off her 1043
damp hair off his 220
damp hair that had 79
damp hair that was 47
damp hair with her 116
damp hair with his 89
damp mist and fog 216
damp nose that they 44
damp salt air and 48
damp sand that was 40
damp sand with his 52
damp upon all his 63
damp when they are 52
dams like this one 99
dams when they are 45
dare avow that they 62
dare call her that 190
dare call him that 175
dare call his own 79
dare call our own 55
dare call out for 41
dare come and ask 50
dare come and see 66
dare come near her 102
dare come near him 141
dare come near them 161
dare come near this 54
dare come near you 136
dare come out and 170
dare come out with 116
dare come with her 63
dare deny that they 54
dare deny that this 85
dare deny that you 78
dare even ask for 43
dare even say that 125
dare face our own 49
dare fire for fear 77
dare from that day 94
dare give him any 72
dare give out his 69
dare give them any 48
dare give you any 87
dare great things for 43
dare hope for that 240
dare hope for this 40
dare hope that his 43
dare hope that one 44
dare hope that she 272
dare hope that they 242
dare hope that this 350
dare hope that you 898
dare leave for fear 41
dare lift her head 59
dare lift his head 126
dare look for them 45
dare look his way 62
dare look that far 75
dare meet any man 203
dare mess with him 46
dare more than that 249
dare move for fear 1047
dare move his head 54
dare much for her 253
dare part man and 52
dare reach out and 56
dare risk war with 59
dare show his head 108
dare show its head 58
dare slay you for 41
dare speak for fear 169
dare speak for him 47
dare speak out for 64
dare speak that way 110
dare stay too long 255
dare stay with thee 53
dare steal out and 44
dare stop for fear 61
dare swear that she 42
dare swear that they 45
dare swear that you 124
dare swear they are 95
dare swear you are 213
dare take any leap 50
dare take him out 40
