dame busily prepared the 42
dare sagged flabbily to 83
daring denials confined to 99
daring thought occurred to 114
dark arrows indicate the 88
dark before attempting to 74
dark circle apprised the 69
dark circle occupied by 42
dark clothes absorbed it 48
dark clouds impended on 54
dark clouds obscured the 254
dark clouds overhanging the 61
dark clouds threatened to 42
dark clouds whenever the 54
dark column stretching to 98
dark corner opposite the 101
dark figure obscured the 165
dark gloomy chambers in 49
dark matter consists of 477
dark matter particle is 52
dark mirror reflecting the 44
dark nights thousands of 47
dark points indicate the 46
dark regions indicate the 180
dark secret chambers of 127
dark seemed suddenly to 52
dark sister struggling in 67
dark thought occurred to 97
dark towers dominating the 46
data access patterns in 64
data access patterns of 91
data access provided by 48
data access services to 96
data already compiled by 60
data already included in 67
data already obtained by 133
data already obtained in 66
data already obtained on 40
data already provided by 60
data already recorded in 128
data already recorded on 63
data already referred to 222
data already reported in 67
data always consists of 41
data appearing pursuant to 87
data before attempting to 307
data before displaying it 72
data before forwarding it 47
data before performing the 167
data before presenting it 70
data before proceeding to 194
data before processing it 83
data before submitting it 71
data blocks containing the 50
data carrying capacity of 123
data clearly describing the 81
data clearly document the 71
data clearly indicate an 123
data clearly indicate the 995
data clearly supports the 99
data deemed relevant by 93
data deemed relevant to 48
data driven approach is 49
data driven approach to 91
data exists concerning the 202
data fields pertaining to 58
data fields required by 42
data format consists of 165
data format required by 190
data further indicate the 82
data further strengthen the 44
data further supports the 97
data greatly enhances the 49
data greatly increases the 55
data handling capacity of 146
data inputs required by 49
data kindly provided by 846
data kindly provided to 41
data kindly supplied by 1076
data kindly supplied to 60
data matrix composed of 69
data matrix consisting of 488
data matrix consists of 403
data matrix containing the 200
data matrix contains the 59
data memory consists of 59
data merely indicate the 40
data object consists of 55
data object containing the 69
data packet consists of 90
data packet containing the 46
data packet contains the 97
data permit analysis of 67
data points assigned to 113
data points compared to 82
data points comprising the 52
data points consisting of 93
data points describing the 93
data points included in 258
data points indicate the 759
data points indicating the 44
data points involved in 68
data points obtained at 362
data points obtained by 291
data points obtained in 225
data points pertaining to 59
data points produced by 67
data points provided by 80
data points relative to 200
data points reported by 55
data points required to 206
data points resulted in 138
data quoted includes the 89
data record consists of 130
data record containing the 112
data record contains the 310
data relate directly to 97
data relating directly to 186
data sample consisting of 113
data sample consists of 201
data section contains the 76
data series consists of 74
data series provided by 64
data sheets describing the 73
data sheets prepared by 80
data sheets provided by 1271
data sheets required by 169
data sheets supplied by 375
data should actually be 48
data should consider the 67
data should continue to 154
