dangerously quick and critical 41
debauchery which all christian 206
debentures shall bear interest 523
debilitating social and economic 136
declamation rather than argument 44
declaration could not possibly 44
declaration under that provision 115
declaration which was followed 40
declaration which was intended 63
declaration which was received 103
declaration which was required 193
declaration would not conflict 41
decomposes water with evolution 203
decorations which you painters 61
decorative rather than artistic 116
decorative rather than dramatic 149
decorative rather than essential 96
decorative rather than pictorial 238
decorative rather than realistic 321
decorative rather than symbolic 161
decorative sense has supplied 62
deductible costs and expenses 47
deductible under this exception 73
deductible under this provision 274
deductible under this sentence 191
defendants argue that whatever 41
defendants could not complain 65
defendants could not lawfully 82
defendants could not possibly 120
defendants cures any problems 74
defendants faced with exclusion 67
defendants holds out reflects 83
defendants moved for directed 126
defendants moved for judgment 144
defendants owned and operated 66
defendants under its authority 44
deficiency anemia and increased 55
deficiency signs and symptoms 133
definitely known but probably 67
definitely would not consider 56
definitely would not purchase 143
definitions apply for purposes 346
definitions which are commonly 55
definitions which are designed 40
definitions which are essential 45
definitions which are provided 40
definitions which are relevant 80
definitive method for diagnosis 98
definitive method for evaluating 41
definitive signs and symptoms 83
definitive treaty was admitted 40
definitive treaty was ratified 144
deformation curve for concrete 56
deformation which has affected 48
deformation which has occurred 53
degenerate roman was shrouded 105
degenerate skill and industry 76
degradation could not possibly 70
degradation rather than elevation 100
degradation rather than synthesis 100
degradation which had befallen 54
degradation which has followed 57
degradation which has occurred 53
deleterious social and economic 120
deliberate pause and emphasis 43
deliberate plans are proposed 42
deliberate votes and vehement 82
delicacies which they declined 54
delicately reared and tenderly 74
delightful basis was accepted 65
delightful books for children 175
delightful hopes and perilous 96
delightful place for children 101
delightful story for children 153
delightful towns and villages 66
delightful views are obtained 49
delinquent taxes and interest 130
deliveries under this contract 96
demarcation lines that separate 51
democratic action are therefore 165
democratic change and economic 53
democratic ideals and american 57
democratic ideals and christian 117
democratic ideals and economic 66
democratic ideals and practice 238
democratic ideals and purposes 52
democratic ideals and societal 57
democratic party had infected 57
democratic people than military 129
democratic rather than socialist 114
democratic social and cultural 52
democratic social and economic 273
democratic thinking and practice 180
democratic times are therefore 40
demolished towns and villages 109
department chair and associate 44
department costs are assigned 138
department could not possibly 94
department since its inception 161
department store and discount 171
department store and gasoline 135
department store and purchase 139
department store and specialty 229
department store for children 42
department store has recently 43
department store with branches 108
department under his direction 148
department under his immediate 45
department which has received 51
dependence rather than autonomy 209
dependence which all colonies 163
dependency needs are threatened 40
dependency rather than autonomy 101
dependency ratios are expected 107
dependency which lie concealed 45
deplorable social and economic 262
deplorable state and condition 81
deportment which had provoked 70
depreciated below its residual 254
depreciation costs and interest 47
depreciation either being deducted 43
depreciation method and recovery 91
depreciation method for financial 332
depreciation method that produces 90
depreciation method that provides 102
depreciation rather than straight 203
depreciation which had occurred 64
depreciation which has occurred 158
depressive signs and symptoms 693
deprivation rather than absolute 54
deprivation which are amenable 48
derivative action was entirely 41
derivative rather than original 561
description could not possibly 141
description rather than analysis 310
description rather than judgment 87
description rather than narration 68
description vivid and graceful 99
description which are supplied 118
description which was designed 168
deservedly loved and esteemed 52
deservedly slain who rejected 42
deservedly tried and executed 71
designated agent that includes 133
designated goods and services 82
designated period and thereafter 83
designated smoking and nonsmoking 124
designated under this provision 49
designates first and foremost 100
destination which are properly 56
destroyers rather than builders 40
destruction acted with vigorous 68
destruction begin with toddlers 48
destruction rather than salvation 69
