dare some desperate action 93
dark eyes glistened under 66
dark gray calcareous shale 64
data among different types 51
data among different users 51
data base described above 167
data base relational model 195
data from additional sites 52
data from australian bureau 64
data from automatic weather 55
data from countries where 61
data from different angles 237
data from different dates 53
data from different depths 52
data from different files 293
data from different kinds 158
data from different parts 664
data from different people 57
data from different sites 433
data from different tests 100
data from different times 170
data from different trials 53
data from different types 574
data from different units 54
data from different users 62
data from different views 63
data from emergency rooms 42
data from excavated sites 85
data from functional imaging 55
data from identical twins 48
data from microsoft excel 295
data from permanent plots 81
data from personnel files 77
data from reference books 64
data from sequential files 50
data from virtually every 65
data have repeatedly shown 56
data into component parts 69
data into different forms 50
data into different types 90
data into manageable units 140
data into microsoft excel 158
data into numerical order 45
data into worksheet cells 54
data over telephone lines 1566
data over telephone wires 76
data sets described above 317
data sets described below 55
data sets discussed above 100
data were available about 437
data were available after 82
data were available could 42
data were available either 46
data were available showing 67
data were available since 60
data were available until 113
data were available which 225
data were available within 51
data were available would 44
data were collected about 742
data were collected after 580
data were collected again 73
data were collected based 69
data were collected daily 272
data were collected either 121
data were collected every 297
data were collected first 110
data were collected showing 41
data were collected twice 193
data were collected under 797
data were collected until 80
data were collected which 301
data were collected while 223
data were collected within 349
data were generated under 129
data were presented about 44
data were presented showing 211
data were presented which 276
data were published about 53
data were published after 41
data were reanalyzed after 41
data will determine which 63
date from apostolic times 204
date from byzantine times 159
date from centuries later 48
date from classical times 114
date from different times 236
date from paleolithic times 88
date from primitive times 41
date from somewhere about 134
date many different people 52
date plus estimated costs 90
date these important legal 47
date very carefully added 96
date when additional costs 41
dating from apostolic times 58
dating from byzantine times 143
dating from classical times 191
dating from different times 165
dating from immemorial times 41
dating from napoleonic times 80
dating from paleolithic times 48
dating from primitive times 99
dating from ptolemaic times 53
dating from somewhere about 58
days from knowledge thereof 97
days some exultation would 41
days were collected within 57
days were exceedingly rainy 43
days were fulfilled after 139
days were generally spent 71
days were noticeably longer 84
days were pleasantly spent 169
days were sometimes spent 41
days what centuries could 40
days when companies could 63
days when inclement weather 55
deaths from cigarette smoking 43
deaths from premature births 41
deaths from puerperal fever 579
deaths from rheumatic fever 128
deaths from starvation would 64
debt from commercial banks 125
debt from discharge under 269
debt plus preferred stock 125
debt upon beneficial terms 42
deem their submission either 51
deem these different views 42
deep down somewhere within 290
deep from christmas until 43
deep vein thrombosis after 1628
deep vein thrombosis which 87
deer were scattered about 138
deny their existence would 132
depth over geological times 61
died early wednesday morning 51
died early yesterday morning 259
died from exhaustion after 149
died from exhaustion while 58
died from pernicious anemia 42
died from puerperal fever 443
died from pulmonary edema 90
died from rheumatic fever 100
died from starvation after 44
died from starvation while 40
dining room furniture which 49
dogs were evidently gaining 68
done from different angles 66
done many different kinds 60
done many wonderful deeds 47
done many wonderful works 11284
done nothing effective about 44
done some freelance writing 86
done upon reasonable terms 127
done very carefully since 77
down five conditions which 46
down four conditions which 128
down four different times 102
down from ancestral times 102
down from apostolic times 651
down from barbarous times 62
down from cambridge after 48
down from cambridge where 55
down from classical times 448
down from cloudless skies 43
down from countries where 43
down from different parts 166
