dangerous road from jerusalem 48
darkened into fine gradations 74
darkness ever more exquisite 48
darkness have least influence 44
darkness into your marvelous 75
database have been developed 42
daughter made their appearance 118
daughter must have inherited 47
daughter took their departure 51
daylight very soon impressed 43
debarred from giving expression 48
debarred from giving testimony 40
debarred from taking advantage 83
decedent must have possessed 53
decently make their appearance 47
deception having been practiced 44
decisions even more difficult 180
decisions from other countries 47
decisions have been announced 154
decisions have been carefully 111
decisions have been challenged 124
decisions have been collected 46
decisions have been completed 42
decisions have been concerned 163
decisions have been confirmed 62
decisions have been conflicting 99
decisions have been delegated 152
decisions have been delivered 87
decisions have been described 138
decisions have been developed 128
decisions have been different 48
decisions have been difficult 41
decisions have been discussed 260
decisions have been dominated 48
decisions have been explained 67
decisions have been extremely 42
decisions have been favorable 104
decisions have been finalized 86
decisions have been generally 104
decisions have been important 104
decisions have been increasingly 71
decisions have been justified 42
decisions have been motivated 66
decisions have been necessary 71
decisions have been overruled 311
decisions have been patiently 42
decisions have been postponed 91
decisions have been presented 54
decisions have been preserved 69
decisions have been published 346
decisions have been questioned 86
decisions have been reluctant 43
decisions have been repeatedly 42
decisions have been satisfied 104
decisions have been subjected 96
decisions have been suggested 75
decisions have been sustained 68
decisions have been unanimous 157
decisions have been uniformly 97
decisions much more difficult 73
decisions were made centrally 118
decisions were made elsewhere 211
decisions were made primarily 200
decisions were made privately 46
decisions were made throughout 76
decisions were more difficult 62
decisions were more favorable 44
decisions were more important 100
decisions were race prejudice 161
decisions were very important 55
decisions will also determine 45
decisions will also influence 42
decisions will have important 63
decisions will help determine 79
declared their firm resolution 86
declined from their primitive 43
declined taking upon themselves 114
declines have been associated 54
decreases uric acid production 72
deducted from such allowance 44
deducted from their annuities 50
deducted from their paychecks 992
deducted from your employees 50
deducted from your paychecks 95
deducted from your royalties 78
deepened into some uneasiness 126
defenses have been described 57
defenses have been destroyed 62
defenses have been developed 93
deficits have been associated 328
deficits have been corrected 154
deficits have been described 315
deficits have been discussed 44
deficits have been suggested 60
definite data were available 55
deformed along three orthogonal 60
degraded from their episcopal 43
degraded from their priesthood 49
deletions have been described 167
deletions have been indicated 56
delirious glee some foretaste 42
delirium have been described 52
delivers into your possession 49
delivery from their suppliers 50
delivery have been associated 41
delivery have been completed 44
delivery have been described 94
delivery have been developed 241
delivery have been discussed 50
delivery having been completed 47
delusions have been described 63
delusions have been dispelled 76
demanded from their employers 44
demanded from their followers 51
demanded very high standards 69
demanded will vary inversely 75
demurrer having been overruled 87
demurrer having been sustained 127
dentures have been processed 100
departed even more radically 55
departed from fort leavenworth 70
departed from their allegiance 237
departed from their ancestral 77
departed from their customary 96
departed from their obedience 83
departed from their primitive 162
departed from their principle 45
departed from these standards 78
departed from these traditions 43
departed only once thenceforth 47
departed some days previously 86
departed very well satisfied 161
depended only upon themselves 67
depended their very existence 55
depended upon other countries 65
depended upon taking advantage 41
depended upon their compliance 57
depended upon their continued 174
depended upon their diligence 42
depended upon their influence 68
depended upon their knowledge 118
depended upon their maintaining 94
depended upon their neighbors 53
depended upon their obedience 144
depended upon their political 87
depended upon their possession 72
depended upon their vigilance 44
depended upon their willingness 136
depended upon three conditions 46
depended upon three different 140
deported from other countries 85
deported from their ancestral 41
deported from their countries 43
deported from their homelands 230
deposits came into existence 69
deposits come into existence 187
deposits from their customers 211
deposits have been associated 43
deposits have been carefully 91
deposits have been collected 673
deposits have been converted 64
deposits have been deposited 58
deposits have been described 1450
deposits have been destroyed 141
deposits have been developed 767
deposits have been discussed 175
deposits have been dissected 49
deposits have been disturbed 62
deposits have been estimated 272
deposits have been excavated 160
deposits have been exhausted 390
deposits have been exploited 561
deposits have been important 44
deposits have been preserved 220
deposits have been published 114
deposits have been recovered 84
deposits have been subjected 250
deposits have been suggested 59
deposits have been thoroughly 66
deposits have been uncovered 164
deposits make their appearance 74
deposits were soon exhausted 107
deputies from among themselves 123
deputies from five provinces 68
deputies from other provinces 128
deputies from these provinces 43
deputies made their appearance 60
deputies sent from hispaniola 69
derogate from gatt provisions 40
derogate from their reputation 58
derogate from these provisions 64
derogating from those wonderful 117
descending from high altitudes 55
descending from high mountains 54
descending from such primitive 53
descending from their mountains 207
descending from these mountains 69
descends from pure existence 196
descents from high altitudes 44
describe their least preferred 161
describe their living conditions 63
describe their most important 159
describe their taking possession 86
describe these three different 62
describe three very different 72
describe your most important 65
describing some huge cavernous 52
describing their living conditions 75
deserted from fort leavenworth 93
deserted from their regiments 107
deserted from time immemorial 70
deserted when half completed 244
deserved such great happiness 42
deserved their evil reputation 42
deserved well your protection 48
deserves much more discussion 105
deserves much more extensive 143
deserves much more intensive 58
designer must also determine 61
designer must have knowledge 86
desisted from their encounter 58
desisted from their operations 86
desisted from their opposition 197
desisted from their undertaking 55
detached from their allegiance 87
detached from their anchorage 46
detached from their community 46
detached from their companies 144
detached from their connection 175
detached from their customary 78
