dailies and sunday papers 122
dairies and little groves 78
damaged and beyond repair 62
damaged and needed repair 40
damaged her beyond repair 47
damaged them beyond repair 112
damages and losses caused 278
damages and mental anguish 44
damages are almost always 43
damages for actual injury 173
damages for actual losses 68
damages for bodily injury 2177
damages for damage caused 46
damages for delays caused 105
damages for future losses 179
damages for injury caused 633
damages for injury thereto 42
damages for losses caused 211
damages for mental anguish 6066
damages for mental injury 53
damages for merely knocking 47
damages for serious mental 56
damages his cattle therein 66
damsels with something better 43
damsels with swelling breasts 89
dancers and smirking cupids 50
dancers are almost always 75
dappled with fleecy clouds 109
daybreak they limped warily 119
daytime his houses across 52
deadline for deciding whether 58
deadline had already passed 139
deadline had passed without 50
deadline has already passed 76
deafened with spinning wheels 99
deafness and kidney damage 103
deafness and ocular lesions 61
debacle and beyond edited 124
debased and ruined person 67
debated with myself whether 1392
debater and public speaker 206
debates and actions nicole 136
debates and policy changes 68
debates and public forums 51
debates and public meetings 164
debates and public opinion 93
debates and public policy 132
debates with myself before 64
debates with myself whether 71
decades for various reasons 46
decades had already passed 42
decades had passed before 97
decades had passed without 40
decades may elapse before 146
decayed and broken through 102
deceased and another person 159
deceased had fallen victim 51
deceased now thought proper 43
deceiving and seducing honest 107
decency and family values 57
decency and public morals 154
decency and public opinion 219
decided and becoming horror 63
decided and public proofs 75
decided for itself whether 134
decided for obvious reasons 61
decided for various reasons 308
decided his future career 203
decided his future course 115
decided she needed another 71
decided she needed someone 51
decided she needed something 165
decided she should become 51
decided she should remain 67
decided she should return 85
decided she wanted another 71
decided she wanted something 165
decided that adonis should 64
decided that albania should 45
decided that another effort 47
decided that another should 52
decided that antonia should 67
decided that austria should 121
decided that blacks should 44
decided that canada should 187
decided that copies should 46
decided that edward should 105
decided that eleanor should 92
decided that england should 225
decided that english should 139
decided that enough useful 52
decided that eritrea should 84
decided that europe should 62
decided that family planning 41
decided that france needed 64
decided that france should 440
decided that further effort 59
decided that further meetings 90
decided that future meetings 74
decided that gandhi should 66
decided that greece should 178
decided that harold should 124
decided that hitler should 70
decided that hungary should 42
decided that indians should 53
decided that joseph should 76
decided that london should 55
decided that martin should 40
decided that meetings should 95
decided that member states 296
decided that mexico should 59
decided that michael should 56
decided that neither should 55
decided that nigeria should 44
decided that nobody should 143
decided that nuclear weapons 96
decided that philip should 77
decided that poland should 68
decided that prices should 48
decided that prussia should 55
decided that public opinion 129
decided that public policy 71
decided that relief should 82
decided that robert should 87
decided that someone needed 128
decided that someone should 421
decided that something needed 276
decided that something should 904
decided that states should 61
decided that sweden should 91
decided that troops should 92
decided that turkey should 85
decided that united states 160
decided that walter should 54
decided that william should 129
decided that wilson should 64
decided they needed another 147
decided they needed someone 76
decided they needed something 84
decided they should attend 43
decided they should become 52
decided they should follow 41
decided they should remain 94
decided they should return 134
decided they wanted another 68
decided they wanted something 123
decided who should occupy 50
decides for itself whether 504
decides that something should 111
decimal and binary number 522
decimal and binary values 155
decimal and metric system 157
decision and decide whether 50
decision and follow through 279
decision and opinion makers 60
decision and policy makers 562
decision for another person 121
decision for various reasons 63
decision had little effect 207
decision had little impact 131
decision has little effect 41
decision that english should 43
decision that france should 48
decision that should happen 141
decision that united states 49
decision thus rested solely 87
decision was almost always 111
decision was placed before 48
decision was placed mainly 86
decision was reached before 254
decision was reached through 182
decision was reached without 346
decision was united states 70
decision was widely hailed 101
decision was widely viewed 79
declaim long enough before 50
declare all united states 168
declare and assign values 73
declare her second person 73
declare his brother edward 41
declare his divine mission 51
declare his griefs openly 47
declare his office vacant 349
declare our solemn belief 41
declare that nuclear weapons 41
declare that states should 179
declare that whoever should 141
declare them openly before 42
declaring his earnest desire 63
declaring his office vacant 105
declaring our mutual passion 40
declaring she should always 56
declaring that england should 50
declaring that public policy 47
declaring that slaves should 42
declaring that united states 57
declaring that unless morals 40
declaring that whoever should 273
decline any letter relating 40
decline for uttering simple 47
decline for various reasons 286
decline that famous russian 70
decline that lasted through 57
decline was caused mainly 84
decline was caused partly 83
decline was mainly caused 74
decline was partly caused 56
decline was partly offset 71
decline with higher levels 145
declining for various reasons 67
declining real energy prices 93
declining real estate market 445
declining real estate prices 225
declining real estate values 370
decorum and obvious morals 41
decrease and carbon dioxide 58
decrease for higher values 42
decrease for larger values 95
decrease with atomic number 56
decrease with higher levels 166
decreed her public honors 57
decreed that adonis should 141
decreed that anyone caught 115
decreed that christ should 126
decreed that england should 82
decreed that english should 66
decreed that france should 62
decreed that galileo should 47
decreed that images should 60
decreed that indians should 67
decreed that nobody should 101
decreed that slaves should 45
decreed that wampum should 52
decreed that whoever should 188
decreed they should become 150
decrees and orders issued 249
decrees and orders passed 339
decrees and orders should 44
decrees had little effect 50
