dainty blossoms of silver 191
damage occurred to repair 63
damage physical or mental 115
damage produced by direct 56
damage produced by immune 120
damage produced by various 65
damage property or injure 109
damage response to double 50
damage suffered by another 374
damage suffered by french 69
damage suffered by readers 56
damage whatever in return 127
damsel obtained no relief 53
dances intended to excite 58
dances symbolic of attack 44
dangers incident to lesser 161
dangers incident to modern 57
dangers incurred or sorrow 75
dangers inherent in adopting 96
dangers inherent in allowing 357
dangers inherent in applying 85
dangers inherent in assuming 106
dangers inherent in becoming 76
dangers inherent in building 50
dangers inherent in direct 64
dangers inherent in handling 42
dangers inherent in hearsay 103
dangers inherent in ignoring 104
dangers inherent in modern 178
dangers inherent in nuclear 231
dangers inherent in police 46
dangers inherent in public 67
dangers inherent in pursuing 69
dangers inherent in sexual 54
dangers inherent in various 41
dangers involved in allowing 213
dangers involved in applying 62
dangers involved in assuming 51
dangers involved in becoming 77
dangers involved in building 45
dangers involved in carrying 68
dangers involved in climbing 45
dangers involved in crossing 79
dangers involved in granting 44
dangers involved in handling 197
dangers involved in ignoring 53
dangers involved in nuclear 77
dangers involved in public 42
dangers involved in pursuing 67
darkly audacious to pursue 57
dashed rectangle in figure 106
daunting challenge of building 88
dazzling conquest of mexico 99
deafening confusion of sounds 112
deafening explosion of thunder 53
dearest daughter in christ 143
dearest interest of another 47
dearest relative or friend 81
debate centered on whether 1017
debate concerning the actual 137
debate concerning the amount 51
debate concerning the causes 141
debate concerning the choice 66
debate concerning the creation 63
debate concerning the degree 493
debate concerning the effect 120
debate concerning the ethical 109
debate concerning the extent 1096
debate concerning the future 994
debate concerning the impact 505
debate concerning the issues 53
debate concerning the latter 43
debate concerning the limits 71
debate concerning the manner 127
debate concerning the matter 89
debate concerning the merits 388
debate concerning the nature 3856
debate concerning the number 138
debate concerning the origin 640
debate concerning the policy 46
debate concerning the proper 980
debate concerning the public 111
debate concerning the reality 147
debate concerning the reasons 56
debate concerning the reform 52
debate concerning the rights 89
debate concerning the safety 48
debate concerning the source 96
debate concerning the status 881
debate concerning the wisdom 118
debate concerns the degree 116
debate concerns the effect 44
debate concerns the extent 330
debate concerns the impact 42
debate concerns the nature 208
debate concerns the proper 57
debate concerns the status 53
debate questions of public 103
debate referred to earlier 121
debate threatened to become 68
debating concerning the degree 60
debris consisting of broken 104
debris littered the ground 76
debris produced by glacial 75
debris produced by weathering 130
decaying energies of nature 120
decaying energies of speech 60
decent attention to public 169
decent families to reside 112
decent interval of mourning 454
decent interval of mutual 52
decent interval to elapse 269
decent standard of family 42
decent standard of public 43
decent treatment in return 41
decide concerning the future 106
decide concerning the origin 136
decide questions of common 68
decide questions of jewish 184
decide questions of policy 1145
decide questions of public 194
decide respecting the origin 43
decide suddenly to market 77
decide whenever the matter 92
deciding concerning the actions 116
deciding questions of common 42
deciding questions of native 68
deciding questions of policy 209
deciding questions of public 147
decree abolishing the feudal 93
decree absolute or decree 260
decree authorizing the creation 87
decree concerning the creation 97
decree concerning the exiles 65
decree condemning the memory 126
decree confirming the report 68
decree dissolving the cortes 109
decree forbidding the clergy 57
decree forbidding the export 250
decree obtained in another 57
decree permitting the return 95
decree remained in effect 131
decree rendered in another 148
decree separating the church 44
deducing therefore of causes 196
deduct expenses in excess 105
deduct expenses of travel 45
deduct therefrom the amount 230
deemed adequate to insure 66
deemed contrary to public 662
deemed criminal in nature 65
deemed dangerous to public 146
deemed disposal of assets 67
deemed dividend is treated 61
deemed entitled to entire 55
deemed essential to assure 69
deemed essential to enable 60
deemed essential to ensure 141
deemed essential to further 40
deemed essential to insure 41
deemed essential to modern 49
deemed essential to obtain 139
deemed essential to public 97
deemed essential to render 171
deemed essential to safety 43
deemed essential to secure 244
deemed exercise of options 98
deemed improper to remove 43
deemed infamous at common 82
deemed inimical to public 56
deemed injurious to public 120
deemed invidious to mention 65
deemed packages or shipping 288
deemed personal in nature 44
deemed property of another 123
deemed prudence the better 115
deemed transfer of assets 104
deeper analysis is needed 147
deeper analysis of issues 52
deeper currents of modern 41
deeper currents of public 44
deeper currents of thought 320
deeper dimension of reality 97
deeper indented thy weight 67
deeper interest in nature 48
deeper interest in public 99
deeper problems of thought 133
deeper questions of theology 43
deeper vileness of nature 52
deeply absorbed in prayer 189
deeply absorbed in something 130
deeply absorbed in studying 121
deeply absorbed in thought 2046
deeply absorbed in watching 159
deeply absorbed to notice 52
deeply affected by another 71
deeply affected by changes 213
deeply affected by europe 43
deeply affected by events 171
deeply affected by family 44
deeply affected by french 62
deeply affected by gender 78
deeply affected by german 55
deeply affected by modern 60
deeply affected by public 63
deeply affected by recent 73
deeply affected by something 89
deeply affected by whether 53
deeply affected the church 88
deeply affected the course 412
deeply affected the entire 223
deeply affected the family 66
deeply affected the feelings 123
deeply affected the french 100
deeply affected the future 362
deeply affected the german 93
deeply affected the jewish 49
deeply affected the modern 44
deeply affected the morale 61
deeply affected the morals 49
deeply affected the nature 138
deeply affected the policy 52
deeply affected the public 310
deeply affected the thought 88
deeply affected the united 41
deeply agitated the public 177
deeply attached to another 88
deeply attached to anyone 63
deeply attached to england 66
deeply attached to family 60
deeply attached to france 119
deeply attached to jewish 49
deeply attached to madame 52
deeply attached to nature 70
deeply attached to someone 47
deeply attached to venice 47
deeply concerns the public 114
deeply conferring in another 57
deeply conscious of belonging 44
deeply conscious of itself 44
deeply embedded in common 82
deeply embedded in custom 51
deeply embedded in english 619
deeply embedded in existing 116
deeply embedded in family 134
deeply embedded in french 249
deeply embedded in german 377
deeply embedded in israeli 48
deeply embedded in italian 71
deeply embedded in jewish 524
deeply embedded in larger 44
deeply embedded in modern 725
deeply embedded in muslim 85
deeply embedded in nature 117
deeply embedded in notions 54
deeply embedded in public 248
deeply embedded in russian 139
deeply embedded in soviet 105
deeply embedded in various 82
deeply engrossed in prayer 56
deeply engrossed in something 64
deeply engrossed in studying 97
deeply engrossed in thought 783
deeply engrossed in watching 47
deeply enlisted in behalf 60
deeply grateful to andrew 45
deeply grateful to daniel 41
deeply grateful to martin 42
deeply grateful to michael 147
deeply grateful to robert 162
deeply grateful to sister 87
deeply grateful to william 84
deeply grounded in reality 65
deeply imbedded in english 105
deeply imbedded in german 47
deeply imbedded in modern 52
deeply immersed in crisis 81
deeply immersed in french 95
deeply immersed in german 51
deeply immersed in jewish 53
deeply immersed in matter 109
deeply immersed in nature 43
deeply immersed in prayer 96
deeply immersed in public 97
deeply immersed in studying 91
deeply immersed in thought 958
deeply indebted to another 48
deeply indebted to bishop 44
deeply indebted to doctor 71
deeply indebted to donald 54
deeply indebted to earlier 115
deeply indebted to edward 82
deeply indebted to england 65
deeply indebted to english 141
deeply indebted to france 49
deeply indebted to french 111
deeply indebted to german 70
deeply indebted to harold 47
deeply indebted to italian 46
deeply indebted to joseph 72
deeply indebted to kenneth 40
deeply indebted to martin 66
deeply indebted to michael 175
deeply indebted to philip 46
deeply indebted to robert 397
deeply indebted to southey 46
deeply indebted to various 93
deeply indebted to walter 40
deeply indebted to william 174
deeply indented by creeks 46
deeply indented by fjords 161
deeply indented by inlets 65
deeply indented by narrow 44
deeply interest the feelings 55
deeply interest us unless 61
deeply involved in active 53
deeply involved in advising 56
deeply involved in africa 81
deeply involved in almost 112
deeply involved in another 453
deeply involved in arranging 49
deeply involved in balkan 43
deeply involved in building 556
deeply involved in campus 71
deeply involved in carrying 84
deeply involved in church 743
deeply involved in clouds 63
deeply involved in covering 59
