differentiations were the constricting 44
disadvantageous from the standpoint 215
disappointment from the standpoint 49
disappointment must be attributed 45
disappointment over the government 58
disappointment when he discovered 291
disappointment when he recognized 40
disappointment when we discovered 72
discontentedly into the elizabethan 62
discouragement from the authorities 88
dissatisfaction among the electorate 113
dissatisfaction among the membership 84
dissatisfaction must be attributed 47
dissatisfaction over the government 99
diversification from the traditional 40
