dappled light filtering through 162
darkish streak usually appears 47
debated within herself whether 157
debated within himself whether 492
debates about current issues 45
debates about foreign policy 209
debates about welfare reform 381
debates often revolve around 47
debates within himself whether 52
decided after careful thought 64
decided cases brought before 62
decimal place decimal places 61
decision about abortion should 51
decision after careful thought 60
decision shall include findings 72
decision shall specify whether 42
decision which removed soviet 57
decision would largely depend 45
declare anything material touching 59
declare italy neutral ground 91
decrease blood glucose levels 618
decrease serum calcium levels 311
decreasing blood glucose levels 119
decreasing serum calcium levels 42
decreasing within certain limits 46
defects which suggest something 42
defiance which stirred sidney 99
defined shall include branch 64
defined within certain limits 143
delayed seeking medical advice 52
delayed until shortly before 162
demands after removal unless 269
demands which society places 72
depends within certain limits 63
desired blood glucose levels 61
desires within certain limits 181
develop after radiation therapy 78
develop basic language skills 51
develop group process skills 54
develop human capital through 50
develop until shortly before 50
develop within certain limits 57
devices which convert energy 50
devices which federal courts 88
devices which increase sexual 53
devoted every leisure moment 161
diameter holes drilled through 155
diameter holes equally spaced 49
dietary crude protein levels 197
diffusing warmth equally through 159
digital cross connect system 59
digital engine control system 79
dignity which poverty denies 67
dignity which rightly belongs 45
dilated blood vessels around 97
dilated upper urinary tracts 210
dilemma would present itself 51
diploid cells undergo meiosis 77
discuss every question relating 44
discuss major national issues 50
diseases spread rapidly through 56
diseases which require special 50
dispute about justice arises 72
dispute after written notice 56
dispute arise between owners 100
dispute arose between england 68
dispute arose between france 88
dispute arose between robert 54
dispute arose between william 42
dissect alien systems without 45
distant about fifteen leagues 124
distant about sixteen leagues 57
distant about thirteen leagues 61
distant hills assumed strange 90
distort trade between member 115
divided state between helena 48
division under general french 46
division under general nelson 64
division under general william 87
dropped under extreme coercion 44
durable walls survive intact 60
