daily cash allowance if 43
daily diet consisted of 430
daily dose frequency on 79
daily dose necessary to 102
daily ever published in 103
daily fare consisted of 185
daily food allowance is 44
daily food allowance of 198
daily food consisted of 178
daily from childhood up 41
daily from september to 109
daily from wisconsin to 45
daily giving instances of 42
daily health inspection by 52
daily health inspection of 78
daily jail population in 64
daily jail population of 45
daily less favorable to 43
daily life consisted of 182
daily life continued in 53
daily life continued to 149
daily life continues to 76
daily life described in 62
daily life practices of 67
daily life regulated by 87
daily life situations in 74
daily life situations of 56
daily life throughout the 355
daily living conditions in 142
daily living conditions of 258
daily living secondary to 194
daily living throughout the 46
daily meals consisted of 87
daily menu consisted of 72
daily milk production in 100
daily milk production is 92
daily milk production of 339
daily more confirmed in 155
daily more convinced of 258
daily more dependent on 150
daily more desperate in 84
daily more difficult of 137
daily more difficult to 960
daily more impatient of 72
daily more impatient to 98
daily more important in 41
daily more important to 91
daily more interesting to 51
daily more knowledge of 49
daily more necessary to 179
daily more sensitive to 51
daily news bulletins in 124
daily news bulletins of 40
daily news bulletins on 40
daily rate throughout the 91
daily were necessary to 40
daily work consisted in 86
daily work consisted of 92
daily work performed by 149
daily work practices of 57
daily work throughout the 69
dairy cows throughout the 56
danger from absorption of 90
danger from accidents by 71
danger from accidents is 42
danger from accidents to 54
danger from fragments of 40
danger from inhalation of 106
danger from marauders in 48
danger from predators or 41
danger from themselves in 54
danger lies precisely in 138
danger most assuredly to 52
danger some protection to 93
danger took possession of 110
danger will generally be 47
danger will stimulate the 63
dared give expression to 187
dared give utterance to 165
dared show themselves in 200
dared show themselves on 61
dared take advantage of 90
dares give utterance to 46
dashing young mandarins of 64
dated from edinburgh on 100
dated from salisbury in 62
dated more precisely to 68
dated their conversion to 157
dated their documents by 43
dated very precisely to 53
dates back centuries in 89
dates back centuries to 227
dates back certainly to 162
dates from precisely the 58
dates from somewhere in 45
dates were confirmed by 65
dates were converted to 62
dates were difficult to 44
dates were estimated by 58
dates were inscribed in 87
dates were inscribed on 41
dates were published in 51
deaden their awareness of 49
deadly blow inflicted on 41
dealer take advantage of 46
dealings were conducted by 43
dealings were conducted in 53
dealings were regulated by 100
debts have continued to 64
debts have swallowed up 67
debts were augmented to 41
debts were collected by 41
debts were estimated at 344
debts were estimated to 85
debts were expressed in 54
debts were inherited by 55
decay rate constants of 293
decay time constants in 88
decay time constants of 636
decay upon absorption of 60
decks were protected by 71
decry their inability to 57
deeds ever performed by 46
deeds from generation to 41
deeds having reference to 52
deeds were committed by 264
deeds were committed in 145
deeds were delivered by 44
deeds were delivered to 226
deeds were deposited in 45
deeds were inscribed on 43
deeds were necessary to 69
deeds were performed by 421
deeds were performed in 238
deeds were performed on 282
deeds were presented to 64
deeds were preserved in 101
deeds were recounted in 55
deeds were sanctioned by 56
deeds were witnessed by 83
deems best qualified to 182
deems more beneficial to 62
deems most conducive to 166
deems most effective to 82
deems most important to 47
deeps mind arrogates no 43
defeat ever inflicted by 42
defeat ever inflicted on 290
defeat ever sustained by 335
defeat more difficult to 48
defeat their influence by 87
defeat their objective of 47
defeat their opponents by 74
defeat their opponents in 267
defer full discussion of 51
defer their discussion to 96
delay made necessary by 49
delay such inspection of 51
delay taking advantage of 107
delay taking possession of 117
delay their departure by 108
delay their departure in 209
delay their departure to 71
delay their expedition to 42
delay their purchases in 44
delay their purchases of 70
delay their responses to 195
delay were occasioned by 55
delay will generally be 44
delay will prejudice the 50
delay your departure by 43
demean their existence or 373
demon took advantage of 52
demon took possession at 103
demon took possession of 214
dense bone surrounding the 65
dense mist enveloped the 46
denying such privilege to 40
denying such protection to 68
denying their allegiance to 60
denying their existence as 168
denying their existence in 108
denying their existence is 55
denying their existence or 316
denying their influence on 41
denying their knowledge of 53
denying their relevance to 43
denying those resources to 40
desks were separated by 42
deter from adventuring in 43
deter such aggression as 72
devil take possession of 42
devil taking advantage of 45
devil took advantage of 175
devil took possession of 393
diadem once encircled the 75
didst love oppression or 68
diets very deficient in 48
diets were deficient in 458
diets were dominated by 63
digit code identifying the 62
digit code indicates the 46
dined very tolerably up 51
dirty work necessary to 89
