damp climate always gave 45
dare despise sordid wealth 41
dare promise myself nothing 64
dare question whether there 68
dare venture farther into 56
dark central crests like 93
dark circles around eyes 55
dark circles around their 153
dark circles around your 178
dark current arises from 48
dark figures emerge from 41
dark figures seemed lost 53
dark shadows across their 53
dart strikes through their 60
dash forward through thick 102
data derived mainly from 149
data derived solely from 128
data element should have 60
data gathered through other 89
data gathered through such 62
data gathered through these 111
data provide orbits good 126
data reporting system from 50
data storage device such 54
data storage device used 42
data subject should have 50
date finally agreed upon 110
days advance notice when 68
days dragged slowly along 45
days elapsed before there 44
days elapsed before these 71
days elapsed without bringing 48
days elapsed without reaping 44
days following release from 57
days general howard came 60
days hezekiah became sick 91
days remaining before their 50
days together through open 41
days together without bread 192
days together without ceasing 48
days together without ever 48
days together without food 302
days together without rest 154
days together without seeing 142
days together without taking 42
days written notice from 128
days written notice prior 172
deaths usually result from 73
debt pressed heavily upon 44
debt remains unpaid more 95
debt service burden from 54
debt service burden will 102
debt weighed heavily upon 55
deem himself secure from 133
deep channel through these 45
deep languors ripple like 42
deep murmurs through time 61
deep passage through some 59
deep plantar venous arch 242
deep recoiling surges foam 66
deep sadness washed over 69
deep seismic sounding along 69
deep seismic sounding data 329
deep silence broken only 183
deep silence brooding over 45
deer bounded across their 77
defy material injury from 3358
depth charges rained down 66
dewy goddess should have 77
diary entries became more 48
died shortly before dawn 104
died shortly before noon 69
died shortly before their 137
digs himself deeper into 47
dire poverty indeed when 71
disk located inside your 51
disk operating system must 40
disk operating system used 118
dogs possess something very 112
dogs trotted behind their 41
done because someone else 100
done together pretty well 47
door brought something more 184
door clicked softly shut 88
door finally closed upon 115
door finally creaked open 86
door knocker shaped like 71
door painted bright blue 42
door shortly before noon 44
door slammed itself shut 53
dose usually varies from 44
down complex issues into 69
down complex skills into 153
down madison avenue from 51
down madison avenue past 42
down organic matter into 601
down organic matter such 48
down organic wastes into 95
down several inches from 115
down several inches into 167
down several offers from 105
down shadows lengthen over 316
down trembling before paul 107
drag captain claret from 83
drag painted blocks along 75
draw lessons learned from 43
draw objects something like 46
draw renewed strength from 77
draw subject matter from 53
dream quickly turned into 95
drew herself gently away 118
drew herself gently from 49
drew immense strength from 43
drew renewed strength from 63
drew several papers from 60
drew support mainly from 209
drug addicts suffer from 68
drug history should also 43
drug product dosage form 54
drug reactions result from 48
duly elected member from 80
during absence without leave 66
during british summer time 52
during certain periods from 54
during certain periods have 47
during certain periods only 79
during certain periods such 82
during certain periods there 55
during certain periods were 53
during certain periods when 275
during certain seasons only 55
during certain seasons when 155
during contact sports such 45
during drought periods when 144
during holiday periods when 121
during holiday seasons when 48
during january through june 116
during mediator release from 71
during moments stolen from 77
during passage through birth 70
during passage through these 49
during previous periods when 43
during primary school years 112
during regular school days 45
during regular school time 134
during released school time 93
during several anxious days 93
during several billion years 52
during several million years 97
during several periods when 66
during several recent years 121
during vacation periods when 83
dust several inches deep 161
dust several inches thick 98
duty divides itself into 59
duty hitherto evoked only 303
duty imposes itself upon 42
