dampened a paper towel 147
darkness a voice cried 46
darkness a voice spoke 45
darkness i could sense 63
darkness i could still 53
darkness i would never 69
daughter a father could 59
daughter a large dowry 77
daughter a mother could 61
daughter a story about 46
daughter i could never 59
daughter i would never 59
decipher a sound which 70
decisions a woman makes 65
decisive a turning point 112
declared a crime scene 77
declared a crime under 60
declared a dozen times 53
declared a hindu state 133
declared a human right 129
declared a short while 45
declared a stock split 129
declared a truce until 67
declared a white group 58
declared i could never 52
declared i never would 109
declared i would never 352
declared i would rather 51
declares a class named 106
declares a method named 53
declares a stock split 281
decorate a given space 48
decorate a small study 44
deferred a reply until 78
deferred a while longer 45
delegate a large share 125
delegate a power which 273
delivering a healthy child 103
delivering a sales pitch 57
delivering a steady stream 127
delivering a stern warning 40
delivers a steady stream 103
delivers a stern warning 44
demanded a basic change 40
demanded a basic eight 54
demanded a delay until 44
demanded a fresh start 97
demanded a gruff voice 126
demanded a harsh voice 50
demanded a labor force 46
demanded a large bribe 65
demanded a large labor 126
demanded a large share 231
demanded a large staff 66
demanded a longer period 76
demanded a lower price 58
demanded a major change 50
demanded a price which 86
demanded a quiet house 68
demanded a reply within 211
demanded a rough voice 55
demanded a round table 45
demanded a short period 41
demanded a small share 129
demanded a stern voice 63
demanded a stiff price 106
demanded a strong stand 46
demanded a strong state 72
demanded a total change 63
demanded a whole fleet 42
demanded a wider field 146
demanded a wider scope 46
denounce a treaty which 40
depended a short chain 426
depended a short stuff 54
depicted a green cross 44
depicted a hunting scene 73
depicted a naked woman 102
depicted a scene which 53
depicted a small image 59
depicted a woman holding 60
depicted a woman sitting 45
depicted a world where 91
deployed a large force 109
deployed a small force 47
depositing a check drawn 71
depositing a metal layer 66
deposits a check drawn 226
deprived a given image 51
derailed a goods train 53
derailed a troop train 55
descending a rather sharp 68
descending a rather steep 74
descending a ridge close 113
descending a short stair 59
descending a steep grade 115
descending a steep place 55
descending a steep slope 404
descending a steep trail 54
descending c major scale 68
descends a small stream 96
descends a steep slope 81
describe a basic model 59
describe a broad array 43
describe a broad class 106
describe a broad group 70
describe a change which 63
describe a child whose 51
describe a curve about 48
describe a curve known 60
describe a curve nearer 50
describe a curve round 113
describe a curve which 308
describe a curve whose 52
describe a given curve 80
describe a given event 45
describe a given space 120
describe a given state 75
describe a group which 80
describe a large class 360
describe a large group 478
describe a major change 46
describe a metal found 130
describe a method based 241
describe a method where 66
describe a method which 656
describe a model based 64
describe a model where 53
describe a model which 248
describe a monte carlo 87
describe a novel method 217
describe a period which 42
describe a pilot study 268
describe a place where 426
describe a place which 98
describe a plane curve 70
describe a plant which 49
describe a rapid method 67
describe a rather large 45
describe a right woman 59
describe a scene under 64
describe a scene where 76
describe a scene which 372
describe a small group 185
describe a small orbit 88
describe a smooth curve 84
describe a social group 91
describe a social order 81
describe a social world 66
describe a space equal 188
describe a space which 40
describe a state where 99
describe a state which 133
describe a steady state 80
describe a study where 52
describe a study which 121
describe a sweet place 89
describe a turning point 123
describe a vision which 136
describe a visit which 49
describe a whole class 102
describe a whole group 93
describe a whole piece 43
describe a woman whose 77
describe a world where 243
describe a world which 215
describe a world whose 42
describing a curve about 48
describing a curve nearer 55
describing a curve which 104
describing a given space 87
describing a gliding stream 85
describing a large curve 66
describing a large group 49
describing a method which 66
describing a model which 44
describing a night scene 48
describing a party given 44
describing a place where 134
describing a place which 46
describing a prize fight 50
describing a scene where 41
describing a scene which 252
describing a short curve 66
describing a small curve 42
describing a social group 75
describing a state which 60
describing a steady state 44
describing a vision which 40
describing a visit which 230
describing a world where 146
describing a world which 87
descried a jutting point 55
descried a large force 79
descried a small party 110
descried a strong party 76
deserted a cause which 108
deserved a dashing leader 52
deserved a dearer trust 63
deserved a drink after 42
deserved a failing grade 40
deserved a fresh start 51
deserved a large share 150
