dad daughter 74 dad children
46 dam spillway 53 dam
finished 42 day activity 45
day remained 104 day finished
52 day everyone 67 day
requires 52 day expenses 188
day expected 205 day followed
45 day replaced 147 day
required 120 day therefore 535
day unlikely 41 day questions
100 day yourself 336 day
therefore 157 day followed 61
day succeeding 84 day children
164 day evermore 335 day
prepared 55 day probably 46
day promised 63 day received
147 day remained 50 day
returned 234 day suffered 40
day produced 137 day recently
60 day remained 311 day
daughter 64 day children 123
day condition 40 day expenses
373 day personal 74 day
victuals 94 day aftermath 264
day delights 44 day domestic
56 day happenings 67 day
immediate 87 day pleasures 70
day policies 50 day problems
206 day services 43 day
continue 108 day therefore 58
day tomorrow 47 day condition
93 day attention 81 day
admission 132 day wondered 52
day children 61 day everyone
76 day includes 45 day
therefore 232 day tomorrow 63
day continue 106 day declined
95 day declines 175 day
decreased 281 day decreases 179
day disappear 259 day followed
40 day increased 337 day
proceeds 41 day remained 53
day resigned 47 day retreated
68 day returned 510 day
suddenly 258 day undergoes 46
day vanished 40 day returned
54 day accepted 83 day
actually 43 day admitted 141
day appalled 41 day arrested
78 day assigned 62 day
attended 229 day captured 87
day complete 42 day confined
93 day directed 61 day
entitled 51 day expected 297
day followed 454 day grateful
43 day increased 72 day
informed 223 day observed 40
day obviously 45 day probably
395 day promptly 72 day
received 343 day referred 44
day regarded 53 day relieved
93 day replaced 266 day
reported 63 day returned 42
day rewarded 151 day somewhat
41 day startled 91 day
suddenly 44 day supposed 88
day therefore 325 day welcomed
44 day mentioned 90 day
produced 118 day confined 107
day disposed 88 day entirely
172 day included 236 day
properly 323 day recorded 57
day regarded 42 day required
104 day uncommon 951 day
unlikely 52 day numerous 108
day advanced 324 day succeeding
111 day employed 42 day
intended 72 day conceive 74
day possibly 604 day remember
167 day commence 43 day
consider 190 day diminish 64
day entirely 56 day hesitate
257 day interest 69 day
remember 52 day surprise 80
day coincide 113 day consider
178 day diminish 44 day
hesitate 64 day indicate 240
day struggle 45 day children
437 day employes 44 day
eternity 162 day expenses 89
day families 43 day hereafter
56 day humanity 74 day
involved 45 day laborers 313
day marriages 42 day patients
122 day purposes 1580 day
railroad 121 day services 84
day students 156 day subjects
62 day business 133 day
activity 138 day american 51
day business 47 day calendar
120 day employee 251 day
horseman 60 day hospital 53
