dangerously high blood sugar 73
declaration must state facts 64
decomposed into amino acids 167
decomposed into fatty acids 234
decomposed into lower level 155
decomposed into plane waves 115
decomposes when heated above 232
deductible from first order 235
defalcation good fifty times 42
defendants acting under color 70
defendants were found liable 239
defendants were fully aware 145
defendants were hunting quail 67
defendants were liable under 220
defendants were still looking 73
defendants were tried again 79
defendants were tried under 54
definitely been right about 49
definitely think twice about 47
definitely worth knowing about 63
definitely worth thinking about 64
definitive form until after 48
deformation also takes place 64
deformation took place after 44
deformation took place under 74
deformation will occur under 43
degenerate into lower forms 44
degenerate into waste paper 51
degenerate lord might boast 69
degenerating life which tries 52
degradation into which human 59
delegations from every state 61
delegations from nearly every 56
delightful breath which first 78
delightful from every point 50
delightful work which would 43
delinquent acts which often 47
delinquent acts while others 44
deliveries have taken place 56
demarcation line which would 55
democratic ages ought never 79
democratic india where every 66
democratic wave which swept 42
demolitions have taken place 50
department also looks after 66
department during working hours 84
department knew anything about 44
departures from social norms 97
departures from steady state 66
departures have taken place 41
dependence upon brute force 46
dependence upon hired labor 52
dependence upon human power 42
dependence upon others which 121
dependence upon others would 50
dependence upon slave labor 172
dependence upon trade goods 41
dependence upon water power 64
dependence upon world trade 101
dependency among older people 60
deplorable from every point 181
depositions have taken place 85
depositions were taken under 43
depressions have taken place 55
depressions into which water 63
derivative laws might serve 59
description from hence would 49
description just given would 61
designated free trade zones 50
designated time period after 51
designation very strong shock 129
destination life cycle model 100
destruction also takes place 43
destruction from outer space 132
destruction have taken place 68
destruction having taken place 78
destruction like sharp steel 41
destruction soon shall seize 75
destruction their royal guest 73
destruction took place about 48
destruction took place after 117
destruction were never found 45
detachment from crown point 72
detachment from earthly goods 204
deteriorating into total chaos 42
determined from bending tests 49
determined from creep tests 77
determined from curve fitting 73
determined from field tests 239
determined from model tests 211
determined from monte carlo 245
determined from pumping tests 128
determined from steady state 114
determined from which gives 55
determined from within rather 73
determined upon hurling japan 64
determined upon until after 109
determines what goods shall 53
determines what shall count 69
determines what takes place 100
difference from others which 79
difference from white people 78
difference must needs arise 88
difference upon equal terms 43
difference worth talking about 71
difficulty even thinking about 48
difficulty into every nation 58
difficulty kept above water 146
difficulty reading black women 44
difficulty reading small print 139
difficulty will arise where 51
difficulty will often arise 42
difficulty will still occur 54
dimensional lift curve slope 96
dimensional mesh where nodes 59
disability among older people 138
disability among older women 58
disappeared from egypt today 41
disappeared from human sight 268
disappeared from large parts 127
disappeared from sight after 280
disappeared from sight again 111
disappeared from sight below 61
disappeared from sight beneath 186
disappeared from sight round 95
disappeared from sight under 278
disappeared from sight until 198
disappeared from sight while 73
disappeared from sight within 69
disappeared into outer space 68
disappeared three months after 42
disappeared three months later 62
disappeared three weeks after 56
disastrous fire which broke 95
disastrous fire which swept 168
disastrous from every point 209
disastrous life might haply 92
discharged four months after 71
discharged four months later 68
discharged from nursing homes 130
discharged into fresh water 104
discharged into running water 50
discharged their human cargo 42
discharged three months after 70
discharged three months later 82
discharged three weeks after 73
discharged three weeks later 146
discharges from paper mills 42
discharges have taken place 137
discipline have taken place 45
discipline over negro labor 46
discomfort when passing urine 116
discomfort when talking about 40
discontent among working people 40
discounted cash flows equal 41
discovered four large fires 63
discovered four large ships 91
discovered four months later 46
discovered here sitting smoking 47
discovered just reason rather 52
discovered many facts about 271
discovered many facts which 102
discovered many months later 61
discovered many truths about 60
discovered nothing which could 84
discovered nothing which would 64
discovered some facts about 89
discovered some facts which 49
discovered some faint signs 83
discovered some hours after 53
discovered some hours later 54
discovered some human bones 87
discovered some months after 68
discovered some months later 264
discovered some truths about 83
discovered some weeks later 74
discovered these facts about 65
discovered three large roads 73
discovered three months later 81
discovered three ships sailing 54
discovered three weeks later 91
discovered what would later 59
discovered will carry whole 99
discussions have taken place 3804
discussions having taken place 118
discussions take place about 183
discussions take place after 46
discussions take place within 169
discussions taking place about 100
discussions taking place today 49
discussions taking place within 227
discussions took place about 723
discussions took place after 128
discussions took place every 66
discussions took place under 141
discussions took place which 145
discussions took place while 62
discussions took place within 357
discussions were begun about 42
discussions were often heated 198
discussions were still pending 76
discussions were still under 71
dismissals have taken place 58
disordered teeth gleaming under 53
disposition what others might 91
dispossess many weaker races 309
disruptions have taken place 54
dissensions have taken place 88
dissipated into empty space 54
dissipated into outer space 58
dissolution having taken place 63
distempers must needs cause 143
distinction also makes sense 40
distinction from others which 88
distinction only makes sense 66
distinction were either slain 89
distinction were taken alive 56
distinction when talking about 42
distinction will appear later 45
distinctly sees black marks 116
distinguishing those which ought 93
distortions have taken place 85
distracted from thinking about 265
distraction from thinking about 140
divergence from social norms 48
divergence from which would 71
documented many cases where 70
