dad were married in 41
dam will consist of 68
dam will destroy the 46
dam will increase the 62
day among members of 103
day bank holiday in 92
day bank holiday to 119
day bears witness to 876
day beating against the 55
day been allowed to 89
day been brought to 212
day been enabled to 143
day been exposed to 45
day been forward to 53
day been granted to 87
day been obliged to 190
day been offered to 42
day been ordered to 125
day been present at 134
day been reduced to 119
day been visited by 214
day bore witness to 84
day break between the 44
day bringing flowers to 59
day brings forward the 139
day brings reports of 76
day broth culture of 149
day buck brooded by 146
day call herself the 54
day came quickly to 48
day came reports of 72
day care because it 172
day care because of 327
day care because the 133
day care centers as 977
day care centers at 384
day care centers be 136
day care centers by 302
day care centers do 298
day care centers if 132
day care centers in 5770
day care centers is 1184
day care centers of 248
day care centers on 446
day care centers or 2784
day care centers so 186
day care centers to 2224
day care depends on 86
day care offered by 98
day care outside the 428
day care program as 150
day care program at 329
day care program in 703
day care program is 630
day care program of 59
day care program or 341
day care program to 284
day care quality to 56
day care service in 216
day care service is 150
day care service to 47
day care workers in 219
day care workers or 145
day care workers to 180
day come forward to 125
day come together in 133
day come together to 42
day early because of 88
day eaten everything in 72
day even against the 59
day felt indoors by 268
day find herself in 236
day find himself at 51
day find himself in 824
day find himself on 45
day find himself the 42
day five members of 96
day four hundred of 74
day four members of 143
day from beginning to 700
day from chicago to 90
day from fifteen to 155
day from following the 269
day from greeley in 55
day from hamburg to 159
day from january to 164
day from members of 139
day from mondays to 44
day from october to 399
day from outside the 70
day from receipt of 69
day from sundown to 58
day from sunrise to 4339
day from thursday to 157
day from tuesday to 217
day from village to 54
day game against the 122
day gave promise of 246
day give account of 177
day give account to 42
day give success to 92
day great britain is 175
day great numbers of 776
day great pleasure to 50
day have adopted the 135
day have appeared in 153
day have arrived at 115
day have brought the 102
day have brought to 123
day have entered the 196
day have managed to 40
day have occasion to 313
day have refused to 178
day have written to 40
day having occasion to 47
day held promise of 40
day high schools in 106
day just because he 211
day just because it 231
day just because of 207
day just because the 161
day just because we 81
day just beginning in 40
day just beginning to 332
day just listening to 76
day just outside of 42
day just outside the 417
day just preceding the 72
day just previous to 113
day last alluded to 59
day late because of 198
day leaning against the 243
day less capable of 232
day less unpleasing to 128
day life because of 43
day life outside the 103
day link between the 85
day live together in 157
day look forward to 342
day lose control of 45
day lost because of 118
day make parties to 49
day many members of 141
day many millions of 189
day meats dressed in 48
day more alarmed by 74
day more attuned to 51
day more brought us 53
day more capable of 167
day more closely to 96
day more deserving of 329
day more devoted to 40
day more familiar to 42
day more godlike in 44
day more hateful to 71
day more hostile to 72
day more irksome to 72
day more limited in 85
day more painful to 137
day more plainly the 70
day more popular in 47
day more subject to 58
day more visible in 58
day moving average as 251
day moving average in 219
day moving average is 1590
day moving average of 2932
day moving average on 325
day moving average or 61
day moving average to 386
day must include the 85
day news arrived in 91
day news arrived of 412
day next following the 3273
day next preceding the 3090
day noah entered the 679
day north america is 41
day note payable to 223
day nothing remains of 336
day only because he 225
day only because it 314
day only because of 482
