dainty frills and shirrings 66
damage awards are usually 67
damage inside and outside 59
damage plants and animals 151
damage through any omission 70
damaging public and private 135
damned nurses and squalling 40
damned pleased with herself 41
damned pleased with himself 305
damned serious and demands 143
damply across his forehead 47
danced across her features 45
danced across his features 55
danced across its surface 53
danced behind her eyelids 100
danced behind his eyelids 70
dancer before she married 52
dangers before she brought 40
dapper little man dressed 40
darkly behind his pleasure 114
dawned bright and glorious 54
dawned bright and pleasant 68
dawned bright and promising 41
dealers should not publish 70
dearest family and friends 55
dearest feelings and highest 59
dearest friend and bravest 63
dearest friend and closest 95
dearest friend and comrade 250
dearest friend and greatest 51
dearest friend and partner 59
dearest rights and blessings 47
dearest rights are invaded 52
debate around this question 134
debate before his removal 124
debate freely all matters 530
debate inside and outside 991
debate lasted for several 177
debate should not obscure 152
debate without being blocked 75
debate without his consent 59
debating something with herself 54
debating something with himself 149
debtor changes its location 90
debtor obtain any control 53
debtor without his consent 92
decade before his arrival 143
decade before his election 74
decade younger than herself 40
decade younger than himself 71
decaying nations are revived 98
decaying plants and animals 1694
decent excuse for declining 40
decent regard for justice 49
decide whether any question 106
decide whether any statute 56
decide whether due process 72
decide whether her husband 54
decide whether his company 41
decide whether his conduct 71
decide whether his decision 44
decide whether his majesty 54
decide whether his official 46
decide whether his patient 67
decide whether its members 74
decide whether one prefers 44
decide whether our country 50
decide whether our decision 41
decide whether our present 43
decide whether she prefers 77
decide whether that element 94
decide whether that freedom 84
decide whether they approve 87
decide whether they believe 220
decide whether they belonged 134
decide whether they conform 51
decide whether they contain 68
decide whether they deserve 104
decide whether they desired 109
decide whether they possess 61
decide whether they provide 56
decide whether they reflect 59
decide whether they require 68
decide whether they satisfy 41
decide whether they support 77
decide whether this country 146
decide whether this freedom 88
decide whether this increase 86
decide whether this passage 68
decide whether this patient 51
decide whether this position 55
decide whether this problem 98
decide whether this process 41
decide whether this project 66
decide whether this question 76
decide whether this request 58
decide whether this species 47
decide whether this statute 40
decide whether this subject 59
decide whether this violates 60
decide whether two letters 56
decide whether two objects 74
decide whether two samples 70
decide whether you believe 392
decide whether you qualify 49
decide whether you require 40
deciding causes and executing 50
deciding factor for selecting 47
deciding factor for success 52
deciding motions for summary 63
deciding whether due process 93
deciding whether our present 56
decree itself was founded 71
deemed proper and ordered 162
deemed proper for asserting 51
deemed unjust and inhuman 67
deemed wisest and bravest 78
deeper belief and reliance 198
deeper causes and effects 40
deeper feelings and aroused 48
deeper feelings and emotions 131
deeper feelings and thoughts 115
deeper ground than marriage 77
deeper malice than flashes 49
deeper organs and tissues 114
deeper policy than appeared 68
deeper values and beliefs 77
deeper waters are brought 56
deeply admire and respect 125
deeply buried and covered 40
deeply buried and locally 60
deeply imbued with british 47
deeply imbued with catholic 98
deeply imbued with classic 64
deeply imbued with european 42
deeply imbued with justice 50
deeply imbued with liberal 103
deeply imbued with national 72
deeply imbued with religion 214
deeply imbued with respect 76
deeply imbued with western 87
deeply pained and grieved 43
deeply pained and shocked 126
deeply pitted and scarred 100
deeply regret and deplore 172
deeply regret being obliged 81
deeply regret his absence 48
deeply regret this outbreak 47
deeply resent any attempt 50
deeply ridged and grooved 43
deeply rooted and ancient 161
deeply rooted and broadly 53
deeply rooted and complex 132
deeply rooted and genuine 44
deeply rooted and ingrained 46
deeply rooted and largely 44
deeply rooted and sincere 60
deeply rooted and strongly 69
deeply serious and pathetic 46
deeply solemn and affecting 114
deeply tanned and weathered 59
defeats brutus and cassius 119
defeats french and spanish 81
defend france and belgium 93
defend ishmael beg against 42
defend itself and protect 50
defend itself and survive 62
defend malaya and singapore 63
defend myself and explain 47
defend myself with courage 48
defend widows and orphans 319
defiant without any insight 59
define active and passive 52
define crimes and provide 90
define inputs and outputs 164
define inside and outside 89
define itself and advance 57
define itself with respect 80
define public and private 160
define static and dynamic 54
defining crimes and providing 47
defining genera and species 119
defining inputs and outputs 138
defining public and private 292
degree almost too precious 93
degree better than prelacy 53
degree beyond our present 46
degree curious and precious 47
degree likely that language 65
degree murder and appealed 44
degree murder and assault 164
degree murder and robbery 374
degree richer than himself 54
degree subtle and obscure 43
delays beyond his control 129
delays beyond its control 69
delays beyond our control 89
delude philip and himself 44
deluge exerting its ravages 42
demand curves are assumed 316
demand curves are denoted 52
demand curves are derived 656
demand curves are elastic 174
demand curves are plotted 84
demand curves are shifted 103
demand curves are usually 191
demand curves for capital 302
demand curves for certain 58
demand curves for cookies 42
demand curves for diamonds 97
demand curves for dollars 211
demand curves for exports 73
demand curves for factors 429
demand curves for foreign 538
demand curves for imports 181
demand curves for medical 76
demand curves for private 55
demand curves that reflect 42
demand inside and outside 68
demand nectar and ambrosia 163
demand notice and protest 145
demand pardon for defects 48
demand reasons for everything 40
demand through its effects 50
demeaning myself with accepting 69
denied motions for summary 140
denied myself that pleasure 77
denied myself this pleasure 75
denied standing not because 41
denied without doing violence 47
denied without due process 395
denote genera and species 53
denote tables and figures 103
denoting plenty are derived 69
dental arches and alveolar 103
dental caries and alveolar 154
dental caries and certain 71
dental caries and chronic 99
dental caries and diabetes 42
dental caries and mottled 44
dental caries and obesity 120
dental caries and pyorrhea 175
dental crowns and bridges 56
dental disease and radiation 43
dental enamel and dentine 196
dental nerves and vessels 119
dental school was founded 63
depend mainly for support 41
depend solely for support 53
depict humans and animals 46
depict plants and animals 108
deploy upward and outward 41
derive another new concept 42
derive profit and pleasure 222
derive strength and comfort 242
derive strength and courage 145
derive strength and support 176
deriving strength and support 95
desert before they arrived 193
desert cursed with eternal 49
desert island and allowed 69
desert plains and valleys 117
desert plants and animals 1866
desert plants are adapted 97
desert plants that contain 54
desert shrubs and grasses 335
desert thyself and neglect 40
desert without due service 59
design allows for maximum 115
design bureaus and research 76
design changes and process 86
design changes and product 105
design changes that improve 117
design defect and failure 542
design formed for restoring 49
design indoor and outdoor 67
design inputs and outputs 46
design issues are related 45
design issues with respect 43
design methods and criteria 171
design methods are applied 121
design methods are usually 41
design methods for failure 142
design patent was invalid 128
design should not include 47
design should not require 66
design stands out against 46
design system for digital 47
desire brandy and tobacco 43
desire merely for pleasure 44
desire something for himself 102
detail before any attempt 43
detail should not obscure 118
detail should you include 60
detect errors and correct 307
detect errors and provide 50
detect errors and request 51
deviant labels are applied 54
deviant speech and language 59
deviate upward and outward 46
device design and process 74
device driver for windows 81
device driver that enables 108
device driver that handles 71
device driver that manages 112
device inputs and outputs 91
device served its purpose 62
devise methods and systems 53
devise methods for assessing 48
devise methods for detecting 46
devise methods for improving 77
devise methods for increasing 65
devise methods for obtaining 56
devising before and preparing 61
devising methods for improving 131
devising methods for increasing 45
devising methods for obtaining 46
devout genius has uttered 42
devout hermit was visited 79
devout wishes and fervent 69
dialect better than anybody 74
dialect spoken and written 67
diamond drilling was carried 82
diamond powder for polishing 50
diesel engines and related 52
diesel engines are usually 150
diesel engines for surface 50
diesel engines that powered 120
differ greatly with respect 1425
differ inside and outside 126
differ little with respect 74
differ mainly with respect 314
differ solely with respect 70
differ widely with respect 1532
digits memory for objects 54
dinner before they started 47
dinner dishes and stepped 53
dinner guests had arrived 70
dinner itself was elegant 112
dinner meetings with speakers 56
dinner passed off merrily 44
dinner passed off quietly 83
dinner plates and brought 42
dinner plates and garnish 120
dinner plates and glasses 52
dinner should not present 65
dinner without her husband 55
diocese without his consent 43
dioxide levels are increasing 55
dioxide output are measured 47
dioxide uptake with respect 68
dipole moment with respect 1164
dipped through his scuttle 49
direct access and control 229
direct actions and reactions 167
direct appeals for support 121
direct causes and effects 117
direct charge and control 122
direct debits and credits 165
direct demand for capital 53
direct drilling and minimal 54
direct effect and primacy 186
direct grants for research 98
direct inguinal and femoral 218
direct inputs and outputs 157
direct inward and outward 43
direct inward and present 49
direct manner with superior 58
direct menace for himself 85
direct methods and refined 177
direct methods are usually 74
direct methods for assessing 73
direct methods for detecting 42
direct methods for obtaining 59
direct object and oblique 124
direct object and renames 46
direct object and servant 55
direct object and subject 179
direct object with respect 55
direct planning and control 119
direct public and private 446
direct result and outcome 64
direct soviet and chinese 59
direct speech and dialogue 161
direct speech and language 59
direct victim and persons 102
direct visual and tactile 167
disease begins with malaise 55
disease begins with weakness 48
disease course and outcome 80
disease invade this trembling 114
disease itself was ignored 109
disease reached its maximum 45
disease reaches its highest 69
disease reaches its maximum 270
disease should not receive 367
disease should not undergo 84
