dangerous situation i have 55
database containing a list 104
database containing a single 46
database contains a list 233
database contains a single 104
database contains a wealth 73
database contains a wide 48
database includes a wide 65
database provides a good 63
database provides a list 44
database provides a means 50
database requires a great 56
decedent executed a will 356
decedent received a life 47
decedent retained a life 197
decisions concerning a wide 59
delegate received a copy 40
delicate audience i have 47
demanded sixpence a month 42
deposits containing a high 42
deposits indicate a rich 88
detailed analysis i have 75
detailed treatment i have 41
detection requires a high 63
diagnosis includes a wide 77
diagnosis requires a high 516
directly modifies a noun 49
directly opposite a door 58
directly received a very 126
director received a call 63
disgusting pictures i ever 54
disputes concerning a north 81
distance occasions a great 95
distance produces a more 45
distance separating a pair 42
district possessing a more 86
district reflects a cold 41
district remained a part 55
doctoral students i have 85
doctrine contains a truth 83
document containing a full 86
document containing a link 47
document containing a list 471
document containing a single 67
document containing a true 47
document contains a clear 66
document contains a full 70
document contains a great 51
document contains a link 62
document contains a list 398
document contains a single 230
document contains a very 76
document contains a wealth 66
document evidencing a debt 60
document includes a list 92
document provides a clear 71
document provides a good 130
document provides a list 99
document provides a means 147
document provides a very 50
document provides a wealth 49
domestic distress i have 50
domestic relations i have 45
domestic troubles i have 49
