dampness which crept through 41
dangerous white horse rapids 40
darkness where every second 48
darkness which comes before 101
darkness would again become 56
daughter would marry someone 46
daylight under short canvas 47
decanter which stood beside 63
decedent whose gross estate 93
decisions about breast cancer 66
decisions about civil rights 42
decisions about every aspect 173
decisions about human rights 52
decisions about labor supply 145
decisions about local issues 56
decisions about major changes 63
decisions about major issues 102
decisions about moral issues 100
decisions about social issues 63
decisions about social policy 171
decisions about study design 40
decisions about teaching methods 113
decisions about trade policy 48
decisions about water supply 41
decisions about which actions 120
decisions about which assets 103
decisions about which course 91
decisions about which events 87
decisions about which family 46
decisions about which groups 148
decisions about which issues 275
decisions about which methods 120
decisions about which options 117
decisions about which pieces 66
decisions about which plants 44
decisions about which school 76
decisions about which should 44
decisions about which skills 46
decisions about which stocks 103
decisions about which theories 44
decisions about which topics 61
decisions about which values 156
decisions which could affect 206
decisions which could result 42
decisions which might affect 277
decisions which might result 78
decisions which would affect 362
decisions which would enable 54
decisions which would permit 62
decisions which would result 73
decisive action shall always 55
decisive action which suited 61
decisive driving force behind 46
decisive turning point toward 42
declared louis capet guilty 50
decreased blood sugar levels 124
decreased fetal urine output 55
decreased total blood volume 112
decreases after passing through 145
decreases blood sugar levels 105
deduction which would result 54
deficits after brain damage 90
deficits after brain injury 164
definite action looking toward 54
definite cases which animal 81
definite plans about england 51
definite rules which govern 53
definite steps looking toward 53
definite steps taken toward 46
delicacy daily gaining ground 260
delicacy which really needed 116
delicacy which would soften 48
delicate blush which dorothea 65
delicate flame which seemed 102
delicate limbs could hardly 51
delicate linen apron tucked 67
delicate roots which attach 60
delicate sound which filled 45
delicious warmth spread through 80
delivering state shall notify 72
delivers after every clause 51
delivery takes place before 97
delivery takes place through 48
delivery takes place without 43
delivery wagon might frolic 62
delusions about human nature 63
delusive magic which appears 63
departed feeling vague relief 155
deserted house which stands 58
desertion takes place abroad 83
designed which would permit 43
designer frank lloyd wright 49
desolate scene would assume 90
despised every rival system 96
destroying often whole fields 83
detained under house arrest 201
detected after passing through 195
detector after passing through 155
detention order under section 222
detention under house arrest 41
developing gross motor skills 141
devilish smile spread across 43
devotions every morning behind 46
devoutly stare where sprawl 41
diffused light falling through 49
diffused light which guides 41
diffusion takes place across 113
diffusion takes place through 1231
diffusion takes place without 40
digested under forty titles 73
digestion takes place inside 54
digestion takes place mainly 57
digestion takes place through 42
diligent search which enjoys 80
direction after passing through 213
direction given under clause 45
direction given under section 484
direction running gaily toward 77
direction which might enable 69
direction which tends further 41
direction which would enable 126
direction which would result 102
direction while passing through 124
directly after first lesson 63
directly after passing through 66
directly liable under section 59
directly relax smooth muscle 51
disagree about which values 43
disaster which could befall 299
disaster which might befall 95
disaster which might follow 81
disaster which might happen 57
disaster which might result 57
disaster which would befall 80
disaster which would follow 238
disaster which would result 157
disaster would never happen 70
discerning which facts further 95
disciple frank lloyd wright 73
